date,Q,P,Q_interp,Q_filled
1981-01-01,0.0,3.579246352985752,0.0,0.0
1981-01-02,0.0,2.0472117146208575,0.0,0.0
1981-01-03,0.0,1.8631756716660912,0.0,0.0
1981-01-04,0.0,1.863206197770533,0.0,0.0
1981-01-05,0.0,7.677525590890684,0.0,0.0
1981-01-06,0.0,4.4148160261578955,0.0,0.0
1981-01-07,0.0,1.458993968698631,0.0,0.0
1981-01-08,0.0,3.7125976658364617,0.0,0.0
1981-01-09,0.0,2.8960335585010797,0.0,0.0
1981-01-10,0.0,0.16028543836189946,0.0,0.0
1981-01-11,0.0,0.7579995013114299,0.0,0.0
1981-01-12,0.0,3.080147593068428,0.0,0.0
1981-01-13,0.0,7.147495624435659,0.0,0.0
1981-01-14,0.0,1.8787947979638673,0.0,0.0
1981-01-15,0.0,1.3438367688848156,0.0,0.0
1981-01-16,0.0,2.58124965614799,0.0,0.0
1981-01-17,0.0,1.2614562126931508,0.0,0.0
1981-01-18,0.0,1.7582242531072323,0.0,0.0
1981-01-19,0.0,2.3042972768655154,0.0,0.0
1981-01-20,0.0,0.7131005299357256,0.0,0.0
1981-01-21,0.0,4.59945241614849,0.0,0.0
1981-01-22,0.0,0.5648610567060556,0.0,0.0
1981-01-23,0.0,2.7849616454319093,0.0,0.0
1981-01-24,0.0,4.319776297272069,0.0,0.0
1981-01-25,0.0,2.723454321123816,0.0,0.0
1981-01-26,0.0,2.0923147656669028,0.0,0.0
1981-01-27,0.0,1.7414451469010765,0.0,0.0
1981-01-28,0.0,1.4729954963369807,0.0,0.0
1981-01-29,0.0,5.442998840963108,0.0,0.0
1981-01-30,0.0,3.105789350245987,0.0,0.0
1981-01-31,0.0,1.5964033424736401,0.0,0.0
1981-02-01,0.0,1.1552249244104016,0.0,0.0
1981-02-02,0.0,3.9198319331802502,0.0,0.0
1981-02-03,0.0,5.344343656510469,0.0,0.0
1981-02-04,0.0,4.978707077991072,0.0,0.0
1981-02-05,0.0,0.9494065946124994,0.0,0.0
1981-02-06,0.0,1.7270722740125417,0.0,0.0
1981-02-07,0.0,1.4437253957433873,0.0,0.0
1981-02-08,0.0,1.954804733530948,0.0,0.0
1981-02-09,0.0,4.565509708649548,0.0,0.0
1981-02-10,0.0,6.660485948033133,0.0,0.0
1981-02-11,0.0,3.2049869667428816,0.0,0.0
1981-02-12,0.0,1.1987558355667216,0.0,0.0
1981-02-13,0.0,2.2567927600042252,0.0,0.0
1981-02-14,0.0,7.608110474141379,0.0,0.0
1981-02-15,0.0,2.5264731869838415,0.0,0.0
1981-02-16,0.0,1.745173908007363,0.0,0.0
1981-02-17,0.0,1.8902313412797545,0.0,0.0
1981-02-18,0.0,3.192927512015058,0.0,0.0
1981-02-19,0.0,0.9863192667798809,0.0,0.0
1981-02-20,0.0,1.4085912239834026,0.0,0.0
1981-02-21,0.0,4.922073799026878,0.0,0.0
1981-02-22,0.0,3.1180050844121046,0.0,0.0
1981-02-23,0.0,2.5493902493962253,0.0,0.0
1981-02-24,0.0,5.113689592915579,0.0,0.0
1981-02-25,0.0,1.121580740140166,0.0,0.0
1981-02-26,0.0,1.6946646612221081,0.0,0.0
1981-02-27,0.0,3.0332651161214255,0.0,0.0
1981-02-28,0.0,2.943930497838882,0.0,0.0
1981-03-01,0.0,0.4168513022813494,0.0,0.0
1981-03-02,0.0,1.5374928805695696,0.0,0.0
1981-03-03,0.0,2.0019707017003356,0.0,0.0
1981-03-04,0.5,3.319544781596708,0.5,0.5
1981-03-05,2.1,2.9350988358281613,2.1,2.1
1981-03-06,8.8,2.17617827549502,8.8,8.8
1981-03-07,28.3,0.15830406710776773,28.3,28.3
1981-03-08,259.5,2.2765241949219375,259.5,259.5
1981-03-09,502.4,2.4658788940222105,502.4,502.4
1981-03-10,401.6,12.724562650789606,401.6,401.6
1981-03-11,229.6,1.9419665102433095,229.6,229.6
1981-03-12,510.0,3.0472510172087683,510.0,510.0
1981-03-13,203.8,5.775168591982884,203.8,203.8
1981-03-14,119.8,4.363786019817038,119.8,119.8
1981-03-15,89.8,6.864913866470453,89.8,89.8
1981-03-16,69.4,0.4261842607093323,69.4,69.4
1981-03-17,57.7,0.7809878501048215,57.7,57.7
1981-03-18,55.5,1.31133130244248,55.5,55.5
1981-03-19,51.9,0.3308468341752485,51.9,51.9
1981-03-20,44.4,2.484602311623923,44.4,44.4
1981-03-21,36.9,0.8574089441277366,36.9,36.9
1981-03-22,29.5,7.538453628072181,29.5,29.5
1981-03-23,24.0,1.0173499706119722,24.0,24.0
1981-03-24,19.5,1.7044591047576811,19.5,19.5
1981-03-25,16.5,4.568860890467415,16.5,16.5
1981-03-26,14.0,0.5564943760344341,14.0,14.0
1981-03-27,12.0,0.2985804186154859,12.0,12.0
1981-03-28,11.1,2.7553461400676715,11.1,11.1
1981-03-29,9.5,2.9409740981738635,9.5,9.5
1981-03-30,8.2,4.462534902174181,8.2,8.2
1981-03-31,6.5,3.6522225236377572,6.5,6.5
1981-04-01,4.9,3.03548985013148,4.9,4.9
1981-04-02,4.1,1.1510352503876147,4.1,4.1
1981-04-03,3.2,2.871879022324986,3.2,3.2
1981-04-04,2.9,3.025429524743328,2.9,2.9
1981-04-05,3.4,1.1053571881447706,3.4,3.4
1981-04-06,3.8,9.130030559292466,3.8,3.8
1981-04-07,3.7,3.513903582485187,3.7,3.7
1981-04-08,4.1,0.797615418333363,4.1,4.1
1981-04-09,3.9,4.480071150276775,3.9,3.9
1981-04-10,3.6,5.094509614734295,3.6,3.6
1981-04-11,3.2,3.3434574958275065,3.2,3.2
1981-04-12,4.7,1.8423646323530156,4.7,4.7
1981-04-13,13.7,1.0544561789585636,13.7,13.7
1981-04-14,37.6,2.170706287428039,37.6,37.6
1981-04-15,29.7,3.150618539306345,29.7,29.7
1981-04-16,27.3,2.3615334801458583,27.3,27.3
1981-04-17,22.8,7.0924382684105876,22.8,22.8
1981-04-18,20.4,3.962699042746033,20.4,20.4
1981-04-19,15.5,0.9282849320832692,15.5,15.5
1981-04-20,12.5,0.7002586765009827,12.5,12.5
1981-04-21,9.9,3.538481413784513,9.9,9.9
1981-04-22,8.2,1.883123696112463,8.2,8.2
1981-04-23,7.0,4.240577674289893,7.0,7.0
1981-04-24,5.2,3.5122142737415114,5.2,5.2
1981-04-25,4.3,2.1795144428901296,4.3,4.3
1981-04-26,3.4,0.9404481252837377,3.4,3.4
1981-04-27,2.8,0.35233451425796414,2.8,2.8
1981-04-28,2.2,2.827059085182466,2.2,2.2
1981-04-29,1.8,0.5442280258247417,1.8,1.8
1981-04-30,1.7,0.8974335646408081,1.7,1.7
1981-05-01,1.3,2.681420919649838,1.3,1.3
1981-05-02,1.1,2.4613508990932464,1.1,1.1
1981-05-03,0.8,0.6327565647740543,0.8,0.8
1981-05-04,0.7,5.542115830700227,0.7,0.7
1981-05-05,0.6,5.430393062870136,0.6,0.6
1981-05-06,0.4,3.632146783339989,0.4,0.4
1981-05-07,0.3,3.6285230543198312,0.3,0.3
1981-05-08,0.3,3.6321828179032893,0.3,0.3
1981-05-09,0.2,5.06050325218488,0.2,0.2
1981-05-10,0.2,4.0423277460611935,0.2,0.2
1981-05-11,0.2,1.0303580117700584,0.2,0.2
1981-05-12,0.2,1.858224537812008,0.2,0.2
1981-05-13,0.1,11.755789704144552,0.1,0.1
1981-05-14,0.1,0.17754327677199822,0.1,0.1
1981-05-15,0.1,1.4551155091224122,0.1,0.1
1981-05-16,0.1,5.5648336255080695,0.1,0.1
1981-05-17,0.1,1.104107523901012,0.1,0.1
1981-05-18,0.1,4.130859601449755,0.1,0.1
1981-05-19,0.1,2.4331707781488023,0.1,0.1
1981-05-20,0.0,1.1897980118753833,0.0,0.0
1981-05-21,0.0,2.7597420356595626,0.0,0.0
1981-05-22,0.0,1.0058819937939922,0.0,0.0
1981-05-23,0.0,2.0941470070426953,0.0,0.0
1981-05-24,0.0,3.603070131753194,0.0,0.0
1981-05-25,0.0,4.747768203804907,0.0,0.0
1981-05-26,0.0,1.450368999624542,0.0,0.0
1981-05-27,0.0,1.1874158182792414,0.0,0.0
1981-05-28,0.0,0.5319249974700468,0.0,0.0
1981-05-29,0.0,4.930819198062413,0.0,0.0
1981-05-30,0.0,10.57550712005705,0.0,0.0
1981-05-31,0.0,5.3498473448958475,0.0,0.0
1981-06-01,0.0,6.279670896174118,0.0,0.0
1981-06-02,0.0,1.1141522517109588,0.0,0.0
1981-06-03,0.0,3.429405311782063,0.0,0.0
1981-06-04,0.0,4.438650134574942,0.0,0.0
1981-06-05,0.0,0.7462630487112276,0.0,0.0
1981-06-06,0.0,0.1324733758268489,0.0,0.0
1981-06-07,0.0,0.5008610195923682,0.0,0.0
1981-06-08,0.0,2.0667792966114824,0.0,0.0
1981-06-09,0.0,1.4650200160991693,0.0,0.0
1981-06-10,0.0,3.322072098473233,0.0,0.0
1981-06-11,0.0,4.901976188302872,0.0,0.0
1981-06-12,0.0,1.9227320161614114,0.0,0.0
1981-06-13,0.0,2.4673727917241157,0.0,0.0
1981-06-14,0.0,0.16611713777444298,0.0,0.0
1981-06-15,0.0,6.3368108085531984,0.0,0.0
1981-06-16,0.0,4.153824576772537,0.0,0.0
1981-06-17,0.0,2.4900338466980445,0.0,0.0
1981-06-18,0.0,1.4323696670153634,0.0,0.0
1981-06-19,0.0,2.8111417621322587,0.0,0.0
1981-06-20,0.0,1.2307448938420307,0.0,0.0
1981-06-21,0.0,1.6465573686587385,0.0,0.0
1981-06-22,0.0,3.2059957792022047,0.0,0.0
1981-06-23,0.0,3.827871266198904,0.0,0.0
1981-06-24,0.0,3.7396823066220444,0.0,0.0
1981-06-25,0.0,1.1109108779561703,0.0,0.0
1981-06-26,0.0,0.21024201670158432,0.0,0.0
1981-06-27,0.0,0.5650906197574435,0.0,0.0
1981-06-28,0.0,7.552272942378174,0.0,0.0
1981-06-29,0.0,1.5068275069590347,0.0,0.0
1981-06-30,0.0,2.3596712732519496,0.0,0.0
1981-07-01,0.0,4.977468241188135,0.0,0.0
1981-07-02,0.0,1.8537621585108497,0.0,0.0
1981-07-03,0.0,4.707021258930107,0.0,0.0
1981-07-04,0.0,1.7954287921067744,0.0,0.0
1981-07-05,0.0,1.2436831976024048,0.0,0.0
1981-07-06,0.0,9.381977193641601,0.0,0.0
1981-07-07,0.0,5.4738526283459175,0.0,0.0
1981-07-08,0.0,6.024126611860398,0.0,0.0
1981-07-09,0.0,0.585397104631271,0.0,0.0
1981-07-10,0.0,1.1254379722926213,0.0,0.0
1981-07-11,0.0,2.3143381163810544,0.0,0.0
