x;z
0;831.7896729
1.339393101;831.6208496
2.678786202;830.2824707
4.018179303;828.5432739
5.357572404;826.6624756
6.696965505;825.6558838
8.036358606;825.2542725
9.375751707;825.1194458
10.71514481;825.0737915
12.05453791;825.163208
13.39393101;825.2396851
14.73332411;825.256897
16.07271721;825.2598267
17.41211031;825.2603149
18.75150341;825.182312
20.09089652;825.1812744
21.43028962;825.2177734
22.76968272;825.4451294
24.10907582;825.9634399
25.44846892;826.3693237
26.78786202;826.567749
28.12725512;826.6369629
29.46664822;826.633667
30.80604132;826.6502686
32.14543442;826.6601563
33.48482753;826.6660156
34.82422063;826.6671753
36.16361373;826.9217529
37.50300683;827.4260254
38.84239993;827.7351074
40.18179303;828.703064
41.52118613;829.7352905
42.86057923;830.5308228
44.19997233;830.9658203
45.53936544;831.1069336
