 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    67     3     8  1982       1      10  aqu010                  251.667          2.548        312.591        314.511         15.726         26.272          6.807          0.000          0.500          0.000         81.495         55.718          5.793          0.361        251.667          0.000          0.000
    67     3     8  1982       2      20  aqu020                  267.638          2.524        313.736        348.936         17.447         26.272          6.103          0.000          0.500          0.000         81.410         49.779          5.645          0.367        267.638          0.000          0.000
    67     3     8  1982       3      30  aqu030                  164.801          2.577        311.418        190.951          9.548         26.272          7.319          0.000          0.500          0.000         70.180         60.244          3.987          0.230        164.801          0.000          0.000
    67     3     8  1982       4      40  aqu040                  154.125          2.609        309.826        174.151          8.708         26.272          7.340          0.000          0.500          0.000         68.945         60.439          3.753          0.212        154.125          0.000          0.000
    67     3     8  1982       5      50  aqu050                  102.414          2.585        311.197        148.493          7.425         26.272          6.014          0.000          0.500          0.000         56.804         49.495          2.057          0.147        102.414          0.000          0.000
    67     3     8  1982       6      60  aqu060                   35.871          2.637        308.774         63.967          3.198         26.272          3.916          0.000          0.500          0.000         32.614         32.292          0.466          0.042         35.871          0.000          0.000
    67     3     8  1982       7      70  aqu070                  122.464          2.620        309.359        166.031          8.302         26.272          7.316          0.000          0.500          0.000         68.609         60.230          2.957          0.201        122.464          0.000          0.000
    67     3     8  1982       8      80  aqu080                  119.021          2.605        310.150        140.169          7.008         26.272          7.575          0.000          0.500          0.000         66.396         62.443          2.982          0.175        119.021          0.000          0.000
    67     3     8  1982       9      90  aqu090                   10.856          2.644        308.523         39.208          1.960         26.272          3.004          0.000          0.500          0.000         23.757         24.785          0.108          0.020         10.856          0.000          0.000
    67     3     8  1982      10     100  aqu100                  163.247          2.586        310.962        189.141          9.457         26.272          7.004          0.000          0.500          0.000         69.794         57.600          3.793          0.219        163.247          0.000          0.000
    67     3     8  1982      11     110  aqu110                  164.141          2.582        311.170        189.993          9.500         26.272          7.178          0.000          0.500          0.000         70.152         59.057          3.902          0.225        164.141          0.000          0.000
    67     3     8  1982      12     120  aqu120                  167.468          2.567        311.907        196.120          9.806         26.272          7.510          0.000          0.500          0.000         72.451         61.809          4.154          0.242        167.468          0.000          0.000
    67     3     8  1982      13     130  aqu130                  165.212          2.575        311.478        191.194          9.560         26.272          7.382          0.000          0.500          0.000         70.506         60.770          4.030          0.232        165.212          0.000          0.000
    67     3     8  1982      14       1  aqu_deep001               0.000         17.383       2123.439          9.250          0.000          0.000          0.018          0.000          0.500          0.000          0.202          0.146          0.000          0.000          0.000          0.000          0.000
