 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    67     3     8  1982       1      10  aqu010                   47.575          0.482         59.093         59.455          2.973          4.966          1.287          0.000          0.500          0.000         15.406         10.533          1.095          0.068         47.575          0.000          0.000
    67     3     8  1982       2      20  aqu020                   50.595          0.477         59.309         65.963          3.298          4.966          1.154          0.000          0.500          0.000         15.390          9.410          1.067          0.069         50.595          0.000          0.000
    67     3     8  1982       3      30  aqu030                   31.154          0.487         58.871         36.098          1.805          4.966          1.384          0.000          0.500          0.000         13.267         11.389          0.754          0.044         31.154          0.000          0.000
    67     3     8  1982       4      40  aqu040                   29.136          0.493         58.570         32.922          1.646          4.966          1.388          0.000          0.500          0.000         13.033         11.425          0.709          0.040         29.136          0.000          0.000
    67     3     8  1982       5      50  aqu050                   19.361          0.489         58.829         28.071          1.404          4.966          1.137          0.000          0.500          0.000         10.738          9.357          0.389          0.028         19.361          0.000          0.000
    67     3     8  1982       6      60  aqu060                    6.781          0.499         58.371         12.092          0.605          4.966          0.740          0.000          0.500          0.000          6.165          6.105          0.088          0.008          6.781          0.000          0.000
    67     3     8  1982       7      70  aqu070                   23.151          0.495         58.482         31.387          1.569          4.966          1.383          0.000          0.500          0.000         12.970         11.386          0.559          0.038         23.151          0.000          0.000
    67     3     8  1982       8      80  aqu080                   22.500          0.492         58.631         26.498          1.325          4.966          1.432          0.000          0.500          0.000         12.552         11.804          0.564          0.033         22.500          0.000          0.000
    67     3     8  1982       9      90  aqu090                    2.052          0.500         58.324          7.412          0.371          4.966          0.568          0.000          0.500          0.000          4.491          4.685          0.020          0.004          2.052          0.000          0.000
    67     3     8  1982      10     100  aqu100                   30.860          0.489         58.785         35.756          1.788          4.966          1.324          0.000          0.500          0.000         13.194         10.889          0.717          0.041         30.860          0.000          0.000
    67     3     8  1982      11     110  aqu110                   31.029          0.488         58.824         35.916          1.796          4.966          1.357          0.000          0.500          0.000         13.262         11.164          0.738          0.043         31.029          0.000          0.000
    67     3     8  1982      12     120  aqu120                   31.658          0.485         58.963         37.075          1.854          4.966          1.420          0.000          0.500          0.000         13.696         11.685          0.785          0.046         31.658          0.000          0.000
    67     3     8  1982      13     130  aqu130                   31.232          0.487         58.882         36.143          1.807          4.966          1.396          0.000          0.500          0.000         13.329         11.488          0.762          0.044         31.232          0.000          0.000
    67     3     8  1982      14       1  aqu_deep001               0.000          3.286        401.417          1.749          0.000          0.000          0.003          0.000          0.500          0.000          0.038          0.028          0.000          0.000          0.000          0.000          0.000
