 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982       1       1  cha001               0.2763E+04     0.5211E+05     0.1319E+05     0.5223E+04     0.6157E+05     0.4591E+02     0.3309E+03     0.5569E+02     0.3197E+02     0.3031E+02     0.2054E+03     0.1223E+02     0.4425E+02     0.9118E+07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1396E+02     0.4421E+05     0.3619E+06     0.6108E+05     0.1587E+06     0.4572E+05     0.3271E+06     0.2399E+05     0.3954E+05     0.1300E+11     0.5820E+06     0.6241E-03     0.6241E-03     0.6241E-03     0.6241E-03     0.6241E-03     0.0000E+00     0.2034E+01     0.1394E+02     0.4414E+05     0.3515E+06     0.5955E+05     0.1614E+06     0.5264E+05     0.3303E+06     0.1491E+05     0.5488E+05     0.1148E+11     0.5878E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2034E+01     0.1936E+02
    67     3     8  1982       2       2  cha002               0.5923E+04     0.1117E+06     0.2828E+05     0.1120E+05     0.1300E+06     0.1023E+03     0.7309E+03     0.1231E+03     0.6619E+02     0.6284E+02     0.4438E+03     0.4574E+02     0.7929E+02     0.2030E+08     0.3014E-35     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1229E+02     0.4067E+05     0.3457E+06     0.5807E+05     0.1409E+06     0.3162E+05     0.2959E+06     0.3176E+05     0.1383E+05     0.1420E+11     0.1989E+07     0.6222E-03     0.6222E-03     0.6222E-03     0.6222E-03     0.6222E-03     0.0000E+00     0.2226E+01     0.1224E+02     0.4054E+05     0.3226E+06     0.5470E+05     0.1428E+06     0.4467E+05     0.2954E+06     0.2376E+05     0.3954E+05     0.1071E+11     0.4683E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2226E+01     0.1936E+02
    67     3     8  1982       3       3  cha003               0.4628E+04     0.8727E+05     0.2209E+05     0.8748E+04     0.1415E+06     0.1232E+03     0.9401E+03     0.1565E+03     0.7928E+02     0.7121E+02     0.5550E+03     0.9884E+02     0.5576E+02     0.2636E+08     0.1630E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.6089E+01     0.2195E+05     0.2184E+06     0.3571E+05     0.8597E+05     0.1144E+05     0.1787E+06     0.1396E+05     0.3487E+03     0.1060E+11     0.1365E+07     0.6234E-03     0.6234E-03     0.6234E-03     0.6234E-03     0.6234E-03     0.0000E+00     0.3173E+01     0.6030E+01     0.2179E+05     0.1939E+06     0.3223E+05     0.8638E+05     0.2316E+05     0.1758E+06     0.2148E+05     0.1335E+05     0.6767E+10     0.3899E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3188E+01     0.1936E+02
    67     3     8  1982       4       4  cha004               0.3595E+04     0.6779E+05     0.1716E+05     0.6795E+04     0.6699E+05     0.7124E+02     0.5455E+03     0.8991E+02     0.3810E+02     0.2279E+02     0.2693E+03     0.4833E+02     0.5357E+00     0.1905E+08     0.1659E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3153E+01     0.1285E+05     0.1368E+06     0.2215E+05     0.4972E+05     0.1438E+04     0.1116E+06     0.0000E+00     0.0000E+00     0.8277E+10     0.2551E+07     0.3099E-03     0.3099E-03     0.3099E-03     0.3099E-03     0.3099E-03     0.0000E+00     0.5800E+01     0.3128E+01     0.1279E+05     0.1221E+06     0.2009E+05     0.4933E+05     0.8924E+04     0.1016E+06     0.1248E+05     0.3481E+03     0.5162E+10     0.2765E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5826E+01     0.1936E+02
    67     3     8  1982       5       5  cha005               0.2828E+03     0.5333E+04     0.1350E+04     0.5346E+03     0.2646E+04     0.1262E+01     0.9966E+01     0.1618E+01     0.7326E+00     0.2678E+00     0.4031E+01     0.1085E+00     0.4290E-12     0.4376E+06     0.7811E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1007E+01     0.1697E+04     0.1844E+05     0.2983E+04     0.7981E+04     0.5132E+03     0.1511E+05     0.0000E+00     0.0000E+00     0.1102E+10     0.7598E+06     0.9359E-03     0.9359E-03     0.9359E-03     0.9359E-03     0.9359E-03     0.0000E+00     0.2010E+02     0.1007E+01     0.1697E+04     0.1816E+05     0.2944E+04     0.7973E+04     0.7068E+03     0.1442E+05     0.2332E+03     0.6812E-03     0.1012E+10     0.2033E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2011E+02     0.1936E+02
    67     3     8  1982       6       6  cha006               0.2652E+04     0.5001E+05     0.1266E+05     0.5013E+04     0.3397E+05     0.1332E+02     0.1068E+03     0.1748E+02     0.9604E+01     0.5506E+01     0.4886E+02     0.6976E+01     0.1507E-01     0.3761E+07     0.1912E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2272E+01     0.3376E+04     0.3691E+05     0.5970E+04     0.1729E+05     0.1164E+04     0.3040E+05     0.0000E+00     0.0000E+00     0.2197E+10     0.1709E+07     0.9337E-03     0.9337E-03     0.9337E-03     0.9337E-03     0.9337E-03     0.0000E+00     0.7078E+01     0.2260E+01     0.3368E+04     0.3388E+05     0.5545E+04     0.1699E+05     0.2826E+04     0.2655E+05     0.2576E+04     0.2637E+02     0.1483E+10     0.1191E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7103E+01     0.1936E+02
    67     3     8  1982       7       7  cha007               0.7674E+03     0.1447E+05     0.3663E+04     0.1451E+04     0.9052E+04     0.8263E+01     0.6420E+02     0.1047E+02     0.4053E+01     0.1459E+01     0.2740E+02     0.1910E+01     0.8993E-06     0.2672E+07     0.4964E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1242E+01     0.4140E+04     0.4422E+05     0.7158E+04     0.1622E+05     0.5878E+03     0.3603E+05     0.0000E+00     0.0000E+00     0.2681E+10     0.9835E+06     0.3116E-03     0.3116E-03     0.3116E-03     0.3116E-03     0.3116E-03     0.0000E+00     0.1634E+02     0.1240E+01     0.4136E+04     0.4246E+05     0.6912E+04     0.1618E+05     0.1686E+04     0.3328E+05     0.1486E+04     0.6118E+00     0.2183E+10     0.1400E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1636E+02     0.1936E+02
    67     3     8  1982       8       8  cha008               0.3672E+04     0.6925E+05     0.1753E+05     0.6942E+04     0.7129E+05     0.6274E+02     0.3575E+03     0.6218E+02     0.2475E+02     0.1881E+02     0.1766E+03     0.3797E+02     0.9361E+00     0.1253E+08     0.1435E-26     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3734E+01     0.1276E+05     0.9719E+05     0.1688E+05     0.2670E+05     0.1628E+04     0.7144E+05     0.0000E+00     0.0000E+00     0.5831E+10     0.2018E+07     0.6230E-03     0.6230E-03     0.6230E-03     0.6230E-03     0.6230E-03     0.0000E+00     0.7425E+01     0.3705E+01     0.1270E+05     0.8491E+05     0.1503E+05     0.2699E+05     0.7207E+04     0.6509E+05     0.1028E+05     0.4852E+03     0.3413E+10     0.9150E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7397E+01     0.1936E+02
    67     3     8  1982       9       9  cha009               0.7523E+04     0.1419E+06     0.3591E+05     0.1422E+05     0.1703E+06     0.2157E+03     0.6747E+03     0.1163E+03     0.1129E+03     0.9524E+02     0.4939E+03     0.2731E+02     0.1121E+03     0.2700E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.4599E+02     0.2313E+06     0.9667E+06     0.1669E+06     0.3949E+06     0.1516E+06     0.8628E+06     0.7545E+05     0.9882E+05     0.4212E+11     0.8366E+06     0.3118E-03     0.3118E-03     0.3118E-03     0.3118E-03     0.3118E-03     0.0000E+00     0.1514E+01     0.4592E+02     0.2311E+06     0.9361E+06     0.1624E+06     0.4019E+06     0.1717E+06     0.8790E+06     0.4403E+05     0.1501E+06     0.3673E+11     0.3905E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1514E+01     0.1936E+02
