 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982       1       1  cha001               0.1474E+01     0.9851E+04     0.2494E+04     0.9874E+03     0.6157E+05     0.4591E+02     0.3309E+03     0.5569E+02     0.3197E+02     0.3031E+02     0.2054E+03     0.1223E+02     0.4425E+02     0.9118E+07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2639E+01     0.8358E+04     0.6842E+05     0.1155E+05     0.3001E+05     0.8644E+04     0.6183E+05     0.4536E+04     0.7475E+04     0.2458E+10     0.1100E+06     0.1180E-03     0.1180E-03     0.1180E-03     0.1180E-03     0.1180E-03     0.0000E+00     0.2728E+01     0.2635E+01     0.8345E+04     0.6644E+05     0.1126E+05     0.3052E+05     0.9951E+04     0.6244E+05     0.2819E+04     0.1037E+05     0.2170E+10     0.1111E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2723E+01     0.1936E+02
    67     3     8  1982       2       2  cha002               0.3159E+01     0.2112E+05     0.5346E+04     0.2117E+04     0.1300E+06     0.1023E+03     0.7309E+03     0.1231E+03     0.6619E+02     0.6284E+02     0.4438E+03     0.4574E+02     0.7929E+02     0.2030E+08     0.3014E-35     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2324E+01     0.7689E+04     0.6535E+05     0.1098E+05     0.2663E+05     0.5978E+04     0.5594E+05     0.6005E+04     0.2615E+04     0.2684E+10     0.3761E+06     0.1176E-03     0.1176E-03     0.1176E-03     0.1176E-03     0.1176E-03     0.0000E+00     0.2849E+01     0.2314E+01     0.7663E+04     0.6098E+05     0.1034E+05     0.2700E+05     0.8444E+04     0.5584E+05     0.4492E+04     0.7475E+04     0.2024E+10     0.8852E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2836E+01     0.1936E+02
    67     3     8  1982       3       3  cha003               0.2468E+01     0.1650E+05     0.4176E+04     0.1654E+04     0.1415E+06     0.1232E+03     0.9401E+03     0.1565E+03     0.7928E+02     0.7121E+02     0.5550E+03     0.9884E+02     0.5576E+02     0.2636E+08     0.1630E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1151E+01     0.4150E+04     0.4128E+05     0.6750E+04     0.1625E+05     0.2162E+04     0.3379E+05     0.2639E+04     0.6591E+02     0.2004E+10     0.2580E+06     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.0000E+00     0.2501E+01     0.1140E+01     0.4119E+04     0.3666E+05     0.6093E+04     0.1633E+05     0.4379E+04     0.3324E+05     0.4061E+04     0.2523E+04     0.1279E+10     0.7371E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2494E+01     0.1936E+02
    67     3     8  1982       4       4  cha004               0.1917E+01     0.1282E+05     0.3244E+04     0.1285E+04     0.6699E+05     0.7124E+02     0.5455E+03     0.8991E+02     0.3810E+02     0.2279E+02     0.2693E+03     0.4833E+02     0.5357E+00     0.1905E+08     0.1659E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.5960E+00     0.2429E+04     0.2586E+05     0.4188E+04     0.9398E+04     0.2719E+03     0.2110E+05     0.0000E+00     0.0000E+00     0.1565E+10     0.4823E+06     0.5859E-04     0.5859E-04     0.5859E-04     0.5859E-04     0.5859E-04     0.0000E+00     0.2861E+01     0.5913E+00     0.2418E+04     0.2308E+05     0.3797E+04     0.9325E+04     0.1687E+04     0.1920E+05     0.2358E+04     0.6580E+02     0.9759E+09     0.5228E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2854E+01     0.1936E+02
    67     3     8  1982       5       5  cha005               0.1508E+00     0.1008E+04     0.2552E+03     0.1011E+03     0.2646E+04     0.1262E+01     0.9966E+01     0.1618E+01     0.7326E+00     0.2678E+00     0.4031E+01     0.1085E+00     0.4290E-12     0.4376E+06     0.7811E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1904E+00     0.3208E+03     0.3486E+04     0.5639E+03     0.1509E+04     0.9701E+02     0.2856E+04     0.0000E+00     0.0000E+00     0.2083E+09     0.1436E+06     0.1769E-03     0.1769E-03     0.1769E-03     0.1769E-03     0.1769E-03     0.0000E+00     0.3638E+01     0.1903E+00     0.3208E+03     0.3433E+04     0.5565E+03     0.1507E+04     0.1336E+03     0.2725E+04     0.4409E+02     0.1288E-03     0.1913E+09     0.3844E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3637E+01     0.1936E+02
    67     3     8  1982       6       6  cha006               0.1414E+01     0.9454E+04     0.2393E+04     0.9477E+03     0.3397E+05     0.1332E+02     0.1068E+03     0.1748E+02     0.9604E+01     0.5506E+01     0.4886E+02     0.6976E+01     0.1507E-01     0.3761E+07     0.1912E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.4295E+00     0.6383E+03     0.6977E+04     0.1129E+04     0.3269E+04     0.2200E+03     0.5747E+04     0.0000E+00     0.0000E+00     0.4153E+09     0.3232E+06     0.1765E-03     0.1765E-03     0.1765E-03     0.1765E-03     0.1765E-03     0.0000E+00     0.2610E+01     0.4273E+00     0.6367E+03     0.6404E+04     0.1048E+04     0.3212E+04     0.5342E+03     0.5018E+04     0.4870E+03     0.4984E+01     0.2804E+09     0.2252E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2608E+01     0.1936E+02
    67     3     8  1982       7       7  cha007               0.4093E+00     0.2736E+04     0.6925E+03     0.2742E+03     0.9052E+04     0.8263E+01     0.6420E+02     0.1047E+02     0.4053E+01     0.1459E+01     0.2740E+02     0.1910E+01     0.8993E-06     0.2672E+07     0.4964E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2348E+00     0.7826E+03     0.8359E+04     0.1353E+04     0.3067E+04     0.1111E+03     0.6810E+04     0.0000E+00     0.0000E+00     0.5068E+09     0.1859E+06     0.5891E-04     0.5891E-04     0.5891E-04     0.5891E-04     0.5891E-04     0.0000E+00     0.3602E+01     0.2343E+00     0.7819E+03     0.8026E+04     0.1307E+04     0.3059E+04     0.3186E+03     0.6292E+04     0.2809E+03     0.1157E+00     0.4127E+09     0.2647E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3600E+01     0.1936E+02
    67     3     8  1982       8       8  cha008               0.1959E+01     0.1309E+05     0.3314E+04     0.1312E+04     0.7129E+05     0.6274E+02     0.3575E+03     0.6218E+02     0.2475E+02     0.1881E+02     0.1766E+03     0.3797E+02     0.9361E+00     0.1253E+08     0.1435E-26     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.7059E+00     0.2413E+04     0.1837E+05     0.3192E+04     0.5048E+04     0.3078E+03     0.1351E+05     0.0000E+00     0.0000E+00     0.1102E+10     0.3815E+06     0.1178E-03     0.1178E-03     0.1178E-03     0.1178E-03     0.1178E-03     0.0000E+00     0.4536E+01     0.7005E+00     0.2402E+04     0.1605E+05     0.2840E+04     0.5103E+04     0.1362E+04     0.1230E+05     0.1944E+04     0.9171E+02     0.6451E+09     0.1730E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4481E+01     0.1936E+02
    67     3     8  1982       9       9  cha009               0.4013E+01     0.2682E+05     0.6789E+04     0.2688E+04     0.1703E+06     0.2157E+03     0.6747E+03     0.1163E+03     0.1129E+03     0.9524E+02     0.4939E+03     0.2731E+02     0.1121E+03     0.2700E+08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.8695E+01     0.4373E+05     0.1827E+06     0.3156E+05     0.7465E+05     0.2866E+05     0.1631E+06     0.1426E+05     0.1868E+05     0.7962E+10     0.1582E+06     0.5894E-04     0.5894E-04     0.5894E-04     0.5894E-04     0.5894E-04     0.0000E+00     0.4467E+01     0.8681E+01     0.4369E+05     0.1770E+06     0.3070E+05     0.7597E+05     0.3246E+05     0.1662E+06     0.8324E+04     0.2838E+05     0.6944E+10     0.7383E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4459E+01     0.1936E+02
    67     3     8  1982      10      10  cha010               0.9097E+01     0.6081E+05     0.1539E+05     0.6095E+04     0.3877E+06     0.5635E+03     0.1714E+04     0.2896E+03     0.2279E+03     0.2370E+03     0.1251E+04     0.1233E+03     0.2390E+03     0.7269E+08     0.1284E-34     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.6187E+01     0.3906E+05     0.1709E+06     0.2872E+05     0.5369E+05     0.1950E+05     0.1468E+06     0.7262E+04     0.1445E+05     0.9637E+10     0.3032E+06     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.1179E-03     0.0000E+00     0.3594E+01     0.6152E+01     0.3895E+05     0.1560E+06     0.2653E+05     0.5631E+05     0.2756E+05     0.1461E+06     0.1384E+05     0.1837E+05     0.6550E+10     0.1619E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3565E+01     0.1936E+02
