 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    67     3     8  1982       1       1  cha001               0.2639E+01     0.0000E+00     0.2635E+01     0.2639E+01     0.4421E+05     0.4420E+05     0.0000E+00     0.0000E+00     0.7635E+01     0.2189E+05     0.0000E+00     0.0000E+00     0.1399E+02     0.4541E+02     0.6270E-01     0.1308E+03     0.0000E+00     0.0000E+00     0.1521E+04     0.0000E+00     0.1518E+04     0.8004E+01     0.1644E+04     0.3165E+03     0.2316E+02     0.1521E+05
    67     3     8  1982       2       2  cha002               0.2324E+01     0.0000E+00     0.2314E+01     0.2324E+01     0.4067E+05     0.4067E+05     0.0000E+00     0.0000E+00     0.7381E+01     0.4349E+05     0.0000E+00     0.0000E+00     0.1290E+02     0.4183E+02     0.6002E-01     0.1212E+03     0.0000E+00     0.0000E+00     0.1534E+04     0.0000E+00     0.1527E+04     0.1779E+02     0.1492E+04     0.2804E+03     0.2124E+02     0.1187E+05
    67     3     8  1982       3       3  cha003               0.1151E+01     0.0000E+00     0.1140E+01     0.1151E+01     0.2195E+05     0.2194E+05     0.0000E+00     0.0000E+00     0.1671E+02     0.7484E+04     0.0000E+00     0.0000E+00     0.8914E+01     0.7321E+01     0.1654E-01     0.2670E+02     0.0000E+00     0.0000E+00     0.1406E+04     0.0000E+00     0.1392E+04     0.1658E+02     0.8892E+03     0.1563E+03     0.2723E+01     0.1264E+03
    67     3     8  1982       4       4  cha004               0.5960E+00     0.0000E+00     0.5913E+00     0.5960E+00     0.1285E+05     0.1284E+05     0.0000E+00     0.0000E+00     0.4948E+01     0.1210E+05     0.0000E+00     0.0000E+00     0.6039E+01     0.1811E+02     0.5214E-01     0.5556E+02     0.0000E+00     0.0000E+00     0.1393E+04     0.0000E+00     0.1382E+04     0.9450E+01     0.5198E+03     0.8186E+02     0.8312E+01     0.1049E+04
    67     3     8  1982       5       5  cha005               0.1904E+00     0.0000E+00     0.1903E+00     0.1943E+00     0.1697E+04     0.1697E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.1799E+04     0.0000E+00     0.0000E+00     0.2920E+01     0.3042E+02     0.2301E+00     0.1050E+03     0.0000E+00     0.0000E+00     0.1495E+04     0.0000E+00     0.1494E+04     0.1449E+00     0.7439E+02     0.1030E+02     0.1281E+02     0.3962E+04
    67     3     8  1982       6       6  cha006               0.4295E+00     0.0000E+00     0.4273E+00     0.4295E+00     0.3376E+04     0.3376E+04     0.0000E+00     0.0000E+00     0.7486E+00     0.1677E+05     0.0000E+00     0.0000E+00     0.4749E+01     0.3002E+02     0.1342E+00     0.1044E+03     0.0000E+00     0.0000E+00     0.1498E+04     0.0000E+00     0.1491E+04     0.1812E+01     0.1509E+03     0.2362E+02     0.1253E+02     0.3579E+04
    67     3     8  1982       7       7  cha007               0.2348E+00     0.0000E+00     0.2343E+00     0.2348E+00     0.4140E+04     0.4139E+04     0.0000E+00     0.0000E+00     0.9563E+00     0.3499E+04     0.0000E+00     0.0000E+00     0.3408E+01     0.2302E+02     0.1349E+00     0.7529E+02     0.0000E+00     0.0000E+00     0.1424E+04     0.0000E+00     0.1421E+04     0.9789E+00     0.1696E+03     0.2426E+02     0.1009E+02     0.1820E+04
    67     3     8  1982       8       8  cha008               0.7059E+00     0.0000E+00     0.7005E+00     0.7059E+00     0.1276E+05     0.1276E+05     0.0000E+00     0.0000E+00     0.4695E+01     0.1469E+05     0.0000E+00     0.0000E+00     0.5476E+01     0.2031E+02     0.4579E-01     0.6605E+02     0.0000E+00     0.0000E+00     0.1942E+04     0.0000E+00     0.1928E+04     0.1161E+02     0.3461E+03     0.6273E+02     0.9708E+01     0.1271E+04
    67     3     8  1982       9       9  cha009               0.8695E+01     0.0000E+00     0.8681E+01     0.8695E+01     0.2313E+06     0.2313E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.1646E+06     0.0000E+00     0.0000E+00     0.2335E+02     0.1981E+03     0.1071E+00     0.3613E+03     0.0000E+00     0.0000E+00     0.2133E+04     0.0000E+00     0.2130E+04     0.4615E+02     0.4323E+04     0.9426E+03     0.1336E+03     0.1049E+07
    67     3     8  1982      10      10  cha010               0.6187E+01     0.0000E+00     0.6152E+01     0.6187E+01     0.2066E+06     0.2066E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.2407E+06     0.0000E+00     0.0000E+00     0.2125E+02     0.8056E+02     0.8309E-01     0.2330E+03     0.0000E+00     0.0000E+00     0.1777E+04     0.0000E+00     0.1767E+04     0.1215E+03     0.3649E+04     0.8074E+03     0.4245E+02     0.7793E+05
    67     3     8  1982      11      11  cha011               0.3961E+01     0.0000E+00     0.3940E+01     0.3961E+01     0.6485E+05     0.6484E+05     0.0000E+00     0.0000E+00     0.1117E+02     0.9848E+05     0.0000E+00     0.0000E+00     0.1785E+02     0.5581E+02     0.6714E-01     0.1576E+03     0.0000E+00     0.0000E+00     0.1521E+04     0.0000E+00     0.1513E+04     0.3143E+02     0.2386E+04     0.5035E+03     0.2896E+02     0.2884E+05
    67     3     8  1982      12      12  cha012               0.3347E+01     0.0000E+00     0.3335E+01     0.3347E+01     0.5331E+05     0.5330E+05     0.0000E+00     0.0000E+00     0.9421E+01     0.6352E+05     0.0000E+00     0.0000E+00     0.1624E+02     0.5274E+02     0.6846E-01     0.1496E+03     0.0000E+00     0.0000E+00     0.1504E+04     0.0000E+00     0.1498E+04     0.1956E+02     0.2020E+04     0.4030E+03     0.2716E+02     0.2405E+05
    67     3     8  1982      13      13  cha013               0.7804E+01     0.0000E+00     0.7740E+01     0.7804E+01     0.2983E+06     0.2983E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.4592E+06     0.0000E+00     0.0000E+00     0.2350E+02     0.1582E+03     0.7429E-01     0.2611E+03     0.0000E+00     0.0000E+00     0.1895E+04     0.0000E+00     0.1880E+04     0.2695E+03     0.6451E+04     0.1413E+04     0.1100E+03     0.5559E+06
    67     3     8  1982      14      14  cha014               0.5274E+01     0.0000E+00     0.5266E+01     0.5274E+01     0.1884E+06     0.1884E+06     0.0000E+00     0.0000E+00     0.0000E+00     0.5000E+05     0.0000E+00     0.0000E+00     0.2090E+02     0.7073E+02     0.7136E-01     0.1896E+03     0.0000E+00     0.0000E+00     0.1557E+04     0.0000E+00     0.1554E+04     0.3088E+02     0.4981E+04     0.1018E+04     0.3913E+02     0.5909E+05
