 Prueba3                  
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982       1    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       2    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       3    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       4    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       5    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       6    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       7    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       8    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982       9    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      10    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      11    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      12    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      13    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      14    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      15    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      16    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      17    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      18    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      19    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      20    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      21    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      22    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      23    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      24    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      25    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      26    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      27    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      28    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      29    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      30    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      31    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      32    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      33    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      34    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      35    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      36    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      37    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      38    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      39    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      40    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      41    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      42    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      43    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      44    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      45    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      46    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      47    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      48    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      49    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      50    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      51    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      52    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      53    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      54    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      55    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      56    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      57    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      58    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      59    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      60    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      61    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      62    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      63    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      64    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      65    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      66    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      67    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      68    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      69    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      70    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      71    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      72    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      73    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      74    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      75    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      76    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      77    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      78    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      79    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      80    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      81    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      82    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      83    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      84    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      85    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      86    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      87    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      88    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      89    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982      90    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      91    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      92    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      93    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      94    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      95    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      96    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      97    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      98    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982      99    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982     100    tuwo                                                0.000       0.000       0.000       0.000
    67     3     8  1982     101    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982     102    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982     103    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982     104    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982     105    shrb                                                0.000       0.000       0.000       0.000
    67     3     8  1982     106    shrb                                                0.000       0.000       0.000       0.000
