 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    67     3     8  1982       1       1  hru001                 9.809     104.418      12.101       0.355      37.597       1.098       0.000       4.810       0.000       2.174       0.000       0.000
    67     3     8  1982       2       2  hru002                15.650      90.283      10.185       0.560      14.287       1.811       0.000       6.683       0.000       1.573       0.000       0.000
    67     3     8  1982       3       3  hru003                 7.928      84.855       9.833       0.356      31.389       1.169       0.000       3.902       0.000       2.201       0.000       0.000
    67     3     8  1982       4       4  hru004                 1.681       9.956       1.123       0.663       4.112       2.044       0.000       0.730       0.000       1.605       0.000       0.000
    67     3     8  1982       5       5  hru005                 3.898      22.938       2.587       0.622       6.434       1.996       0.000       1.685       0.000       1.598       0.000       0.000
    67     3     8  1982       6       6  hru006                13.844      80.004       9.025       0.564      12.983       1.836       0.000       5.915       0.000       1.576       0.000       0.000
    67     3     8  1982       7       7  hru007                 8.198      87.565      10.148       0.356      31.769       1.164       0.000       4.028       0.000       2.200       0.000       0.000
    67     3     8  1982       8       8  hru008                 7.464      80.112       9.284       0.354      29.298       1.191       0.000       3.682       0.000       2.210       0.000       0.000
    67     3     8  1982       9       9  hru009                 2.507      28.050       3.250       0.338      15.541       1.376       0.000       1.283       0.000       2.275       0.000       0.000
    67     3     8  1982      10      10  hru010                 6.277      68.042       7.885       0.347      26.922       1.220       0.000       3.124       0.000       2.221       0.000       0.000
    67     3     8  1982      11      11  hru011                 2.358      26.440       3.064       0.338      15.484       1.378       0.000       1.209       0.000       2.275       0.000       0.000
    67     3     8  1982      12      12  hru012                 1.044      11.756       1.362       0.343       9.844       1.461       0.000       0.537       0.000       2.304       0.000       0.000
    67     3     8  1982      13      13  hru013                 4.208      24.730       2.789       0.618       6.616       1.990       0.000       1.817       0.000       1.597       0.000       0.000
    67     3     8  1982      14      14  hru014                12.037      69.858       7.880       0.567      12.225       1.859       0.000       5.158       0.000       1.578       0.000       0.000
    67     3     8  1982      15      15  hru015                 4.049      23.810       2.685       0.620       6.536       1.993       0.000       1.749       0.000       1.597       0.000       0.000
