 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    67     3     8  1982       1       1  hru001                 1.854      19.739       2.288       0.067       7.107       0.208       0.000       0.909       0.000       0.411       0.000       0.000
    67     3     8  1982       2       2  hru002                 2.959      17.067       1.925       0.106       2.701       0.342       0.000       1.263       0.000       0.297       0.000       0.000
    67     3     8  1982       3       3  hru003                 1.499      16.041       1.859       0.067       5.934       0.221       0.000       0.738       0.000       0.416       0.000       0.000
    67     3     8  1982       4       4  hru004                 0.318       1.882       0.212       0.125       0.777       0.386       0.000       0.138       0.000       0.303       0.000       0.000
    67     3     8  1982       5       5  hru005                 0.737       4.336       0.489       0.118       1.216       0.377       0.000       0.318       0.000       0.302       0.000       0.000
    67     3     8  1982       6       6  hru006                 2.617      15.124       1.706       0.107       2.454       0.347       0.000       1.118       0.000       0.298       0.000       0.000
    67     3     8  1982       7       7  hru007                 1.550      16.553       1.918       0.067       6.006       0.220       0.000       0.761       0.000       0.416       0.000       0.000
    67     3     8  1982       8       8  hru008                 1.411      15.145       1.755       0.067       5.538       0.225       0.000       0.696       0.000       0.418       0.000       0.000
    67     3     8  1982       9       9  hru009                 0.474       5.303       0.614       0.064       2.938       0.260       0.000       0.243       0.000       0.430       0.000       0.000
    67     3     8  1982      10      10  hru010                 1.187      12.863       1.491       0.066       5.089       0.231       0.000       0.591       0.000       0.420       0.000       0.000
    67     3     8  1982      11      11  hru011                 0.446       4.998       0.579       0.064       2.927       0.261       0.000       0.229       0.000       0.430       0.000       0.000
    67     3     8  1982      12      12  hru012                 0.197       2.222       0.258       0.065       1.861       0.276       0.000       0.101       0.000       0.436       0.000       0.000
    67     3     8  1982      13      13  hru013                 0.795       4.675       0.527       0.117       1.251       0.376       0.000       0.343       0.000       0.302       0.000       0.000
    67     3     8  1982      14      14  hru014                 2.276      13.206       1.490       0.107       2.311       0.352       0.000       0.975       0.000       0.298       0.000       0.000
    67     3     8  1982      15      15  hru015                 0.765       4.501       0.508       0.117       1.236       0.377       0.000       0.331       0.000       0.302       0.000       0.000
    67     3     8  1982      16      16  hru016                 2.636      15.261       1.722       0.107       2.526       0.346       0.000       1.128       0.000       0.298       0.000       0.000
