 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982       1       1  hru001         0.000       0.000      20.565      15.759            0.000            0.000            0.000          145.535          144.047          -32.573           24.535            2.709            0.515            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       2       2  hru002         0.000       0.000      14.023      10.162            0.000            0.000            0.000           64.466           94.655          -19.984           16.089            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       3       3  hru003         0.000       0.000      20.366      15.796            0.000            0.000            0.000          145.644          144.185          -32.688           24.558            2.744            0.521            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       4       4  hru004         0.000       0.000      12.332      10.505            0.000            0.000            0.000           66.942           94.518          -20.173           16.063            2.757            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       5       5  hru005         0.000       0.000      12.655      10.458            0.000            0.000            0.000           66.182           94.582          -20.126           16.075            2.761            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       6       6  hru006         0.000       0.000      13.819      10.198            0.000            0.000            0.000           64.687           94.654          -20.001           16.089            2.770            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       7       7  hru007         0.000       0.000      20.393      15.791            0.000            0.000            0.000          145.555          144.177          -32.682           24.557            2.742            0.521            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       8       8  hru008         0.000       0.000      20.316      15.806            0.000            0.000            0.000          145.842          144.228          -32.725           24.565            2.756            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       9       9  hru009         0.000       0.000      19.728      15.955            0.000            0.000            0.000          146.317          144.572          -32.999           24.622            2.809            0.534            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      10      10  hru010         0.000       0.000      20.193      15.834            0.000            0.000            0.000          145.740          144.281          -32.772           24.574            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      11      11  hru011         0.000       0.000      19.705      15.960            0.000            0.000            0.000          146.298          144.576          -33.001           24.623            2.809            0.534            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      12      12  hru012         0.000       0.000      19.482      16.024            0.000            0.000            0.000          146.347          144.782          -33.121           24.657            2.817            0.535            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      13      13  hru013         0.000       0.000      12.698      10.448            0.000            0.000            0.000           66.145           94.588          -20.120           16.076            2.761            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      14      14  hru014         0.000       0.000      13.620      10.236            0.000            0.000            0.000           64.801           94.658          -20.012           16.089            2.769            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      15      15  hru015         0.000       0.000      12.676      10.453            0.000            0.000            0.000           66.152           94.585          -20.124           16.075            2.761            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      16      16  hru016         0.000       0.000      13.834      10.195            0.000            0.000            0.000           64.707           94.661          -19.993           16.090            2.771            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      17      17  hru017         0.000       0.000      12.675      10.453            0.000            0.000            0.000           66.140           94.589          -20.121           16.076            2.761            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      18      18  hru018         0.000       0.000      13.521      10.255            0.000            0.000            0.000           64.803           94.658          -20.019           16.089            2.769            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      19      19  hru019         0.000       0.000      19.727      15.955            0.000            0.000            0.000          146.279          144.574          -33.000           24.623            2.809            0.534            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      20      20  hru020         0.000       0.000      20.274      15.815            0.000            0.000            0.000          145.745          144.255          -32.753           24.570            2.765            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      21      21  hru021         0.000       0.000      19.488      16.023            0.000            0.000            0.000          146.334          144.785          -33.123           24.658            2.817            0.535            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      22      22  hru022         0.000       0.000      19.725      15.956            0.000            0.000            0.000          146.287          144.572          -32.998           24.622            2.808            0.534            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      23      23  hru023         0.000       0.000      20.412      15.787            0.000            0.000            0.000          145.693          144.165          -32.668           24.555            2.739            0.520            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      24      24  hru024         0.000       0.000      19.713      15.958            0.000            0.000            0.000          146.297          144.572          -32.998           24.622            2.808            0.534            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      25      25  hru025         0.000       0.000      20.277      15.815            0.000            0.000            0.000          145.774          144.226          -32.719           24.565            2.754            0.523            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      26      26  hru026         0.000       0.000      20.381      15.794            0.000            0.000            0.000          145.755          144.198          -32.702           24.560            2.749            0.522            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      27      27  hru027         0.000       0.000      19.753      15.948            0.000            0.000            0.000          146.305          144.560          -32.992           24.620            2.808            0.534            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      28      28  hru028         0.000       0.000      20.510      15.768            0.000            0.000            0.000          145.849          144.103          -32.618           24.544            2.725            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      29      29  hru029         0.000       0.000      15.285       9.965            0.000            0.000            0.000           65.146           94.630          -19.896           16.086            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      30      30  hru030         0.000       0.000      14.262      10.122            0.000            0.000            0.000           64.744           94.645          -19.977           16.088            2.773            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      31      31  hru031         0.000       0.000      20.467      15.776            0.000            0.000            0.000          145.886          144.130          -32.638           24.549            2.732            0.519            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      32      32  hru032         0.000       0.000      14.410      10.097            0.000            0.000            0.000           64.731           94.658          -19.950           16.090            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      33      33  hru033         0.000       0.000      14.252      10.123            0.000            0.000            0.000           64.741           94.669          -19.951           16.092            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      34      34  hru034         0.000       0.000      21.858       8.631            0.000            0.000            0.000           64.768           93.321          -20.095           15.879            2.778            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      35      35  hru035         0.000       0.000      14.421      10.096            0.000            0.000            0.000           64.823           94.668          -19.937           16.092            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      36      36  hru036         0.000       0.000      26.273      14.964            0.000            0.000            0.000          145.646          143.773          -32.834           24.492            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      37      37  hru037         0.000       0.000      21.154       8.056            0.000            0.000            0.000           92.877           82.688          -18.368           14.068            2.702            0.513            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      38      38  hru038         0.000       0.000      20.403      15.790            0.000            0.000            0.000          145.712          144.199          -32.705           24.561            2.750            0.522            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      39      39  hru039         0.000       0.000      13.545       9.951            0.000            0.000            0.000           91.583           84.085          -18.158           14.289            2.707            0.514            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      40      40  hru040         0.000       0.000      13.261      10.013            0.000            0.000            0.000           92.780           84.051          -18.169           14.282            2.703            0.513            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      41      41  hru041         0.000       0.000      12.157      10.237            0.000            0.000            0.000           98.887           83.865          -18.224           14.250            2.669            0.507            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      42      42  hru042         0.000       0.000      20.478      15.775            0.000            0.000            0.000          145.692          144.087          -32.602           24.542            2.719            0.517            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      43      43  hru043         0.000       0.000      20.430      15.783            0.000            0.000            0.000          145.836          144.161          -32.665           24.554            2.739            0.520            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      44      44  hru044         0.000       0.000      20.344      15.801            0.000            0.000            0.000          145.661          144.157          -32.655           24.553            2.735            0.520            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      45      45  hru045         0.000       0.000      20.377      15.794            0.000            0.000            0.000          145.746          144.162          -32.662           24.554            2.738            0.520            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      46      46  hru046         0.000       0.000      26.346      14.938            0.000            0.000            0.000          145.646          143.708          -32.783           24.481            2.759            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      47      47  hru047         0.000       0.000      20.467      15.776            0.000            0.000            0.000          145.867          144.136          -32.645           24.550            2.733            0.519            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      48      48  hru048         0.000       0.000      13.539       9.951            0.000            0.000            0.000           91.951           84.072          -18.161           14.286            2.706            0.514            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      49      49  hru049         0.000       0.000      20.484      15.773            0.000            0.000            0.000          145.829          144.120          -32.632           24.547            2.729            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      50      50  hru050         0.000       0.000      20.575      15.756            0.000            0.000            0.000          145.841          144.052          -32.577           24.536            2.712            0.515            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      51      51  hru051         0.000       0.000      20.596      15.752            0.000            0.000            0.000          145.902          144.059          -32.585           24.537            2.715            0.516            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      52      52  hru052         0.000       0.000      20.609      15.750            0.000            0.000            0.000          145.882          144.036          -32.565           24.533            2.709            0.515            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      53      53  hru053         0.000       0.000      14.459      10.091            0.000            0.000            0.000           64.909           94.672          -19.926           16.092            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      54      54  hru054         0.000       0.000      21.845       8.653            0.000            0.000            0.000           64.703           93.389          -20.110           15.889            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      55      55  hru055         0.000       0.000      12.669      10.454            0.000            0.000            0.000           66.259           94.601          -20.114           16.078            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      56      56  hru056         0.000       0.000      12.351      10.515            0.000            0.000            0.000           67.038           94.543          -20.161           16.068            2.758            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      57      57  hru057         0.000       0.000      13.425      10.273            0.000            0.000            0.000           65.070           94.658          -20.027           16.089            2.768            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      58      58  hru058         0.000       0.000      12.656      10.457            0.000            0.000            0.000           66.217           94.595          -20.118           16.077            2.761            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      59      59  hru059         0.000       0.000      13.616      10.235            0.000            0.000            0.000           64.862           94.672          -19.999           16.091            2.770            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      60      60  hru060         0.000       0.000      13.410      10.277            0.000            0.000            0.000           65.175           94.654          -20.032           16.088            2.768            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      61      61  hru061         0.000       0.000      12.326      10.518            0.000            0.000            0.000           67.096           94.540          -20.163           16.067            2.758            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      62      62  hru062         0.000       0.000      12.652      10.458            0.000            0.000            0.000           66.318           94.601          -20.115           16.078            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      63      63  hru063         0.000       0.000      12.676      10.453            0.000            0.000            0.000           66.200           94.598          -20.115           16.077            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      64      64  hru064         0.000       0.000      13.498      10.258            0.000            0.000            0.000           64.922           94.665          -20.015           16.090            2.769            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      65      65  hru065         0.000       0.000      12.707      10.445            0.000            0.000            0.000           66.278           94.600          -20.113           16.078            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      66      66  hru066         0.000       0.000      14.142      10.141            0.000            0.000            0.000           64.907           94.669          -19.962           16.092            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      67      67  hru067         0.000       0.000      14.056      10.156            0.000            0.000            0.000           65.113           94.686          -19.950           16.094            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      68      68  hru068         0.000       0.000      14.232      10.126            0.000            0.000            0.000           65.157           94.678          -19.943           16.093            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      69      69  hru069         0.000       0.000      14.258      10.123            0.000            0.000            0.000           65.105           94.681          -19.937           16.094            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      70      70  hru070         0.000       0.000      14.445      10.093            0.000            0.000            0.000           65.289           94.676          -19.925           16.093            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      71      71  hru071         0.000       0.000      14.947      10.016            0.000            0.000            0.000           65.340           94.655          -19.899           16.090            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      72      72  hru072         0.000       0.000      14.905      10.022            0.000            0.000            0.000           65.445           94.660          -19.896           16.091            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      73      73  hru073         0.000       0.000      14.436      10.096            0.000            0.000            0.000           65.363           94.682          -19.916           16.094            2.778            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      74      74  hru074         0.000       0.000      14.344      10.111            0.000            0.000            0.000           65.547           94.692          -19.913           16.096            2.779            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      75      75  hru075         0.000       0.000      12.680      10.450            0.000            0.000            0.000           66.330           94.611          -20.107           16.080            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      76      76  hru076         0.000       0.000      13.954      10.173            0.000            0.000            0.000           65.087           94.687          -19.959           16.094            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      77      77  hru077         0.000       0.000      11.955       7.936            0.000            0.000            0.000           44.357           72.976          -17.784           12.341            2.578            0.490            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      78      78  hru078         0.000       0.000      13.933      10.177            0.000            0.000            0.000           65.109           94.691          -19.955           16.095            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      79      79  hru079         0.000       0.000      14.726      10.051            0.000            0.000            0.000           65.697           94.675          -19.895           16.093            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      80      80  hru080         0.000       0.000      13.427       7.740            0.000            0.000            0.000           43.200           73.111          -17.736           12.366            2.549            0.484            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      81      81  hru081         0.000       0.000      12.113       7.919            0.000            0.000            0.000           44.189           73.030          -17.770           12.350            2.577            0.490            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      82      82  hru082         0.000       0.000      14.193      10.132            0.000            0.000            0.000           64.765           94.668          -19.958           16.091            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      83      83  hru083         0.000       0.000      21.818       8.688            0.000            0.000            0.000           64.587           93.463          -20.135           15.900            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      84      84  hru084         0.000       0.000      12.188      10.231            0.000            0.000            0.000           98.923           83.893          -18.217           14.254            2.672            0.508            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      85      85  hru085         0.000       0.000      13.913       9.876            0.000            0.000            0.000           90.387           84.167          -18.135           14.303            2.727            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      86      86  hru086         0.000       0.000      21.228       8.004            0.000            0.000            0.000           92.496           82.674          -18.364           14.067            2.707            0.514            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      87      87  hru087         0.000       0.000      13.156      10.036            0.000            0.000            0.000           93.243           84.037          -18.173           14.280            2.701            0.513            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      88      88  hru088         0.000       0.000      14.466      10.089            0.000            0.000            0.000           64.804           94.666          -19.934           16.091            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      89      89  hru089         0.000       0.000      21.845       8.657            0.000            0.000            0.000           64.735           93.399          -20.120           15.891            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      90      90  hru090         0.000       0.000      13.802      10.201            0.000            0.000            0.000           64.796           94.664          -19.993           16.090            2.771            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      91      91  hru091         0.000       0.000      13.972      10.170            0.000            0.000            0.000           64.855           94.665          -19.979           16.091            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      92      92  hru092         0.000       0.000      12.711      10.444            0.000            0.000            0.000           66.284           94.601          -20.112           16.078            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      93      93  hru093         0.000       0.000      12.153      10.238            0.000            0.000            0.000           98.840           83.868          -18.223           14.250            2.669            0.507            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      94      94  hru094         0.000       0.000      13.442       9.975            0.000            0.000            0.000           91.745           84.092          -18.157           14.290            2.707            0.514            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      95      95  hru095         0.000       0.000      13.154      10.036            0.000            0.000            0.000           93.182           84.043          -18.172           14.281            2.701            0.513            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      96      96  hru096         0.000       0.000      12.149      10.239            0.000            0.000            0.000           98.867           83.868          -18.223           14.250            2.669            0.507            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      97      97  hru097         0.000       0.000      12.674      10.452            0.000            0.000            0.000           66.333           94.607          -20.110           16.079            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      98      98  hru098         0.000       0.000      14.016      10.162            0.000            0.000            0.000           64.985           94.676          -19.964           16.093            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      99      99  hru099         0.000       0.000      14.246      10.123            0.000            0.000            0.000           64.769           94.663          -19.959           16.091            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     100     100  hru100         0.000       0.000      21.840       8.656            0.000            0.000            0.000           64.879           93.397          -20.100           15.891            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     101     101  hru101         0.000       0.000      14.371      10.104            0.000            0.000            0.000           64.825           94.668          -19.942           16.092            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     102     102  hru102         0.000       0.000      14.296       9.797            0.000            0.000            0.000           88.962           84.176          -18.129           14.305            2.732            0.519            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     103     103  hru103         0.000       0.000      15.195       9.978            0.000            0.000            0.000           65.302           94.635          -19.900           16.087            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     104     104  hru104         0.000       0.000      15.309       9.964            0.000            0.000            0.000           65.553           94.647          -19.859           16.089            2.785            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     105     105  hru105         0.000       0.000      15.554       9.582            0.000            0.000            0.000           84.692           84.381          -18.067           14.341            2.756            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     106     106  hru106         0.000       0.000      15.269       9.968            0.000            0.000            0.000           65.533           94.641          -19.880           16.088            2.783            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     107     107  hru107         0.000       0.000      15.238       9.973            0.000            0.000            0.000           65.737           94.651          -19.866           16.090            2.785            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     108     108  hru108         0.000       0.000      15.535       9.583            0.000            0.000            0.000           85.327           84.355          -18.074           14.337            2.755            0.523            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     109     109  hru109         0.000       0.000      13.971      10.171            0.000            0.000            0.000           64.925           94.681          -19.962           16.093            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     110     110  hru110         0.000       0.000      14.789      10.042            0.000            0.000            0.000           65.312           94.671          -19.890           16.093            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     111     111  hru111         0.000       0.000      15.601       9.919            0.000            0.000            0.000           65.703           94.628          -19.852           16.086            2.787            0.530            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     112     112  hru112         0.000       0.000      15.925       9.518            0.000            0.000            0.000           84.526           84.356          -18.070           14.337            2.756            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     113     113  hru113         0.000       0.000      11.791      10.322            0.000            0.000            0.000          101.723           83.787          -18.245           14.236            2.654            0.504            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     114     114  hru114         0.000       0.000      12.153      10.238            0.000            0.000            0.000           98.884           83.865          -18.223           14.250            2.669            0.507            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     115     115  hru115         0.000       0.000      12.993      10.069            0.000            0.000            0.000           94.253           83.999          -18.184           14.273            2.697            0.512            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     116     116  hru116         0.000       0.000      21.216       8.018            0.000            0.000            0.000           92.017           82.687          -18.363           14.069            2.706            0.514            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     117     117  hru117         0.000       0.000      12.152      10.239            0.000            0.000            0.000           99.007           83.865          -18.224           14.249            2.669            0.507            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     118     118  hru118         0.000       0.000      13.367       9.989            0.000            0.000            0.000           92.802           84.048          -18.169           14.282            2.703            0.514            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     119     119  hru119         0.000       0.000      11.787      10.324            0.000            0.000            0.000          101.847           83.818          -18.238           14.241            2.658            0.505            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     120     120  hru120         0.000       0.000      12.132      10.244            0.000            0.000            0.000           99.092           83.898          -18.216           14.255            2.672            0.508            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     121     121  hru121         0.000       0.000      13.702       9.919            0.000            0.000            0.000           91.303           84.138          -18.144           14.298            2.718            0.516            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     122     122  hru122         0.000       0.000      12.964      10.074            0.000            0.000            0.000           94.723           83.980          -18.189           14.270            2.694            0.512            0.000            0.000            0.000            0.000            0.000            0.000
