 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982       1       1  hru001         0.000       0.000       3.888       2.979            0.000            0.000            0.000           27.512           27.231           -6.158            4.638            0.512            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       2       2  hru002         0.000       0.000       2.651       1.921            0.000            0.000            0.000           12.187           17.894           -3.778            3.041            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       3       3  hru003         0.000       0.000       3.850       2.986            0.000            0.000            0.000           27.533           27.257           -6.179            4.642            0.519            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       4       4  hru004         0.000       0.000       2.331       1.986            0.000            0.000            0.000           12.655           17.868           -3.814            3.037            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       5       5  hru005         0.000       0.000       2.392       1.977            0.000            0.000            0.000           12.511           17.880           -3.805            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       6       6  hru006         0.000       0.000       2.612       1.928            0.000            0.000            0.000           12.228           17.894           -3.781            3.041            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       7       7  hru007         0.000       0.000       3.855       2.985            0.000            0.000            0.000           27.516           27.255           -6.178            4.642            0.518            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       8       8  hru008         0.000       0.000       3.841       2.988            0.000            0.000            0.000           27.570           27.265           -6.186            4.644            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       9       9  hru009         0.000       0.000       3.729       3.016            0.000            0.000            0.000           27.660           27.330           -6.238            4.655            0.531            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      10      10  hru010         0.000       0.000       3.817       2.993            0.000            0.000            0.000           27.551           27.275           -6.195            4.645            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      11      11  hru011         0.000       0.000       3.725       3.017            0.000            0.000            0.000           27.656           27.331           -6.238            4.655            0.531            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      12      12  hru012         0.000       0.000       3.683       3.029            0.000            0.000            0.000           27.666           27.370           -6.261            4.661            0.532            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      13      13  hru013         0.000       0.000       2.400       1.975            0.000            0.000            0.000           12.504           17.881           -3.804            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      14      14  hru014         0.000       0.000       2.575       1.935            0.000            0.000            0.000           12.250           17.894           -3.783            3.041            0.524            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      15      15  hru015         0.000       0.000       2.396       1.976            0.000            0.000            0.000           12.505           17.880           -3.804            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      16      16  hru016         0.000       0.000       2.615       1.927            0.000            0.000            0.000           12.232           17.895           -3.779            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      17      17  hru017         0.000       0.000       2.396       1.976            0.000            0.000            0.000           12.503           17.881           -3.804            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      18      18  hru018         0.000       0.000       2.556       1.939            0.000            0.000            0.000           12.250           17.894           -3.784            3.041            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      19      19  hru019         0.000       0.000       3.729       3.016            0.000            0.000            0.000           27.653           27.330           -6.238            4.655            0.531            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      20      20  hru020         0.000       0.000       3.833       2.990            0.000            0.000            0.000           27.552           27.270           -6.192            4.645            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      21      21  hru021         0.000       0.000       3.684       3.029            0.000            0.000            0.000           27.663           27.370           -6.262            4.661            0.532            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      22      22  hru022         0.000       0.000       3.729       3.016            0.000            0.000            0.000           27.654           27.330           -6.238            4.655            0.531            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      23      23  hru023         0.000       0.000       3.859       2.984            0.000            0.000            0.000           27.542           27.253           -6.176            4.642            0.518            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      24      24  hru024         0.000       0.000       3.727       3.017            0.000            0.000            0.000           27.656           27.330           -6.238            4.655            0.531            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      25      25  hru025         0.000       0.000       3.833       2.990            0.000            0.000            0.000           27.557           27.265           -6.185            4.644            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      26      26  hru026         0.000       0.000       3.853       2.986            0.000            0.000            0.000           27.554           27.259           -6.182            4.643            0.520            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      27      27  hru027         0.000       0.000       3.734       3.015            0.000            0.000            0.000           27.658           27.328           -6.237            4.654            0.531            0.101            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      28      28  hru028         0.000       0.000       3.877       2.981            0.000            0.000            0.000           27.572           27.241           -6.166            4.640            0.515            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      29      29  hru029         0.000       0.000       2.890       1.884            0.000            0.000            0.000           12.315           17.889           -3.761            3.041            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      30      30  hru030         0.000       0.000       2.696       1.913            0.000            0.000            0.000           12.239           17.892           -3.776            3.041            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      31      31  hru031         0.000       0.000       3.869       2.982            0.000            0.000            0.000           27.578           27.246           -6.170            4.641            0.516            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      32      32  hru032         0.000       0.000       2.724       1.909            0.000            0.000            0.000           12.237           17.894           -3.771            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      33      33  hru033         0.000       0.000       2.694       1.914            0.000            0.000            0.000           12.239           17.896           -3.772            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      34      34  hru034         0.000       0.000       4.132       1.632            0.000            0.000            0.000           12.244           17.642           -3.799            3.002            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      35      35  hru035         0.000       0.000       2.726       1.909            0.000            0.000            0.000           12.254           17.896           -3.769            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      36      36  hru036         0.000       0.000       4.967       2.829            0.000            0.000            0.000           27.533           27.179           -6.207            4.630            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      37      37  hru037         0.000       0.000       3.999       1.523            0.000            0.000            0.000           17.558           15.631           -3.472            2.659            0.511            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      38      38  hru038         0.000       0.000       3.857       2.985            0.000            0.000            0.000           27.546           27.260           -6.182            4.643            0.520            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      39      39  hru039         0.000       0.000       2.561       1.881            0.000            0.000            0.000           17.313           15.896           -3.433            2.701            0.512            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      40      40  hru040         0.000       0.000       2.507       1.893            0.000            0.000            0.000           17.539           15.889           -3.435            2.700            0.511            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      41      41  hru041         0.000       0.000       2.298       1.935            0.000            0.000            0.000           18.694           15.854           -3.445            2.694            0.504            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      42      42  hru042         0.000       0.000       3.871       2.982            0.000            0.000            0.000           27.542           27.238           -6.163            4.639            0.514            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      43      43  hru043         0.000       0.000       3.862       2.984            0.000            0.000            0.000           27.569           27.252           -6.175            4.642            0.518            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      44      44  hru044         0.000       0.000       3.846       2.987            0.000            0.000            0.000           27.536           27.252           -6.173            4.642            0.517            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      45      45  hru045         0.000       0.000       3.852       2.986            0.000            0.000            0.000           27.552           27.252           -6.174            4.642            0.518            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      46      46  hru046         0.000       0.000       4.980       2.824            0.000            0.000            0.000           27.533           27.167           -6.197            4.628            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
