 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    67     3     8  1982       1       1  hru001              3113.609       0.000       0.000    1174.963     218.319    1393.282     394.108      31.332       0.000       0.000      31.332    1175.123      71.422     263.345     506.425     356.689      80.067       0.000       0.000       0.000      31.547       0.000       0.000       0.000       0.000       0.000    1175.123       0.000       0.000     218.319       0.000       0.000       0.000       0.000       0.000    1286.573       8.196     393.192       0.000       0.000       0.000       0.000
    67     3     8  1982       2       2  hru002              3113.609       0.000       0.000    2498.571      54.613    2553.184     190.881      31.309       0.000       0.000      31.309    2498.616      81.798     285.433     348.339     298.600      97.587       0.000       0.000       0.000      31.503       0.000       0.000       0.000       0.000       0.000    2498.616       0.000       0.000      54.613       0.000       0.000       0.000       0.000       0.000     332.763       3.526     602.774       0.000       0.000       0.000       0.000
    67     3     8  1982       3       3  hru003              3113.609       0.000       0.000    1242.156     183.058    1425.214     401.519      31.492       0.000       0.000      31.492    1242.211      71.642     271.394     507.185     361.498      81.804       0.000       0.000       0.000      31.708       0.000       0.000       0.000       0.000       0.000    1242.211       0.000       0.000     183.058       0.000       0.000       0.000       0.000       0.000    1248.738       2.991     329.688       0.000       0.000       0.000       0.000
    67     3     8  1982       4       4  hru004              3113.609       0.000       0.000    2619.437      15.490    2634.927     194.224      31.683       0.000       0.000      31.683    2619.533      84.205     300.801     348.339     302.785     101.772       0.000       0.000       0.000      31.878       0.000       0.000       0.000       0.000       0.000    2619.533       0.000       0.000      15.490       0.000       0.000       0.000       0.000       0.000     251.467       7.629     170.968       0.000       0.000       0.000       0.000
    67     3     8  1982       5       5  hru005              3113.609       0.000       0.000    2590.935      24.385    2615.320     193.501      31.707       0.000       0.000      31.707    2590.964      83.743     297.104     348.339     301.893     100.880       0.000       0.000       0.000      31.902       0.000       0.000       0.000       0.000       0.000    2590.964       0.000       0.000      24.385       0.000       0.000       0.000       0.000       0.000     271.025       2.300     269.139       0.000       0.000       0.000       0.000
    67     3     8  1982       6       6  hru006              3113.609       0.000       0.000    2510.944      49.562    2560.506     191.215      31.888       0.000       0.000      31.888    2510.959      82.108     286.870     348.339     299.032      98.019       0.000       0.000       0.000      32.085       0.000       0.000       0.000       0.000       0.000    2510.959       0.000       0.000      49.562       0.000       0.000       0.000       0.000       0.000     325.163       1.171     547.025       0.000       0.000       0.000       0.000
    67     3     8  1982       7       7  hru007              3113.609       0.000       0.000    1238.704     185.358    1424.062     401.157      31.261       0.000       0.000      31.261    1238.741      71.631     271.017     507.136     361.261      81.715       0.000       0.000       0.000      31.476       0.000       0.000       0.000       0.000       0.000    1238.741       0.000       0.000     185.358       0.000       0.000       0.000       0.000       0.000    1250.407       1.994     333.830       0.000       0.000       0.000       0.000
    67     3     8  1982       8       8  hru008              3113.609       0.000       0.000    1263.556     171.005    1434.562     404.036      31.735       0.000       0.000      31.735    1263.567      71.710     274.098     507.498     363.131      82.402       0.000       0.000       0.000      31.952       0.000       0.000       0.000       0.000       0.000    1263.567       0.000       0.000     171.005       0.000       0.000       0.000       0.000       0.000    1237.177       0.600     307.980       0.000       0.000       0.000       0.000
    67     3     8  1982       9       9  hru009              3113.609       0.000       0.000    1431.601      91.685    1523.285     422.272      31.592       0.000       0.000      31.592    1431.607      72.184     294.471     508.746     374.852      86.866       0.000       0.000       0.000      31.805       0.000       0.000       0.000       0.000       0.000    1431.607       0.000       0.000      91.685       0.000       0.000       0.000       0.000       0.000    1133.486       0.344     165.124       0.000       0.000       0.000       0.000
