 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    67     3     8  1982       1       1  hru001               588.600       0.000       0.000     222.116      41.271     263.388      74.503       5.923       0.000       0.000       5.923     222.147      71.422     263.345     506.425     356.689      80.067       0.000       0.000       0.000       5.964       0.000       0.000       0.000       0.000       0.000     222.147       0.000       0.000      41.271       0.000       0.000       0.000       0.000       0.000     243.215       1.549      74.329       0.000       0.000       0.000       0.000
    67     3     8  1982       2       2  hru002               588.600       0.000       0.000     472.333      10.324     482.657      36.084       5.919       0.000       0.000       5.919     472.341      81.798     285.433     348.339     298.600      97.587       0.000       0.000       0.000       5.955       0.000       0.000       0.000       0.000       0.000     472.341       0.000       0.000      10.324       0.000       0.000       0.000       0.000       0.000      62.906       0.667     113.949       0.000       0.000       0.000       0.000
    67     3     8  1982       3       3  hru003               588.600       0.000       0.000     234.818      34.606     269.424      75.904       5.953       0.000       0.000       5.953     234.829      71.642     271.394     507.185     361.498      81.804       0.000       0.000       0.000       5.994       0.000       0.000       0.000       0.000       0.000     234.829       0.000       0.000      34.606       0.000       0.000       0.000       0.000       0.000     236.063       0.565      62.325       0.000       0.000       0.000       0.000
    67     3     8  1982       4       4  hru004               588.600       0.000       0.000     495.181       2.928     498.109      36.716       5.989       0.000       0.000       5.989     495.199      84.205     300.801     348.339     302.785     101.772       0.000       0.000       0.000       6.026       0.000       0.000       0.000       0.000       0.000     495.199       0.000       0.000       2.928       0.000       0.000       0.000       0.000       0.000      47.538       1.442      32.320       0.000       0.000       0.000       0.000
    67     3     8  1982       5       5  hru005               588.600       0.000       0.000     489.793       4.610     494.403      36.580       5.994       0.000       0.000       5.994     489.799      83.743     297.104     348.339     301.893     100.880       0.000       0.000       0.000       6.031       0.000       0.000       0.000       0.000       0.000     489.799       0.000       0.000       4.610       0.000       0.000       0.000       0.000       0.000      51.235       0.435      50.878       0.000       0.000       0.000       0.000
    67     3     8  1982       6       6  hru006               588.600       0.000       0.000     474.672       9.369     484.041      36.147       6.028       0.000       0.000       6.028     474.674      82.108     286.870     348.339     299.032      98.019       0.000       0.000       0.000       6.065       0.000       0.000       0.000       0.000       0.000     474.674       0.000       0.000       9.369       0.000       0.000       0.000       0.000       0.000      61.469       0.221     103.410       0.000       0.000       0.000       0.000
    67     3     8  1982       7       7  hru007               588.600       0.000       0.000     234.166      35.040     269.206      75.835       5.910       0.000       0.000       5.910     234.173      71.631     271.017     507.136     361.261      81.715       0.000       0.000       0.000       5.950       0.000       0.000       0.000       0.000       0.000     234.173       0.000       0.000      35.040       0.000       0.000       0.000       0.000       0.000     236.378       0.377      63.108       0.000       0.000       0.000       0.000
    67     3     8  1982       8       8  hru008               588.600       0.000       0.000     238.864      32.327     271.191      76.379       5.999       0.000       0.000       5.999     238.866      71.710     274.098     507.498     363.131      82.402       0.000       0.000       0.000       6.040       0.000       0.000       0.000       0.000       0.000     238.866       0.000       0.000      32.327       0.000       0.000       0.000       0.000       0.000     233.877       0.113      58.221       0.000       0.000       0.000       0.000
    67     3     8  1982       9       9  hru009               588.600       0.000       0.000     270.631      17.332     287.964      79.827       5.972       0.000       0.000       5.972     270.633      72.184     294.471     508.746     374.852      86.866       0.000       0.000       0.000       6.013       0.000       0.000       0.000       0.000       0.000     270.633       0.000       0.000      17.332       0.000       0.000       0.000       0.000       0.000     214.275       0.065      31.215       0.000       0.000       0.000       0.000
    67     3     8  1982      10      10  hru010               588.600       0.000       0.000     243.622      29.776     273.398      76.985       5.963       0.000       0.000       5.963     243.629      71.792     277.546     507.809     365.206      83.167       0.000       0.000       0.000       6.004       0.000       0.000       0.000       0.000       0.000     243.629       0.000       0.000      29.776       0.000       0.000       0.000       0.000       0.000     231.201       0.384      53.627       0.000       0.000       0.000       0.000
    67     3     8  1982      11      11  hru011               588.600       0.000       0.000     270.811      17.273     288.084      79.848       5.959       0.000       0.000       5.959     270.820      72.187     294.605     508.746     374.924      86.898       0.000       0.000       0.000       6.000       0.000       0.000       0.000       0.000       0.000     270.820       0.000       0.000      17.273       0.000       0.000       0.000       0.000       0.000     214.141       0.528      31.108       0.000       0.000       0.000       0.000
    67     3     8  1982      12      12  hru012               588.600       0.000       0.000     284.876      11.047     295.923      81.321       5.960       0.000       0.000       5.960     284.900      72.430     303.716     508.746     379.911      89.241       0.000       0.000       0.000       6.000       0.000       0.000       0.000       0.000       0.000     284.900       0.000       0.000      11.047       0.000       0.000       0.000       0.000       0.000     205.030       1.406      19.896       0.000       0.000       0.000       0.000
    67     3     8  1982      13      13  hru013               588.600       0.000       0.000     489.201       4.740     493.941      36.563       6.026       0.000       0.000       6.026     489.203      83.689     296.667     348.339     301.784     100.771       0.000       0.000       0.000       6.063       0.000       0.000       0.000       0.000       0.000     489.203       0.000       0.000       4.740       0.000       0.000       0.000       0.000       0.000      51.672       0.155      52.316       0.000       0.000       0.000       0.000
    67     3     8  1982      14      14  hru014               588.600       0.000       0.000     476.238       8.820     485.057      36.192       6.051       0.000       0.000       6.051     476.249      82.316     287.896     348.339     299.334      98.322       0.000       0.000       0.000       6.088       0.000       0.000       0.000       0.000       0.000     476.249       0.000       0.000       8.820       0.000       0.000       0.000       0.000       0.000      60.443       0.901      97.345       0.000       0.000       0.000       0.000
    67     3     8  1982      15      15  hru015               588.600       0.000       0.000     489.523       4.684     494.207      36.572       6.001       0.000       0.000       6.001     489.527      83.719     296.913     348.339     301.845     100.832       0.000       0.000       0.000       6.038       0.000       0.000       0.000       0.000       0.000     489.527       0.000       0.000       4.684       0.000       0.000       0.000       0.000       0.000      51.426       0.309      51.694       0.000       0.000       0.000       0.000
    67     3     8  1982      16      16  hru016               588.600       0.000       0.000     473.734       9.631     483.365      36.120       6.049       0.000       0.000       6.049     473.744      81.977     286.229     348.339     298.845      97.833       0.000       0.000       0.000       6.087       0.000       0.000       0.000       0.000       0.000     473.744       0.000       0.000       9.631       0.000       0.000       0.000       0.000       0.000      62.110       0.786     106.295       0.000       0.000       0.000       0.000
    67     3     8  1982      17      17  hru017               588.600       0.000       0.000     489.252       4.738     493.990      36.565       6.016       0.000       0.000       6.016     489.261      83.694     296.716     348.339     301.796     100.783       0.000       0.000       0.000       6.053       0.000       0.000       0.000       0.000       0.000     489.261       0.000       0.000       4.738       0.000       0.000       0.000       0.000       0.000      51.623       0.752      52.297       0.000       0.000       0.000       0.000
    67     3     8  1982      18      18  hru018               588.600       0.000       0.000     477.002       8.624     485.626      36.216       6.019       0.000       0.000       6.019     477.037      82.422     288.456     348.339     299.495      98.483       0.000       0.000       0.000       6.057       0.000       0.000       0.000       0.000       0.000     477.037       0.000       0.000       8.624       0.000       0.000       0.000       0.000       0.000      59.883       2.750      95.189       0.000       0.000       0.000       0.000
    67     3     8  1982      19      19  hru019               588.600       0.000       0.000     270.685      17.351     288.036      79.835       5.950       0.000       0.000       5.950     270.686      72.185     294.531     508.746     374.881      86.878       0.000       0.000       0.000       5.990       0.000       0.000       0.000       0.000       0.000     270.686       0.000       0.000      17.351       0.000       0.000       0.000       0.000       0.000     214.216       0.083      31.249       0.000       0.000       0.000       0.000
    67     3     8  1982      20      20  hru020               588.600       0.000       0.000     241.602      30.915     272.517      76.723       5.963       0.000       0.000       5.963     241.603      71.757     276.068     507.698     364.307      82.831       0.000       0.000       0.000       6.004       0.000       0.000       0.000       0.000       0.000     241.603       0.000       0.000      30.915       0.000       0.000       0.000       0.000       0.000     232.304       0.051      55.679       0.000       0.000       0.000       0.000
    67     3     8  1982      21      21  hru021               588.600       0.000       0.000     285.112      10.973     296.086      81.345       5.948       0.000       0.000       5.948     285.117      72.435     303.869     508.746     379.992      89.279       0.000       0.000       0.000       5.988       0.000       0.000       0.000       0.000       0.000     285.117       0.000       0.000      10.973       0.000       0.000       0.000       0.000       0.000     204.878       0.256      19.763       0.000       0.000       0.000       0.000
