 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0010         ru      sdc           1 tot   1.000000       4143140.       1978.680       21227.65       3435.724       7925.880       348.2551       17299.16      0.0000000E+00  0.0000000E+00  1.2831903E+09   557032.8      6.2409858E-04  6.2409858E-04  6.2409858E-04  6.2409858E-04  6.2409858E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0010         ru      aqu           1 rhg   1.000000       1163123.      0.0000000E+00  0.0000000E+00  0.0000000E+00   25907.84      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000005    
          67           3           8        1982 rtu0020         ru      sdc           2 tot   1.000000      1.4800546E+07   6179.991       66845.70       10816.79       27518.96       1252.948       54979.00      0.0000000E+00  0.0000000E+00  4.0203110E+09   1984526.      6.2222168E-04  6.2222168E-04  6.2222168E-04  6.2222168E-04  6.2222168E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0020         ru      aqu           1 rhg   1.000000       4153596.      0.0000000E+00  0.0000000E+00  0.0000000E+00   92453.84      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0030         ru      sdc           3 tot   1.000000       9964335.       5026.406       53803.87       8709.224       20463.27       829.1969       43886.12      0.0000000E+00  0.0000000E+00  3.2538516E+09   1348079.      6.2344910E-04  6.2344910E-04  6.2344910E-04  6.2344910E-04  6.2344910E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0030         ru      aqu           1 rhg   1.000000       2799510.      0.0000000E+00  0.0000000E+00  0.0000000E+00   62334.96      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0040         ru      sdc           4 tot   1.000000      1.8251298E+07   12849.71       136782.4       22152.83       49715.52       1438.291       111601.9      0.0000000E+00  0.0000000E+00  8.2772352E+09   2551220.      3.0993955E-04  3.0993955E-04  3.0993955E-04  3.0993955E-04  3.0993955E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0040         ru      aqu           1 rhg   1.000000       5162624.      0.0000000E+00  0.0000000E+00  0.0000000E+00   115017.5      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0050         ru      sdc           5 tot   1.000000       5831343.       1697.073       18440.04       2983.201       7980.637       513.1921       15106.28      0.0000000E+00  0.0000000E+00  1.1019101E+09   759824.4      9.3586562E-04  9.3586562E-04  9.3586562E-04  9.3586562E-04  9.3586562E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0050         ru      aqu           1 rhg   1.000000       1624423.      0.0000000E+00  0.0000000E+00  0.0000000E+00   36141.22      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0060         ru      sdc           6 tot   1.000000      1.3152850E+07   3376.438       36908.89       5970.051       17291.59       1163.910       30401.91      0.0000000E+00  0.0000000E+00  2.1970355E+09   1709491.      9.3366113E-04  9.3366113E-04  9.3366113E-04  9.3366113E-04  9.3366113E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0060         ru      aqu           1 rhg   1.000000       3663286.      0.0000000E+00  0.0000000E+00  0.0000000E+00   81504.52      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0070         ru      sdc           7 tot   1.000000       7191370.       4139.735       44219.47       7158.247       16223.05       587.8195       36026.50      0.0000000E+00  0.0000000E+00  2.6806792E+09   983500.9      3.1159981E-04  3.1159981E-04  3.1159981E-04  3.1159981E-04  3.1159981E-04  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0070         ru      aqu           1 rhg   1.000000       2025800.      0.0000000E+00  0.0000000E+00  0.0000000E+00   45074.61      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0080         ru      sdc           8 tot   1.000000      2.1614996E+07   12762.65       97192.80       16882.78       26702.08       1627.994       71440.35      0.0000000E+00  0.0000000E+00  5.8314045E+09   2018164.      6.2301347E-04  6.2301347E-04  6.2301347E-04  6.2301347E-04  6.2301347E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0080         ru      aqu           1 rhg   1.000000       3393108.      0.0000000E+00  0.0000000E+00  0.0000000E+00   89165.41      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0090         ru      sdc           9 tot   1.000000      1.2650462E+07   9568.666       55059.22       10297.34       8473.701       878.5970       35883.11      0.0000000E+00  0.0000000E+00  3.3372526E+09   827542.8      3.1180520E-04  3.1180520E-04  3.1180520E-04  3.1180520E-04  3.1180520E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0090         ru      aqu           1 rhg   1.000000       949669.1      0.0000000E+00  0.0000000E+00  0.0000000E+00   34651.62      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000006    
          67           3           8        1982 rtu0100         ru      sdc          10 tot   1.000000      2.4373650E+07   126288.9       331685.5       52661.34       16188.55       1308.915       227770.8      0.0000000E+00  0.0000000E+00  3.2836211E+10   1593698.      6.2360271E-04  6.2360271E-04  6.2360271E-04  6.2360271E-04  6.2360271E-04  0.0000000E+00   1.000000    
