 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0010         ru      sdc           1 tot   1.000000       783223.8       374.0519       4012.898       649.4931       1498.317       65.83453       3270.252      0.0000000E+00  0.0000000E+00  2.4257570E+08   105302.1      1.1798028E-04  1.1798028E-04  1.1798028E-04  1.1798028E-04  1.1798028E-04  0.0000000E+00   1.000019    
          67           3           8        1982 rtu0010         ru      aqu           1 rhg   1.000000       219878.1      0.0000000E+00  0.0000000E+00  0.0000000E+00   4897.647      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000084    
          67           3           8        1982 rtu0020         ru      sdc           2 tot   1.000000       2797912.       1168.272       12636.58       2044.818       5202.215       236.8586       10393.29      0.0000000E+00  0.0000000E+00  7.6000403E+08   375157.1      1.1762547E-04  1.1762547E-04  1.1762547E-04  1.1762547E-04  1.1762547E-04  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0020         ru      aqu           1 rhg   1.000000       785200.4      0.0000000E+00  0.0000000E+00  0.0000000E+00   17477.58      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000024    
          67           3           8        1982 rtu0030         ru      sdc           3 tot   1.000000       1883669.       950.1974       10171.14       1646.401       3868.400       156.7523       8296.280      0.0000000E+00  0.0000000E+00  6.1511168E+08   254842.3      1.1785750E-04  1.1785750E-04  1.1785750E-04  1.1785750E-04  1.1785750E-04  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0030         ru      aqu           1 rhg   1.000000       529222.4      0.0000000E+00  0.0000000E+00  0.0000000E+00   11783.87      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000035    
          67           3           8        1982 rtu0040         ru      sdc           4 tot   1.000000       3450245.       2429.124       25857.50       4187.794       9398.277       271.8961       21097.35      0.0000000E+00  0.0000000E+00  1.5647377E+09   482285.5      5.8591315E-05  5.8591315E-05  5.8591315E-05  5.8591315E-05  5.8591315E-05  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0040         ru      aqu           1 rhg   1.000000       975948.0      0.0000000E+00  0.0000000E+00  0.0000000E+00   21743.03      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000018    
          67           3           8        1982 rtu0050         ru      sdc           5 tot   1.000000       1102364.       320.8165       3485.925       563.9476       1508.668       97.01440       2855.708      0.0000000E+00  0.0000000E+00  2.0830630E+08   143638.0      1.7691706E-04  1.7691706E-04  1.7691706E-04  1.7691706E-04  1.7691706E-04  0.0000000E+00   1.000010    
          67           3           8        1982 rtu0050         ru      aqu           1 rhg   1.000000       307082.7      0.0000000E+00  0.0000000E+00  0.0000000E+00   6832.176      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000063    
          67           3           8        1982 rtu0060         ru      sdc           6 tot   1.000000       2486429.       638.2855       6977.296       1128.585       3268.821       220.0267       5747.210      0.0000000E+00  0.0000000E+00  4.1533002E+08   323164.1      1.7650033E-04  1.7650033E-04  1.7650033E-04  1.7650033E-04  1.7650033E-04  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0060         ru      aqu           1 rhg   1.000000       692511.5      0.0000000E+00  0.0000000E+00  0.0000000E+00   15407.71      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000028    
          67           3           8        1982 rtu0070         ru      sdc           7 tot   1.000000       1359465.       782.5801       8359.298       1353.203       3066.823       111.1220       6810.489      0.0000000E+00  0.0000000E+00  5.0675853E+08   185922.1      5.8905171E-05  5.8905171E-05  5.8905171E-05  5.8905171E-05  5.8905171E-05  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0070         ru      aqu           1 rhg   1.000000       382959.4      0.0000000E+00  0.0000000E+00  0.0000000E+00   8520.953      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000047    
          67           3           8        1982 rtu0080         ru      sdc           8 tot   1.000000       4086123.       2412.666       18373.43       3191.539       5047.791       307.7578       13505.16      0.0000000E+00  0.0000000E+00  1.1023752E+09   381515.9      1.1777515E-04  1.1777515E-04  1.1777515E-04  1.1777515E-04  1.1777515E-04  0.0000000E+00   1.000005    
          67           3           8        1982 rtu0080         ru      aqu           1 rhg   1.000000       641436.9      0.0000000E+00  0.0000000E+00  0.0000000E+00   16855.93      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000033    
          67           3           8        1982 rtu0090         ru      sdc           9 tot   1.000000       2391457.       1808.871       10408.46       1946.621       1601.878       166.0909       6783.382      0.0000000E+00  0.0000000E+00  6.3087789E+08   156439.6      5.8943995E-05  5.8943995E-05  5.8943995E-05  5.8943995E-05  5.8943995E-05  0.0000000E+00   1.000007    
          67           3           8        1982 rtu0090         ru      aqu           1 rhg   1.000000       179526.5      0.0000000E+00  0.0000000E+00  0.0000000E+00   6550.581      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000165    
          67           3           8        1982 rtu0100         ru      sdc          10 tot   1.000000       4607622.       23873.79       62702.18       9955.158       3060.302       247.4387       43058.05      0.0000000E+00  0.0000000E+00  6.2073933E+09   301274.4      1.1788654E-04  1.1788654E-04  1.1788654E-04  1.1788654E-04  1.1788654E-04  0.0000000E+00   1.000009    
          67           3           8        1982 rtu0100         ru      aqu           1 rhg   1.000000       345815.9      0.0000000E+00  0.0000000E+00  0.0000000E+00   12604.26      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000086    
          67           3           8        1982 rtu0110         ru      sdc          11 tot   1.000000       2610112.       1783.369       14871.55       2528.524       4338.224       198.2049       11306.54      0.0000000E+00  0.0000000E+00  9.0200800E+08   279387.5      1.1788934E-04  1.1788934E-04  1.1788934E-04  1.1788934E-04  1.1788934E-04  0.0000000E+00   1.000009    
          67           3           8        1982 rtu0110         ru      aqu           1 rhg   1.000000       506416.4      0.0000000E+00  0.0000000E+00  0.0000000E+00   12471.75      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000038    
          67           3           8        1982 rtu0120         ru      sdc          12 tot   1.000000       1652718.       1096.744       11647.39       1886.050       4148.850       132.3333       9465.187      0.0000000E+00  0.0000000E+00  7.0747379E+08   229031.3      5.8883496E-05  5.8883496E-05  5.8883496E-05  5.8883496E-05  5.8883496E-05  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0120         ru      aqu           1 rhg   1.000000       466892.4      0.0000000E+00  0.0000000E+00  0.0000000E+00   10408.98      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000038    
          67           3           8        1982 rtu0130         ru      sdc          13 tot   1.000000       7216470.       20159.24       71773.48       11753.45       8685.645       458.1318       50465.92      0.0000000E+00  0.0000000E+00  6.0081121E+09   609805.3      1.7671025E-04  1.7671025E-04  1.7671025E-04  1.7671025E-04  1.7671025E-04  0.0000000E+00   1.000009    
          67           3           8        1982 rtu0130         ru      aqu           2 rhg   1.000000       924579.5      0.0000000E+00  0.0000000E+00  0.0000000E+00   26376.56      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000024    
          67           3           8        1982 rtu0140         ru      sdc          14 tot   1.000000       1227677.       895.5067       9472.793       1534.242       3251.078       97.09417       7665.540      0.0000000E+00  0.0000000E+00  5.7605325E+08   171309.5      5.8946040E-05  5.8946040E-05  5.8946040E-05  5.8946040E-05  5.8946040E-05  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0140         ru      aqu           2 rhg   1.000000       347357.9      0.0000000E+00  0.0000000E+00  0.0000000E+00   7753.605      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000050    
          67           3           8        1982 rtu0150         ru      sdc          15 tot   1.000000       2245637.       1602.623       16999.69       2753.238       6038.639       177.3205       13801.34      0.0000000E+00  0.0000000E+00  1.0313516E+09   313824.9      5.8809183E-05  5.8809183E-05  5.8809183E-05  5.8809183E-05  5.8809183E-05  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0150         ru      aqu           2 rhg   1.000000       635482.1      0.0000000E+00  0.0000000E+00  0.0000000E+00   14178.19      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000028    
          67           3           8        1982 rtu0160         ru      sdc          16 tot   1.000000       1567036.       1008.797       10724.60       1736.501       3841.972       126.0755       8722.233      0.0000000E+00  0.0000000E+00  6.5137952E+08   216539.2      5.8890899E-05  5.8890899E-05  5.8890899E-05  5.8890899E-05  5.8890899E-05  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0160         ru      aqu           2 rhg   1.000000       442428.2      0.0000000E+00  0.0000000E+00  0.0000000E+00   9862.599      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000040    
          67           3           8        1982 rtu0170         ru      sdc          17 tot   1.000000       206812.9       122.0110       699.7081       130.8122       101.4679       12.21838       449.9254      0.0000000E+00  0.0000000E+00  4.1927208E+07   11319.91      4.9712005E-05  4.9712005E-05  4.9712005E-05  4.9712005E-05  4.9712005E-05  0.0000000E+00   1.000088    
          67           3           8        1982 rtu0170         ru      aqu           1 rhg   1.000000       15477.64      0.0000000E+00  0.0000000E+00  0.0000000E+00   563.5660      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.001928    
          67           3           8        1982 rtu0180         ru      sdc          18 tot   1.000000       2122922.       1258.660       10690.40       1805.768       3511.100       161.4227       8131.268      0.0000000E+00  0.0000000E+00  6.3835635E+08   212247.4      1.1792958E-04  1.1792958E-04  1.1792958E-04  1.1792958E-04  1.1792958E-04  0.0000000E+00   1.000017    
          67           3           8        1982 rtu0180         ru      aqu           2 rhg   1.000000       353537.9      0.0000000E+00  0.0000000E+00  0.0000000E+00   8315.500      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000051    
          67           3           8        1982 rtu0190         ru      sdc          19 tot   1.000000       3353072.       8362.212       38446.36       6212.793       3272.490       203.5616       28700.04      0.0000000E+00  0.0000000E+00  2.9908859E+09   233377.9      2.3594682E-04  2.3594682E-04  2.3594682E-04  2.3594682E-04  2.3594682E-04  0.0000000E+00   1.000012    
