 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
     67     3     8  1982      1       0  rtu0010                6.918      74.217       8.601       0.352      27.359       1.218       0.000       3.412       0.000       2.219       0.000       0.000
     67     3     8  1982      2       0  rtu0020                6.065      65.601       7.602       0.352      26.655       1.230       0.000       3.013       0.000       2.223       0.000       0.000
     67     3     8  1982      3       0  rtu0030                7.262      77.730       9.008       0.353      29.210       1.198       0.000       3.574       0.000       2.212       0.000       0.000
     67     3     8  1982      4       0  rtu0040                9.809     104.418      12.101       0.355      37.597       1.098       0.000       4.810       0.000       2.174       0.000       0.000
     67     3     8  1982      5       0  rtu0050                4.350      47.264       5.477       0.346      20.109       1.315       0.000       2.169       0.000       2.254       0.000       0.000
     67     3     8  1982      6       0  rtu0060                3.847      42.048       4.873       0.344      19.356       1.326       0.000       1.929       0.000       2.258       0.000       0.000
     67     3     8  1982      7       0  rtu0070                8.198      87.565      10.148       0.356      31.769       1.164       0.000       4.028       0.000       2.200       0.000       0.000
     67     3     8  1982      8       0  rtu0080               11.469      87.344       9.995       0.450      23.546       1.463       0.000       5.177       0.000       1.913       0.000       0.000
     67     3     8  1982      9       0  rtu0090               19.143     110.149      12.427       0.554      16.398       1.758       0.000       8.174       0.000       1.564       0.000       0.000
     67     3     8  1982     10       0  rtu0100              131.190     344.558      38.863       0.497      16.319       1.360       0.000      15.842       0.000       1.565       0.000       0.000
     67     3     8  1982     11       0  rtu0110               11.887      99.126      11.389       0.414      28.502       1.321       0.000       5.465       0.000       2.008       0.000       0.000
     67     3     8  1982     12       0  rtu0120                9.326      99.044      11.478       0.356      34.924       1.125       0.000       4.560       0.000       2.185       0.000       0.000
     67     3     8  1982     13       0  rtu0130               58.432     208.037      23.595       0.454      24.722       1.328       0.000      10.473       0.000       1.797       0.000       0.000
     67     3     8  1982     14       0  rtu0140               10.181     107.693      12.480       0.355      36.606       1.104       0.000       4.962       0.000       2.177       0.000       0.000
     67     3     8  1982     15       0  rtu0150                9.946     105.499      12.226       0.355      37.120       1.100       0.000       4.860       0.000       2.175       0.000       0.000
     67     3     8  1982     16       0  rtu0160                9.073      96.458      11.178       0.356      34.199       1.134       0.000       4.440       0.000       2.188       0.000       0.000
     67     3     8  1982     17       0  rtu0170               17.843     102.327      11.544       0.558      14.281       1.787       0.000       7.587       0.000       1.571       0.000       0.000
     67     3     8  1982     18       0  rtu0180               10.874      92.362      10.620       0.435      29.900       1.395       0.000       4.981       0.000       1.715       0.000       0.000
     67     3     8  1982     19       0  rtu0190               60.203     276.792      31.601       0.506      23.054       1.466       0.000      13.128       0.000       1.082       0.000       0.000
     67     3     8  1982     20       0  rtu0200               11.715      61.363       6.880       0.663      16.761       2.177       0.000       4.836       0.000       0.357       0.000       0.000
     67     3     8  1982     21       0  rtu0210                8.899      95.578      11.076       0.356      35.964       1.118       0.000       4.400       0.000       2.181       0.000       0.000
     67     3     8  1982     22       0  rtu0220                7.514      82.153       9.520       0.357      33.100       1.153       0.000       3.778       0.000       2.194       0.000       0.000
     67     3     8  1982     23       0  rtu0230                9.667      56.392       6.361       0.579      10.856       1.896       0.000       4.160       0.000       1.583       0.000       0.000
     67     3     8  1982     24       0  rtu0240               26.919     152.427      17.197       0.543      19.278       1.665       0.000      11.376       0.000       1.556       0.000       0.000
     67     3     8  1982     25       0  rtu0250               40.697     297.109      34.430       0.338      31.254       1.016       0.000      11.324       0.000       2.202       0.000       0.000
     67     3     8  1982     26       0  rtu0260                8.560      91.195      10.568       0.356      32.408       1.154       0.000       4.196       0.000       2.196       0.000       0.000
     67     3     8  1982     27       0  rtu0270               11.767      68.199       7.693       0.576      11.858       1.867       0.000       5.040       0.000       1.580       0.000       0.000
     67     3     8  1982     28       0  rtu0280               10.601      61.579       6.946       0.576      11.196       1.883       0.000       4.545       0.000       1.582       0.000       0.000
     67     3     8  1982     29       0  rtu0290                6.163      66.448       7.700       0.350      25.687       1.239       0.000       3.053       0.000       2.227       0.000       0.000
     67     3     8  1982     30       0  rtu0300                7.859      45.589       5.143       0.607       8.803       1.936       0.000       3.366       0.000       1.590       0.000       0.000
     67     3     8  1982     31       0  rtu0310                2.504      10.043       1.065       0.403       7.464       1.615       0.000       1.234       0.000       1.995       0.000       0.000
     67     3     8  1982     32       0  rtu0320               22.896      90.875       9.794       0.541      14.622       1.925       0.000      10.012       0.000       1.358       0.000       0.000
     67     3     8  1982     33       0  rtu0330               25.890     101.799      10.972       0.546      15.614       1.881       0.000      11.241       0.000       1.356       0.000       0.000
     67     3     8  1982     34       0  rtu0340               29.899     115.929      12.494       0.541      15.373       1.835       0.000      12.843       0.000       1.357       0.000       0.000
     67     3     8  1982     35       0  rtu0350               22.792     130.866      14.765       0.547      18.926       1.698       0.000       9.738       0.000       1.554       0.000       0.000
     67     3     8  1982     36       0  rtu0360               22.284     128.163      14.460       0.547      19.044       1.707       0.000       9.532       0.000       1.556       0.000       0.000
     67     3     8  1982     37       0  rtu0370               15.059      87.506       9.872       0.560      14.530       1.809       0.000       6.475       0.000       1.570       0.000       0.000
     67     3     8  1982     38       0  rtu0380              163.832     438.626      49.473       0.477      15.696       1.186       0.000      19.595       0.000       1.566       0.000       0.000
     67     3     8  1982     39       0  rtu0390               19.179     110.781      12.498       0.553      16.898       1.749       0.000       8.221       0.000       1.561       0.000       0.000
     67     3     8  1982     40       0  rtu0400               24.142      95.225      10.262       0.540      14.615       1.912       0.000      10.501       0.000       1.358       0.000       0.000
     67     3     8  1982     41       0  rtu0410               23.437     133.990      15.117       0.547      18.426       1.700       0.000       9.974       0.000       1.557       0.000       0.000
     67     3     8  1982     42       0  rtu0420               23.826     136.017      15.346       0.547      18.465       1.697       0.000      10.128       0.000       1.557       0.000       0.000
     67     3     8  1982     43       0  rtu0430               24.167     126.902      14.198       0.551      17.819       1.723       0.000      10.308       0.000       1.521       0.000       0.000
     67     3     8  1982     44       0  rtu0440               22.312      87.582       9.425       0.502      15.210       1.814       0.000       9.774       0.000       1.465       0.000       0.000
     67     3     8  1982     45       0  rtu0450               28.517     111.188      11.984       0.550      16.318       1.845       0.000      12.304       0.000       1.355       0.000       0.000
     67     3     8  1982     46       0  rtu0460               23.074      91.311       9.840       0.541      14.334       1.929       0.000      10.062       0.000       1.359       0.000       0.000
     67     3     8  1982     47       0  rtu0470               10.298      60.207       6.792       0.576      11.431       1.883       0.000       4.443       0.000       1.580       0.000       0.000
     67     3     8  1982     48       0  rtu0480                9.406      54.961       6.200       0.579      10.751       1.897       0.000       4.053       0.000       1.583       0.000       0.000
     67     3     8  1982     49       0  rtu0490               14.649      85.545       9.651       0.560      14.591       1.810       0.000       6.328       0.000       1.568       0.000       0.000
     67     3     8  1982     50       0  rtu0500               74.545     225.715      25.459       0.529      13.619       1.570       0.000      11.402       0.000       1.573       0.000       0.000
     67     3     8  1982     51       0  rtu0510               26.978     153.441      17.312       0.541      21.371       1.648       0.000      11.452       0.000       1.549       0.000       0.000
     67     3     8  1982     52       0  rtu0520               19.317     111.268      12.553       0.553      16.414       1.752       0.000       8.258       0.000       1.562       0.000       0.000
     67     3     8  1982     53       0  rtu0530               26.113     148.109      16.710       0.544      18.652       1.675       0.000      11.047       0.000       1.557       0.000       0.000
     67     3     8  1982     54       0  rtu0540               20.130     111.045      12.503       0.586      18.485       1.847       0.000       8.429       0.000       1.194       0.000       0.000
     67     3     8  1982     55       0  rtu0550               17.634     101.939      11.500       0.556      15.810       1.773       0.000       7.556       0.000       1.565       0.000       0.000
     67     3     8  1982     56       0  rtu0560               17.441     100.696      11.360       0.557      15.360       1.778       0.000       7.463       0.000       1.566       0.000       0.000
     67     3     8  1982     57       0  rtu0570               10.733      56.416       6.325       0.664      16.159       2.189       0.000       4.443       0.000       0.357       0.000       0.000
     67     3     8  1982     58       0  rtu0580               15.820      91.814      10.358       0.559      14.923       1.797       0.000       6.797       0.000       1.567       0.000       0.000
     67     3     8  1982     59       0  rtu0590               18.474     106.620      12.029       0.555      16.079       1.762       0.000       7.908       0.000       1.563       0.000       0.000
     67     3     8  1982     60       0  rtu0600               13.255      69.168       7.755       0.662      18.142       2.157       0.000       5.458       0.000       0.357       0.000       0.000
     67     3     8  1982     61       0  rtu0610               17.821     102.720      11.589       0.560      15.684       1.774       0.000       7.626       0.000       1.565       0.000       0.000
     67     3     8  1982     62       0  rtu0620               13.527      78.201       8.822       0.569      12.742       1.841       0.000       5.785       0.000       1.576       0.000       0.000
     67     3     8  1982     63       0  rtu0630               16.773      93.690      10.550       0.599      17.244       1.923       0.000       7.085       0.000       1.058       0.000       0.000
     67     3     8  1982     64       0  rtu0640               14.497      83.691       9.441       0.568      13.242       1.827       0.000       6.197       0.000       1.574       0.000       0.000
     67     3     8  1982     65       0  rtu0650                4.758      27.826       3.139       0.620       6.724       1.982       0.000       2.048       0.000       1.595       0.000       0.000
     67     3     8  1982     66       0  rtu0660               78.908     256.296      28.909       0.521      14.823       1.497       0.000      13.431       0.000       1.570       0.000       0.000
     67     3     8  1982     67       0  rtu0670               22.900      90.538       9.757       0.539      14.017       1.936       0.000       9.976       0.000       1.359       0.000       0.000
     67     3     8  1982     68       0  rtu0680                7.009      40.905       4.614       0.598       8.644       1.941       0.000       3.014       0.000       1.589       0.000       0.000
     67     3     8  1982     69       0  rtu0690               13.085      76.105       8.586       0.569      13.090       1.839       0.000       5.628       0.000       1.573       0.000       0.000
     67     3     8  1982     70       0  rtu0700               18.970     109.155      12.315       0.556      15.014       1.761       0.000       8.099       0.000       1.564       0.000       0.000
     67     3     8  1982     71       0  rtu0710               22.998     131.957      14.888       0.547      18.905       1.697       0.000       9.819       0.000       1.554       0.000       0.000
     67     3     8  1982     72       0  rtu0720               25.338     144.487      16.302       0.544      19.498       1.672       0.000      10.770       0.000       1.552       0.000       0.000
     67     3     8  1982     73       0  rtu0730               17.522     100.361      11.323       0.571      13.993       1.790       0.000       7.464       0.000       1.568       0.000       0.000
     67     3     8  1982     74       0  rtu0740               11.551      66.669       7.521       0.591       9.985       1.879       0.000       4.939       0.000       1.580       0.000       0.000
     67     3     8  1982     75       0  rtu0750               18.917     109.273      12.328       0.554      16.530       1.752       0.000       8.107       0.000       1.561       0.000       0.000
     67     3     8  1982     76       0  rtu0760               21.339     122.887      13.865       0.549      18.193       1.718       0.000       9.133       0.000       1.556       0.000       0.000
     67     3     8  1982     77       0  rtu0770               22.637     129.522      14.613       0.549      17.270       1.712       0.000       9.635       0.000       1.558       0.000       0.000
     67     3     8  1982     78       0  rtu0780               20.392     118.138      13.329       0.550      18.355       1.727       0.000       8.775       0.000       1.557       0.000       0.000
     67     3     8  1982     79       0  rtu0790               28.504     155.394      17.502       0.576      22.681       1.720       0.000      11.836       0.000       1.241       0.000       0.000
     67     3     8  1982     80       0  rtu0800               31.812     164.115      18.442       0.633      26.276       1.808       0.000      12.846       0.000       0.791       0.000       0.000
