 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
     67     3     8  1982      1       0  rtu0010                1.308      14.030       1.626       0.066       5.172       0.230       0.000       0.645       0.000       0.420       0.000       0.000
     67     3     8  1982      2       0  rtu0020                1.147      12.401       1.437       0.066       5.039       0.232       0.000       0.570       0.000       0.420       0.000       0.000
     67     3     8  1982      3       0  rtu0030                1.373      14.694       1.703       0.067       5.522       0.226       0.000       0.676       0.000       0.418       0.000       0.000
     67     3     8  1982      4       0  rtu0040                1.854      19.739       2.288       0.067       7.107       0.208       0.000       0.909       0.000       0.411       0.000       0.000
     67     3     8  1982      5       0  rtu0050                0.822       8.935       1.035       0.065       3.801       0.249       0.000       0.410       0.000       0.426       0.000       0.000
     67     3     8  1982      6       0  rtu0060                0.727       7.949       0.921       0.065       3.659       0.251       0.000       0.365       0.000       0.427       0.000       0.000
     67     3     8  1982      7       0  rtu0070                1.550      16.553       1.918       0.067       6.006       0.220       0.000       0.761       0.000       0.416       0.000       0.000
     67     3     8  1982      8       0  rtu0080                2.168      16.512       1.889       0.085       4.451       0.277       0.000       0.979       0.000       0.362       0.000       0.000
     67     3     8  1982      9       0  rtu0090                3.619      20.823       2.349       0.105       3.100       0.332       0.000       1.545       0.000       0.296       0.000       0.000
     67     3     8  1982     10       0  rtu0100               24.800      65.136       7.347       0.094       3.085       0.257       0.000       2.995       0.000       0.296       0.000       0.000
     67     3     8  1982     11       0  rtu0110                2.247      18.739       2.153       0.078       5.388       0.250       0.000       1.033       0.000       0.380       0.000       0.000
     67     3     8  1982     12       0  rtu0120                1.763      18.723       2.170       0.067       6.602       0.213       0.000       0.862       0.000       0.413       0.000       0.000
     67     3     8  1982     13       0  rtu0130               11.046      39.328       4.460       0.086       4.673       0.251       0.000       1.980       0.000       0.340       0.000       0.000
     67     3     8  1982     14       0  rtu0140                1.925      20.358       2.359       0.067       6.920       0.209       0.000       0.938       0.000       0.412       0.000       0.000
     67     3     8  1982     15       0  rtu0150                1.880      19.944       2.311       0.067       7.017       0.208       0.000       0.919       0.000       0.411       0.000       0.000
     67     3     8  1982     16       0  rtu0160                1.715      18.234       2.113       0.067       6.465       0.214       0.000       0.839       0.000       0.414       0.000       0.000
     67     3     8  1982     17       0  rtu0170                3.373      19.344       2.182       0.106       2.700       0.338       0.000       1.434       0.000       0.297       0.000       0.000
     67     3     8  1982     18       0  rtu0180                2.056      17.460       2.008       0.082       5.652       0.264       0.000       0.942       0.000       0.324       0.000       0.000
     67     3     8  1982     19       0  rtu0190               11.381      52.325       5.974       0.096       4.358       0.277       0.000       2.482       0.000       0.205       0.000       0.000
     67     3     8  1982     20       0  rtu0200                2.215      11.600       1.301       0.125       3.169       0.412       0.000       0.914       0.000       0.067       0.000       0.000
     67     3     8  1982     21       0  rtu0210                1.682      18.068       2.094       0.067       6.799       0.211       0.000       0.832       0.000       0.412       0.000       0.000
     67     3     8  1982     22       0  rtu0220                1.420      15.530       1.800       0.067       6.257       0.218       0.000       0.714       0.000       0.415       0.000       0.000
     67     3     8  1982     23       0  rtu0230                1.827      10.660       1.203       0.109       2.052       0.358       0.000       0.786       0.000       0.299       0.000       0.000
     67     3     8  1982     24       0  rtu0240                5.089      28.815       3.251       0.103       3.644       0.315       0.000       2.150       0.000       0.294       0.000       0.000
     67     3     8  1982     25       0  rtu0250                7.693      56.166       6.509       0.064       5.908       0.192       0.000       2.141       0.000       0.416       0.000       0.000
     67     3     8  1982     26       0  rtu0260                1.618      17.240       1.998       0.067       6.127       0.218       0.000       0.793       0.000       0.415       0.000       0.000
     67     3     8  1982     27       0  rtu0270                2.225      12.892       1.454       0.109       2.242       0.353       0.000       0.953       0.000       0.299       0.000       0.000
     67     3     8  1982     28       0  rtu0280                2.004      11.641       1.313       0.109       2.116       0.356       0.000       0.859       0.000       0.299       0.000       0.000
     67     3     8  1982     29       0  rtu0290                1.165      12.561       1.456       0.066       4.856       0.234       0.000       0.577       0.000       0.421       0.000       0.000
     67     3     8  1982     30       0  rtu0300                1.486       8.618       0.972       0.115       1.664       0.366       0.000       0.636       0.000       0.301       0.000       0.000
     67     3     8  1982     31       0  rtu0310                0.473       1.898       0.201       0.076       1.411       0.305       0.000       0.233       0.000       0.377       0.000       0.000
     67     3     8  1982     32       0  rtu0320                4.328      17.179       1.851       0.102       2.764       0.364       0.000       1.893       0.000       0.257       0.000       0.000
     67     3     8  1982     33       0  rtu0330                4.894      19.244       2.074       0.103       2.952       0.356       0.000       2.125       0.000       0.256       0.000       0.000
     67     3     8  1982     34       0  rtu0340                5.652      21.915       2.362       0.102       2.906       0.347       0.000       2.428       0.000       0.256       0.000       0.000
     67     3     8  1982     35       0  rtu0350                4.309      24.739       2.791       0.103       3.578       0.321       0.000       1.841       0.000       0.294       0.000       0.000
     67     3     8  1982     36       0  rtu0360                4.213      24.228       2.733       0.103       3.600       0.323       0.000       1.802       0.000       0.294       0.000       0.000
     67     3     8  1982     37       0  rtu0370                2.847      16.542       1.866       0.106       2.747       0.342       0.000       1.224       0.000       0.297       0.000       0.000
     67     3     8  1982     38       0  rtu0380               30.971      82.918       9.352       0.090       2.967       0.224       0.000       3.704       0.000       0.296       0.000       0.000
     67     3     8  1982     39       0  rtu0390                3.626      20.942       2.363       0.105       3.194       0.331       0.000       1.554       0.000       0.295       0.000       0.000
     67     3     8  1982     40       0  rtu0400                4.564      18.001       1.940       0.102       2.763       0.361       0.000       1.985       0.000       0.257       0.000       0.000
     67     3     8  1982     41       0  rtu0410                4.431      25.330       2.858       0.103       3.483       0.321       0.000       1.885       0.000       0.294       0.000       0.000
     67     3     8  1982     42       0  rtu0420                4.504      25.713       2.901       0.103       3.491       0.321       0.000       1.915       0.000       0.294       0.000       0.000
     67     3     8  1982     43       0  rtu0430                4.569      23.990       2.684       0.104       3.369       0.326       0.000       1.949       0.000       0.288       0.000       0.000
     67     3     8  1982     44       0  rtu0440                4.218      16.557       1.782       0.095       2.875       0.343       0.000       1.848       0.000       0.277       0.000       0.000
     67     3     8  1982     45       0  rtu0450                5.391      21.019       2.265       0.104       3.085       0.349       0.000       2.326       0.000       0.256       0.000       0.000
     67     3     8  1982     46       0  rtu0460                4.362      17.262       1.860       0.102       2.710       0.365       0.000       1.902       0.000       0.257       0.000       0.000
     67     3     8  1982     47       0  rtu0470                1.947      11.382       1.284       0.109       2.161       0.356       0.000       0.840       0.000       0.299       0.000       0.000
     67     3     8  1982     48       0  rtu0480                1.778      10.390       1.172       0.109       2.032       0.359       0.000       0.766       0.000       0.299       0.000       0.000
     67     3     8  1982     49       0  rtu0490                2.769      16.171       1.824       0.106       2.758       0.342       0.000       1.196       0.000       0.296       0.000       0.000
     67     3     8  1982     50       0  rtu0500               14.092      42.670       4.813       0.100       2.574       0.297       0.000       2.155       0.000       0.297       0.000       0.000
     67     3     8  1982     51       0  rtu0510                5.100      29.007       3.273       0.102       4.040       0.312       0.000       2.165       0.000       0.293       0.000       0.000
     67     3     8  1982     52       0  rtu0520                3.652      21.034       2.373       0.105       3.103       0.331       0.000       1.561       0.000       0.295       0.000       0.000
     67     3     8  1982     53       0  rtu0530                4.936      27.999       3.159       0.103       3.526       0.317       0.000       2.088       0.000       0.294       0.000       0.000
     67     3     8  1982     54       0  rtu0540                3.805      20.992       2.363       0.111       3.494       0.349       0.000       1.593       0.000       0.226       0.000       0.000
     67     3     8  1982     55       0  rtu0550                3.334      19.271       2.174       0.105       2.989       0.335       0.000       1.428       0.000       0.296       0.000       0.000
