 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982       1       0  rtu0010                0.000       0.000      20.245      15.827            0.000            0.000            0.000          145.874          144.277          -32.765           24.573            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       2       0  rtu0020                0.000       0.000      20.157      15.845            0.000            0.000            0.000          145.885          144.300          -32.779           24.577            2.766            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       3       0  rtu0030                0.000       0.000      20.282      15.819            0.000            0.000            0.000          145.806          144.243          -32.730           24.568            2.752            0.523            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       4       0  rtu0040                0.000       0.000      20.565      15.759            0.000            0.000            0.000          145.535          144.047          -32.573           24.535            2.709            0.515            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       5       0  rtu0050                0.000       0.000      19.931      15.905            0.000            0.000            0.000          146.036          144.472          -32.911           24.606            2.789            0.530            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       6       0  rtu0060                0.000       0.000      19.875      15.918            0.000            0.000            0.000          146.049          144.491          -32.925           24.609            2.794            0.531            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       7       0  rtu0070                0.000       0.000      20.393      15.791            0.000            0.000            0.000          145.555          144.177          -32.682           24.557            2.742            0.521            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       8       0  rtu0080                0.000       0.000      17.457      13.213            0.000            0.000            0.000          108.418          121.472          -26.862           20.674            2.757            0.524            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       9       0  rtu0090                0.000       0.000      14.421      10.096            0.000            0.000            0.000           64.823           94.668          -19.937           16.092            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      10       0  rtu0100                0.000       0.000      17.270       9.531            0.000            0.000            0.000           64.752           94.134          -20.008           16.007            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      11       0  rtu0110                0.000       0.000      18.697      14.117            0.000            0.000            0.000          122.177          129.676          -28.931           22.078            2.744            0.521            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      12       0  rtu0120                0.000       0.000      20.510      15.768            0.000            0.000            0.000          145.849          144.103          -32.618           24.544            2.725            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      13       0  rtu0130                0.000       0.000      18.075      12.016            0.000            0.000            0.000           95.922          113.382          -24.804           19.294            2.751            0.523            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      14       0  rtu0140                0.000       0.000      20.596      15.752            0.000            0.000            0.000          145.902          144.059          -32.585           24.537            2.715            0.516            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      15       0  rtu0150                0.000       0.000      20.575      15.756            0.000            0.000            0.000          145.841          144.052          -32.577           24.536            2.712            0.515            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      16       0  rtu0160                0.000       0.000      20.484      15.773            0.000            0.000            0.000          145.829          144.120          -32.632           24.547            2.729            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      17       0  rtu0170                0.000       0.000      14.262      10.122            0.000            0.000            0.000           64.744           94.645          -19.977           16.088            2.773            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      18       0  rtu0180                0.000       0.000      18.669      14.264            0.000            0.000            0.000          131.874          128.547          -28.886           21.886            2.726            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      19       0  rtu0190                0.000       0.000      18.634      11.762            0.000            0.000            0.000          112.895          107.238          -23.895           18.248            2.729            0.518            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      20       0  rtu0200                0.000       0.000      13.002      10.066            0.000            0.000            0.000           94.210           84.007          -18.182           14.275            2.695            0.512            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      21       0  rtu0210                0.000       0.000      20.478      15.775            0.000            0.000            0.000          145.692          144.087          -32.602           24.542            2.719            0.517            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      22       0  rtu0220                0.000       0.000      20.344      15.801            0.000            0.000            0.000          145.661          144.157          -32.655           24.553            2.735            0.520            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      23       0  rtu0230                0.000       0.000      13.348      10.295            0.000            0.000            0.000           65.076           94.644          -20.040           16.086            2.767            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      24       0  rtu0240                0.000       0.000      15.285       9.965            0.000            0.000            0.000           65.146           94.630          -19.896           16.086            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      25       0  rtu0250                0.000       0.000      22.547      15.483            0.000            0.000            0.000          145.710          143.997          -32.706           24.528            2.745            0.522            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      26       0  rtu0260                0.000       0.000      20.430      15.783            0.000            0.000            0.000          145.836          144.161          -32.665           24.554            2.739            0.520            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      27       0  rtu0270                0.000       0.000      13.579      10.252            0.000            0.000            0.000           65.025           94.645          -20.021           16.087            2.769            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      28       0  rtu0280                0.000       0.000      13.451      10.275            0.000            0.000            0.000           65.048           94.645          -20.032           16.086            2.768            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      29       0  rtu0290                0.000       0.000      20.161      15.845            0.000            0.000            0.000          145.967          144.318          -32.797           24.580            2.770            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      30       0  rtu0300                0.000       0.000      13.101      10.351            0.000            0.000            0.000           65.705           94.598          -20.082           16.078            2.764            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      31       0  rtu0310                0.000       0.000       6.291       5.395            0.000            0.000            0.000           35.454           54.472          -10.890            9.193            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      32       0  rtu0320                0.000       0.000      11.979       7.941            0.000            0.000            0.000           44.209           73.053          -17.767           12.354            2.576            0.490            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      33       0  rtu0330                0.000       0.000      12.332       7.894            0.000            0.000            0.000           43.832           73.087          -17.755           12.360            2.569            0.488            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      34       0  rtu0340                0.000       0.000      12.783       7.825            0.000            0.000            0.000           43.947           73.044          -17.760           12.353            2.570            0.488            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      35       0  rtu0350                0.000       0.000      14.845      10.034            0.000            0.000            0.000           65.945           94.676          -19.877           16.094            2.783            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      36       0  rtu0360                0.000       0.000      14.789      10.042            0.000            0.000            0.000           65.312           94.671          -19.890           16.093            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      37       0  rtu0370                0.000       0.000      13.971      10.171            0.000            0.000            0.000           64.925           94.681          -19.962           16.093            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      38       0  rtu0380                0.000       0.000      18.636       9.275            0.000            0.000            0.000           64.832           93.931          -20.041           15.975            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      39       0  rtu0390                0.000       0.000      14.436      10.096            0.000            0.000            0.000           65.363           94.682          -19.916           16.094            2.778            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      40       0  rtu0400                0.000       0.000      12.113       7.919            0.000            0.000            0.000           44.189           73.030          -17.770           12.350            2.577            0.490            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      41       0  rtu0410                0.000       0.000      14.905      10.022            0.000            0.000            0.000           65.445           94.660          -19.896           16.091            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      42       0  rtu0420                0.000       0.000      14.947      10.016            0.000            0.000            0.000           65.340           94.655          -19.899           16.090            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      43       0  rtu0430                0.000       0.000      14.499       9.646            0.000            0.000            0.000           61.757           90.898          -19.517           15.440            2.740            0.521            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      44       0  rtu0440                0.000       0.000      11.313       7.422            0.000            0.000            0.000           42.243           69.551          -16.492           11.759            2.620            0.498            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      45       0  rtu0450                0.000       0.000      12.637       7.852            0.000            0.000            0.000           43.551           73.100          -17.748           12.363            2.564            0.487            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      46       0  rtu0460                0.000       0.000      11.984       7.935            0.000            0.000            0.000           44.253           73.002          -17.778           12.345            2.576            0.489            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      47       0  rtu0470                0.000       0.000      13.425      10.280            0.000            0.000            0.000           65.133           94.656          -20.023           16.088            2.769            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      48       0  rtu0480                0.000       0.000      13.321      10.300            0.000            0.000            0.000           65.197           94.650          -20.036           16.087            2.768            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      49       0  rtu0490                0.000       0.000      13.933      10.177            0.000            0.000            0.000           65.109           94.691          -19.955           16.095            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      50       0  rtu0500                0.000       0.000      15.780       9.821            0.000            0.000            0.000           64.781           94.353          -20.024           16.041            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      51       0  rtu0510                0.000       0.000      15.309       9.964            0.000            0.000            0.000           65.553           94.647          -19.859           16.089            2.785            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      52       0  rtu0520                0.000       0.000      14.445      10.093            0.000            0.000            0.000           65.289           94.676          -19.925           16.093            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      53       0  rtu0530                0.000       0.000      15.195       9.978            0.000            0.000            0.000           65.302           94.635          -19.900           16.087            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      54       0  rtu0540                0.000       0.000      14.348      10.010            0.000            0.000            0.000           72.248           91.441          -19.385           15.542            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      55       0  rtu0550                0.000       0.000      14.258      10.123            0.000            0.000            0.000           65.105           94.681          -19.937           16.094            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      56       0  rtu0560                0.000       0.000      14.232      10.126            0.000            0.000            0.000           65.157           94.678          -19.943           16.093            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      57       0  rtu0570                0.000       0.000      12.893      10.089            0.000            0.000            0.000           94.661           83.997          -18.185           14.273            2.693            0.512            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      58       0  rtu0580                0.000       0.000      14.056      10.156            0.000            0.000            0.000           65.113           94.686          -19.950           16.094            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      59       0  rtu0590                0.000       0.000      14.352      10.108            0.000            0.000            0.000           65.323           94.681          -19.928           16.094            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      60       0  rtu0600                0.000       0.000      13.178      10.029            0.000            0.000            0.000           93.202           84.046          -18.171           14.282            2.699            0.513            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      61       0  rtu0610                0.000       0.000      14.273      10.133            0.000            0.000            0.000           65.558           94.667          -19.940           16.091            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      62       0  rtu0620                0.000       0.000      13.781      10.212            0.000            0.000            0.000           65.072           94.656          -19.999           16.089            2.771            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      63       0  rtu0630                0.000       0.000      13.917      10.067            0.000            0.000            0.000           76.712           90.216          -19.197           15.333            2.745            0.521            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      64       0  rtu0640                0.000       0.000      13.889      10.194            0.000            0.000            0.000           65.149           94.657          -19.988           16.089            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      65       0  rtu0650                0.000       0.000      12.740      10.430            0.000            0.000            0.000           66.301           94.591          -20.110           16.076            2.762            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      66       0  rtu0660                0.000       0.000      16.403       9.714            0.000            0.000            0.000           64.713           94.318          -20.010           16.036            2.773            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      67       0  rtu0670                0.000       0.000      11.955       7.936            0.000            0.000            0.000           44.357           72.976          -17.784           12.341            2.578            0.490            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      68       0  rtu0680                0.000       0.000      13.023      10.366            0.000            0.000            0.000           65.754           94.621          -20.075           16.082            2.765            0.525            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      69       0  rtu0690                0.000       0.000      13.741      10.220            0.000            0.000            0.000           65.295           94.674          -19.984           16.092            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      70       0  rtu0700                0.000       0.000      14.400      10.098            0.000            0.000            0.000           65.723           94.675          -19.934           16.093            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      71       0  rtu0710                0.000       0.000      14.866      10.030            0.000            0.000            0.000           65.891           94.672          -19.880           16.093            2.783            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      72       0  rtu0720                0.000       0.000      15.122       9.990            0.000            0.000            0.000           65.929           94.657          -19.873           16.091            2.784            0.529            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      73       0  rtu0730                0.000       0.000      14.213      10.155            0.000            0.000            0.000           66.265           94.647          -19.959           16.088            2.776            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      74       0  rtu0740                0.000       0.000      13.517      10.259            0.000            0.000            0.000           66.519           94.625          -20.026           16.083            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      75       0  rtu0750                0.000       0.000      14.406      10.100            0.000            0.000            0.000           65.573           94.686          -19.915           16.095            2.779            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      76       0  rtu0760                0.000       0.000      14.681      10.058            0.000            0.000            0.000           65.690           94.680          -19.891           16.094            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      77       0  rtu0770                0.000       0.000      14.813      10.035            0.000            0.000            0.000           65.692           94.663          -19.905           16.091            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      78       0  rtu0780                0.000       0.000      14.586      10.074            0.000            0.000            0.000           65.491           94.686          -19.893           16.095            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      79       0  rtu0790                0.000       0.000      15.315       9.872            0.000            0.000            0.000           70.827           91.976          -19.401           15.634            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      80       0  rtu0800                0.000       0.000      15.451       9.722            0.000            0.000            0.000           77.741           88.104          -18.725           14.975            2.766            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      81       0  rtu0810                0.000       0.000      15.668       9.836            0.000            0.000            0.000           69.632           92.484          -19.480           15.721            2.781            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      82       0  rtu0820                0.000       0.000      14.524      10.083            0.000            0.000            0.000           65.440           94.685          -19.902           16.095            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      83       0  rtu0830                0.000       0.000      14.344      10.111            0.000            0.000            0.000           65.547           94.692          -19.913           16.096            2.779            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      84       0  rtu0840                0.000       0.000      16.075       9.340            0.000            0.000            0.000           86.453           83.961          -18.140           14.274            2.746            0.522            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      85       0  rtu0850                0.000       0.000      18.634       8.769            0.000            0.000            0.000           94.560           83.171          -18.304           14.143            2.694            0.512            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      86       0  rtu0860                0.000       0.000      14.171      10.159            0.000            0.000            0.000           66.100           94.645          -19.967           16.087            2.775            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      87       0  rtu0870                0.000       0.000      14.456      10.091            0.000            0.000            0.000           65.475           94.679          -19.919           16.094            2.778            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      88       0  rtu0880                0.000       0.000      12.611      10.148            0.000            0.000            0.000           96.387           83.946          -18.200           14.264            2.683            0.510            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      89       0  rtu0890                0.000       0.000      18.614       8.772            0.000            0.000            0.000           93.935           83.231          -18.290           14.153            2.699            0.513            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      90       0  rtu0900                0.000       0.000      14.041      10.640            0.000            0.000            0.000           68.088           98.104          -20.732           16.675            2.871            0.546            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      91       0  rtu0910                0.000       0.000      14.029      10.172            0.000            0.000            0.000           65.438           94.667          -19.965           16.091            2.774            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      92       0  rtu0920                0.000       0.000      20.264       8.440            0.000            0.000            0.000           95.442           82.973          -18.336           14.111            2.690            0.511            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      93       0  rtu0930                0.000       0.000      13.720      10.224            0.000            0.000            0.000           65.382           94.678          -19.982           16.092            2.772            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      94       0  rtu0940                0.000       0.000      18.085       8.986            0.000            0.000            0.000           98.462           83.242          -18.310           14.152            2.674            0.508            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      95       0  rtu0950                0.000       0.000      13.868      10.199            0.000            0.000            0.000           65.475           94.676          -19.970           16.092            2.773            0.527            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      96       0  rtu0960                0.000       0.000      12.407      10.192            0.000            0.000            0.000           97.373           83.915          -18.209           14.258            2.678            0.509            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      97       0  rtu0970                0.000       0.000      14.572      10.075            0.000            0.000            0.000           65.661           94.683          -19.901           16.095            2.780            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      98       0  rtu0980                0.000       0.000      12.416      10.189            0.000            0.000            0.000           97.577           83.904          -18.212           14.256            2.677            0.509            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      99       0  rtu0990                0.000       0.000      13.711      10.228            0.000            0.000            0.000           65.291           94.660          -19.997           16.089            2.771            0.526            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     100       0  rtu1000                0.000       0.000      21.565       7.737            0.000            0.000            0.000           85.375           82.345          -18.371           14.020            2.752            0.523            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     101       0  rtu1010                0.000       0.000      13.518       9.960            0.000            0.000            0.000           91.505           84.127          -18.148           14.296            2.714            0.516            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     102       0  rtu1020                0.000       0.000      12.076       7.917            0.000            0.000            0.000           44.273           72.967          -17.784           12.339            2.577            0.490            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     103       0  rtu1030                0.000       0.000      17.761       9.008            0.000            0.000            0.000           97.924           83.210          -18.314           14.147            2.676            0.508            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     104       0  rtu1040                0.000       0.000      11.452       7.999            0.000            0.000            0.000           44.800           72.894          -17.807           12.326            2.567            0.488            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     105       0  rtu1050                0.000       0.000      11.243       8.024            0.000            0.000            0.000           45.102           72.848          -17.819           12.318            2.558            0.486            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     106       0  rtu1060                0.000       0.000      14.194      10.134            0.000            0.000            0.000           65.348           94.695          -19.925           16.096            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     107       0  rtu1070                0.000       0.000      15.928       9.396            0.000            0.000            0.000           98.865           83.385          -18.292           14.174            2.670            0.507            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     108       0  rtu1080                0.000       0.000      14.242      10.126            0.000            0.000            0.000           65.461           94.689          -19.930           16.095            2.777            0.528            0.000            0.000            0.000            0.000            0.000            0.000
