 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982       1       0  rtu0010                0.000       0.000       3.827       2.992            0.000            0.000            0.000           27.576           27.274           -6.194            4.645            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       2       0  rtu0020                0.000       0.000       3.811       2.995            0.000            0.000            0.000           27.578           27.279           -6.197            4.646            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       3       0  rtu0030                0.000       0.000       3.834       2.990            0.000            0.000            0.000           27.563           27.268           -6.187            4.644            0.520            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       4       0  rtu0040                0.000       0.000       3.888       2.979            0.000            0.000            0.000           27.512           27.231           -6.158            4.638            0.512            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       5       0  rtu0050                0.000       0.000       3.768       3.007            0.000            0.000            0.000           27.607           27.311           -6.222            4.652            0.527            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       6       0  rtu0060                0.000       0.000       3.757       3.009            0.000            0.000            0.000           27.609           27.315           -6.224            4.652            0.528            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       7       0  rtu0070                0.000       0.000       3.855       2.985            0.000            0.000            0.000           27.516           27.255           -6.178            4.642            0.518            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       8       0  rtu0080                0.000       0.000       3.300       2.498            0.000            0.000            0.000           20.496           22.963           -5.078            3.908            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982       9       0  rtu0090                0.000       0.000       2.726       1.909            0.000            0.000            0.000           12.254           17.896           -3.769            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      10       0  rtu0100                0.000       0.000       3.265       1.802            0.000            0.000            0.000           12.241           17.795           -3.782            3.026            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      11       0  rtu0110                0.000       0.000       3.535       2.669            0.000            0.000            0.000           23.096           24.514           -5.469            4.174            0.519            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      12       0  rtu0120                0.000       0.000       3.877       2.981            0.000            0.000            0.000           27.572           27.241           -6.166            4.640            0.515            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      13       0  rtu0130                0.000       0.000       3.417       2.272            0.000            0.000            0.000           18.133           21.434           -4.689            3.647            0.520            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      14       0  rtu0140                0.000       0.000       3.893       2.978            0.000            0.000            0.000           27.581           27.233           -6.160            4.639            0.513            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      15       0  rtu0150                0.000       0.000       3.890       2.979            0.000            0.000            0.000           27.570           27.232           -6.158            4.638            0.513            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      16       0  rtu0160                0.000       0.000       3.872       2.982            0.000            0.000            0.000           27.568           27.245           -6.169            4.640            0.516            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      17       0  rtu0170                0.000       0.000       2.696       1.913            0.000            0.000            0.000           12.239           17.892           -3.776            3.041            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      18       0  rtu0180                0.000       0.000       3.529       2.697            0.000            0.000            0.000           24.930           24.301           -5.461            4.137            0.515            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      19       0  rtu0190                0.000       0.000       3.523       2.223            0.000            0.000            0.000           21.342           20.272           -4.517            3.450            0.516            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      20       0  rtu0200                0.000       0.000       2.458       1.903            0.000            0.000            0.000           17.810           15.881           -3.437            2.699            0.509            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      21       0  rtu0210                0.000       0.000       3.871       2.982            0.000            0.000            0.000           27.542           27.238           -6.163            4.639            0.514            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      22       0  rtu0220                0.000       0.000       3.846       2.987            0.000            0.000            0.000           27.536           27.252           -6.173            4.642            0.517            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      23       0  rtu0230                0.000       0.000       2.523       1.946            0.000            0.000            0.000           12.302           17.892           -3.788            3.041            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      24       0  rtu0240                0.000       0.000       2.890       1.884            0.000            0.000            0.000           12.315           17.889           -3.761            3.041            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      25       0  rtu0250                0.000       0.000       4.262       2.927            0.000            0.000            0.000           27.545           27.221           -6.183            4.637            0.519            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      26       0  rtu0260                0.000       0.000       3.862       2.984            0.000            0.000            0.000           27.569           27.252           -6.175            4.642            0.518            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      27       0  rtu0270                0.000       0.000       2.567       1.938            0.000            0.000            0.000           12.292           17.892           -3.785            3.041            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      28       0  rtu0280                0.000       0.000       2.543       1.942            0.000            0.000            0.000           12.297           17.892           -3.787            3.041            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      29       0  rtu0290                0.000       0.000       3.811       2.995            0.000            0.000            0.000           27.594           27.282           -6.200            4.647            0.524            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      30       0  rtu0300                0.000       0.000       2.477       1.957            0.000            0.000            0.000           12.421           17.883           -3.796            3.039            0.523            0.099            0.000            0.000            0.000            0.000            0.000            0.000
