 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
     67     3     8  1982      1       0  rtu0010                0.000       0.000       0.000     121.532      15.510       0.000       0.000       0.000       0.000       0.000       0.000       0.000      90.581       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      2       0  rtu0020                0.000       0.000       0.000     121.470      15.511       0.000       0.000       0.000       0.000       0.000       0.000       0.000      90.732       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      3       0  rtu0030                0.000       0.000       0.000     121.641      15.508       0.000       0.000       0.000       0.000       0.000       0.000       0.000      90.055       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      4       0  rtu0040                0.000       0.000       0.000     122.120      15.497       0.000       0.000       0.000       0.000       0.000       0.000       0.000      87.803       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      5       0  rtu0050                0.000       0.000       0.000     120.680      15.521       0.000       0.000       0.000       0.000       0.000       0.000       0.000      92.634       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      6       0  rtu0060                0.000       0.000       0.000     120.593      15.522       0.000       0.000       0.000       0.000       0.000       0.000       0.000      92.854       0.000      21.409      12.498      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      7       0  rtu0070                0.000       0.000       0.000     121.944      15.505       0.000       0.000       0.000       0.000       0.000       0.000       0.000      89.258       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      8       0  rtu0080                0.000       0.000       0.000     116.530      15.304       0.000       0.000       0.000       0.000       0.000       0.000       0.000      80.130       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982      9       0  rtu0090                0.000       0.000       0.000     110.353      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.323       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     10       0  rtu0100                0.000       0.000       0.000     110.349      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.262       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     11       0  rtu0110                0.000       0.000       0.000     118.618      15.374       0.000       0.000       0.000       0.000       0.000       0.000       0.000      83.130       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     12       0  rtu0120                0.000       0.000       0.000     122.074      15.500       0.000       0.000       0.000       0.000       0.000       0.000       0.000      88.513       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     13       0  rtu0130                0.000       0.000       0.000     114.896      15.230       0.000       0.000       0.000       0.000       0.000       0.000       0.000      76.453       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     14       0  rtu0140                0.000       0.000       0.000     122.117      15.498       0.000       0.000       0.000       0.000       0.000       0.000       0.000      88.148       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     15       0  rtu0150                0.000       0.000       0.000     122.124      15.497       0.000       0.000       0.000       0.000       0.000       0.000       0.000      87.989       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     16       0  rtu0160                0.000       0.000       0.000     122.057      15.501       0.000       0.000       0.000       0.000       0.000       0.000       0.000      88.705       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     17       0  rtu0170                0.000       0.000       0.000     110.191      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.443       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
