 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
     67     3     8  1982      1       0  rtu0010             3113.609       0.000       0.000    1288.809     159.740    1448.549     406.658      31.725       0.000       0.000      31.725    1288.814      71.777     277.068     507.619     363.087      83.050       0.000       0.000       0.000      31.942       0.000       0.000       0.000       0.000       0.000    1288.814       0.000       0.000     159.740       0.000       0.000       0.000       0.000       0.000    1221.013       0.268     287.692       0.000       0.000       0.000       0.000
     67     3     8  1982      2       0  rtu0020             3113.609       0.000       0.000    1296.657     155.829    1452.486     407.623      31.555       0.000       0.000      31.555    1296.753      71.803     278.127     507.722     363.718      83.279       0.000       0.000       0.000      31.771       0.000       0.000       0.000       0.000       0.000    1296.753       0.000       0.000     155.829       0.000       0.000       0.000       0.000       0.000    1216.357       5.231     280.648       0.000       0.000       0.000       0.000
     67     3     8  1982      3       0  rtu0030             3113.609       0.000       0.000    1269.124     170.413    1439.537     404.442      31.476       0.000       0.000      31.476    1269.162      71.716     274.667     507.374     361.635      82.527       0.000       0.000       0.000      31.691       0.000       0.000       0.000       0.000       0.000    1269.162       0.000       0.000     170.413       0.000       0.000       0.000       0.000       0.000    1232.008       2.055     306.914       0.000       0.000       0.000       0.000
     67     3     8  1982      4       0  rtu0040             3113.609       0.000       0.000    1174.963     218.319    1393.282     394.108      31.332       0.000       0.000      31.332    1175.123      71.422     263.345     506.425     354.874      80.067       0.000       0.000       0.000      31.547       0.000       0.000       0.000       0.000       0.000    1175.123       0.000       0.000     218.319       0.000       0.000       0.000       0.000       0.000    1286.573       8.196     393.192       0.000       0.000       0.000       0.000
     67     3     8  1982      5       0  rtu0050             3113.609       0.000       0.000    1376.627     118.014    1494.641     416.359      31.506       0.000       0.000      31.506    1376.637      72.041     287.943     508.242     369.403      85.521       0.000       0.000       0.000      31.720       0.000       0.000       0.000       0.000       0.000    1376.637       0.000       0.000     118.014       0.000       0.000       0.000       0.000       0.000    1167.062       0.582     212.543       0.000       0.000       0.000       0.000
     67     3     8  1982      6       0  rtu0060             3113.578       0.000       0.000    1384.767     113.673    1498.439     417.340      31.534       0.000       0.000      31.534    1384.831      72.065     289.011     508.303     370.043      85.766       0.000       0.000       0.000      31.748       0.000       0.000       0.000       0.000       0.000    1384.831       0.000       0.000     113.673       0.000       0.000       0.000       0.000       0.000    1162.340       3.655     204.725       0.000       0.000       0.000       0.000
     67     3     8  1982      7       0  rtu0070             3113.609       0.000       0.000    1238.704     185.358    1424.062     401.157      31.261       0.000       0.000      31.261    1238.741      71.631     271.017     507.136     359.497      81.715       0.000       0.000       0.000      31.476       0.000       0.000       0.000       0.000       0.000    1238.741       0.000       0.000     185.358       0.000       0.000       0.000       0.000       0.000    1250.407       1.994     333.830       0.000       0.000       0.000       0.000
     67     3     8  1982      8       0  rtu0080             3113.609       0.000       0.000    1818.310     124.157    1942.467     304.927      31.408       0.000       0.000      31.408    1818.361      76.299     277.832     434.343     331.486      89.042       0.000       0.000       0.000      31.614       0.000       0.000       0.000       0.000       0.000    1818.361       0.000       0.000     124.157       0.000       0.000       0.000       0.000       0.000     828.699       3.236     454.917       0.000       0.000       0.000       0.000
     67     3     8  1982      9       0  rtu0090             3113.609       0.000       0.000    2468.758      62.043    2530.801     189.987      32.512       0.000       0.000      32.512    2468.788      80.939     281.464     348.339     296.951      96.437       0.000       0.000       0.000      32.713       0.000       0.000       0.000       0.000       0.000    2468.788       0.000       0.000      62.043       0.000       0.000       0.000       0.000       0.000     353.758       2.346     684.782       0.000       0.000       0.000       0.000
