 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
     67     3     8  1982      1       0  rtu0010              588.600       0.000       0.000     243.638      30.197     273.835      76.875       5.997       0.000       0.000       5.997     243.639      71.777     277.068     507.619     363.087      83.050       0.000       0.000       0.000       6.038       0.000       0.000       0.000       0.000       0.000     243.639       0.000       0.000      30.197       0.000       0.000       0.000       0.000       0.000     230.822       0.051      54.386       0.000       0.000       0.000       0.000
     67     3     8  1982      2       0  rtu0020              588.600       0.000       0.000     245.121      29.458     274.580      77.057       5.965       0.000       0.000       5.965     245.140      71.803     278.127     507.722     363.718      83.279       0.000       0.000       0.000       6.006       0.000       0.000       0.000       0.000       0.000     245.140       0.000       0.000      29.458       0.000       0.000       0.000       0.000       0.000     229.941       0.989      53.054       0.000       0.000       0.000       0.000
     67     3     8  1982      3       0  rtu0030              588.600       0.000       0.000     239.917      32.215     272.132      76.456       5.950       0.000       0.000       5.950     239.924      71.716     274.667     507.374     361.635      82.527       0.000       0.000       0.000       5.991       0.000       0.000       0.000       0.000       0.000     239.924       0.000       0.000      32.215       0.000       0.000       0.000       0.000       0.000     232.900       0.389      58.019       0.000       0.000       0.000       0.000
     67     3     8  1982      4       0  rtu0040              588.600       0.000       0.000     222.116      41.271     263.388      74.503       5.923       0.000       0.000       5.923     222.147      71.422     263.345     506.425     354.874      80.067       0.000       0.000       0.000       5.964       0.000       0.000       0.000       0.000       0.000     222.147       0.000       0.000      41.271       0.000       0.000       0.000       0.000       0.000     243.215       1.549      74.329       0.000       0.000       0.000       0.000
     67     3     8  1982      5       0  rtu0050              588.600       0.000       0.000     260.239      22.310     282.549      78.709       5.956       0.000       0.000       5.956     260.241      72.041     287.943     508.242     369.403      85.521       0.000       0.000       0.000       5.996       0.000       0.000       0.000       0.000       0.000     260.241       0.000       0.000      22.310       0.000       0.000       0.000       0.000       0.000     220.623       0.110      40.179       0.000       0.000       0.000       0.000
     67     3     8  1982      6       0  rtu0060              588.594       0.000       0.000     261.778      21.489     283.267      78.894       5.961       0.000       0.000       5.961     261.790      72.065     289.011     508.303     370.043      85.766       0.000       0.000       0.000       6.002       0.000       0.000       0.000       0.000       0.000     261.790       0.000       0.000      21.489       0.000       0.000       0.000       0.000       0.000     219.730       0.691      38.701       0.000       0.000       0.000       0.000
     67     3     8  1982      7       0  rtu0070              588.600       0.000       0.000     234.166      35.040     269.206      75.835       5.910       0.000       0.000       5.910     234.173      71.631     271.017     507.136     359.497      81.715       0.000       0.000       0.000       5.950       0.000       0.000       0.000       0.000       0.000     234.173       0.000       0.000      35.040       0.000       0.000       0.000       0.000       0.000     236.378       0.377      63.108       0.000       0.000       0.000       0.000
     67     3     8  1982      8       0  rtu0080              588.600       0.000       0.000     343.735      23.471     367.206      57.644       5.937       0.000       0.000       5.937     343.745      76.299     277.832     434.343     331.486      89.042       0.000       0.000       0.000       5.976       0.000       0.000       0.000       0.000       0.000     343.745       0.000       0.000      23.471       0.000       0.000       0.000       0.000       0.000     156.658       0.612      85.998       0.000       0.000       0.000       0.000
     67     3     8  1982      9       0  rtu0090              588.600       0.000       0.000     466.697      11.729     478.425      35.915       6.146       0.000       0.000       6.146     466.702      80.939     281.464     348.339     296.951      96.437       0.000       0.000       0.000       6.184       0.000       0.000       0.000       0.000       0.000     466.702       0.000       0.000      11.729       0.000       0.000       0.000       0.000       0.000      66.875       0.444     129.452       0.000       0.000       0.000       0.000
