 FINAL_TRY                 SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
     1     1     1  1991       1       1  cha0001              0.9940E+02     0.1939E+05     0.2183E+05     0.8984E+04     0.2269E+04     0.5044E-07     0.5365E-06     0.0000E+00     0.3144E+02     0.1015E-03     0.3107E-04     0.0000E+00     0.1813E-04     0.1537E+01     0.1886E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.1465E+00     0.4095E+03     0.4946E+04     0.6704E+03     0.7932E+05     0.3979E+03     0.4858E+04     0.1974E+03     0.2556E+03     0.3020E+09     0.1293E+07     0.2595E-02     0.2595E-02     0.2595E-02     0.2595E-02     0.2595E-02     0.0000E+00     0.0000E+00     0.1465E+00     0.4094E+03     0.4560E+04     0.6255E+03     0.7868E+05     0.6156E+03     0.4597E+04     0.3825E+03     0.3856E+03     0.2094E+09     0.2207E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       2       2  cha0002              0.3113E+02     0.6073E+04     0.6837E+04     0.2814E+04     0.6286E+03     0.1502E-07     0.1826E-06     0.5898E-07     0.9721E+01     0.2403E-04     0.7047E-05     0.0000E+00     0.5154E-05     0.2099E+01     0.5417E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.1044E+00     0.3107E+03     0.3950E+04     0.5331E+03     0.6004E+05     0.2806E+03     0.3802E+04     0.2897E+03     0.3448E+02     0.2498E+09     0.1648E+06     0.3623E-02     0.3623E-02     0.3623E-02     0.3623E-02     0.3623E-02     0.0000E+00     0.0000E+00     0.1044E+00     0.3106E+03     0.3818E+04     0.5178E+03     0.5988E+05     0.3655E+03     0.3696E+04     0.1863E+03     0.2556E+03     0.2102E+09     0.1747E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       3       3  cha0003              0.5957E+02     0.1162E+05     0.1308E+05     0.5384E+04     0.8987E+03     0.1764E-07     0.3792E-06     0.1203E-05     0.1510E+02     0.2887E-04     0.1374E-04     0.0000E+00     0.6824E-05     0.2290E+00     0.7445E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.6986E-01     0.2033E+03     0.2735E+04     0.3663E+03     0.4126E+05     0.7203E+02     0.2929E+04     0.3634E+02     0.5127E-02     0.2422E+09     0.8245E+06     0.2095E-02     0.2095E-02     0.2095E-02     0.2095E-02     0.2095E-02     0.0000E+00     0.0000E+00     0.6986E-01     0.2033E+03     0.2555E+04     0.3456E+03     0.4080E+05     0.1877E+03     0.2543E+04     0.1672E+03     0.3277E+02     0.1685E+09     0.1087E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       4       4  cha0004              0.1525E+02     0.2976E+04     0.3345E+04     0.1379E+04     0.1538E+03     0.2570E-08     0.1102E-06     0.3411E-06     0.1926E+01     0.5956E-05     0.7790E-05     0.0000E+00     0.1077E-05     0.6691E-01     0.1313E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.2482E-01     0.7267E+02     0.9399E+03     0.1255E+03     0.1275E+05     0.1324E+02     0.9818E+03     0.0000E+00     0.0000E+00     0.7809E+08     0.1655E+07     0.2004E-02     0.2004E-02     0.2004E-02     0.2004E-02     0.2004E-02     0.0000E+00     0.0000E+00     0.2482E-01     0.7265E+02     0.9047E+03     0.1214E+03     0.1268E+05     0.3786E+02     0.8687E+03     0.3080E+02     0.9654E-02     0.6294E+08     0.5113E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       5       5  cha0005              0.1886E+03     0.3678E+05     0.4141E+05     0.1704E+05     0.6125E+04     0.2861E-06     0.2342E-05     0.7733E-05     0.7875E+02     0.7312E-02     0.3532E-02     0.1654E-29     0.1202E-03     0.7069E+02     0.4443E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.1128E+00     0.1903E+03     0.2257E+04     0.3074E+03     0.4318E+05     0.4841E+03     0.2304E+04     0.2161E+03     0.2601E+03     0.1107E+09     0.1152E+07     0.5781E-02     0.5781E-02     0.5781E-02     0.5781E-02     0.5781E-02     0.0000E+00     0.0000E+00     0.1128E+00     0.1958E+03     0.2052E+04     0.2827E+03     0.4147E+05     0.6033E+03     0.1943E+04     0.2053E+03     0.3830E+03     0.7244E+08     0.7821E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       6       6  cha0006              0.2270E+03     0.4429E+05     0.4986E+05     0.2052E+05     0.6734E+04     0.2844E-06     0.3369E-05     0.1098E-04     0.9341E+02     0.7963E-02     0.3611E-02     0.1337E-23     0.1537E-03     0.5629E+02     0.4899E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.9119E-01     0.1440E+03     0.1853E+04     0.2513E+03     0.3698E+05     0.3242E+03     0.2009E+04     0.1490E+03     0.1694E+03     0.1128E+09     0.1823E+07     0.5288E-02     0.5288E-02     0.5288E-02     0.5288E-02     0.5288E-02     0.0000E+00     0.0000E+00     0.9119E-01     0.1524E+03     0.1635E+04     0.2253E+03     0.3491E+05     0.4441E+03     0.1606E+04     0.2026E+03     0.2601E+03     0.6275E+08     0.6078E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       7       7  cha0007              0.1086E+03     0.2119E+05     0.2386E+05     0.9819E+04     0.2674E+04     0.1031E-06     0.1559E-05     0.5036E-05     0.3515E+02     0.3114E-02     0.2103E-02     0.4366E-37     0.5723E-04     0.2018E+02     0.1964E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.6426E-01     0.9774E+02     0.1300E+04     0.1756E+03     0.2511E+05     0.1960E+03     0.1419E+04     0.1686E+03     0.2564E+02     0.7745E+08     0.1310E+07     0.3767E-02     0.3767E-02     0.3767E-02     0.3767E-02     0.3767E-02     0.0000E+00     0.0000E+00     0.6425E-01     0.1011E+03     0.1168E+04     0.1600E+03     0.2420E+05     0.2744E+03     0.1167E+04     0.1329E+03     0.1693E+03     0.4644E+08     0.4343E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       8       8  cha0008              0.6251E+02     0.1337E+04     0.1070E+04     0.6468E+03     0.2591E+03     0.9472E-04     0.4827E-03     0.7734E-04     0.8562E-01     0.2874E-02     0.4012E-03     0.2166E-03     0.3848E-03     0.1590E+01     0.5823E-34     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3319E+02     0.6217E-02     0.7745E+01     0.4408E+02     0.6745E+01     0.1529E+03     0.2008E+02     0.6872E+02     0.2840E+01     0.1472E+01     0.3373E+07     0.1677E+05     0.1864E-02     0.1864E-02     0.1864E-02     0.1864E-02     0.1864E-02     0.0000E+00     0.0000E+00     0.6216E-02     0.7867E+01     0.4201E+02     0.6461E+01     0.1374E+03     0.2167E+02     0.5630E+02     0.2272E+01     0.3274E+01     0.2859E+07     0.8814E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
     1     1     1  1991       9       9  cha0009              0.2366E+03     0.4615E+05     0.4957E+05     0.2138E+05     0.3871E+04     0.1939E-05     0.9874E-05     0.9437E-05     0.1018E+02     0.6263E-02     0.5168E-02     0.8791E-05     0.1980E-03     0.7076E+02     0.9983E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2547E+02     0.3179E-01     0.4817E+02     0.5202E+03     0.7202E+02     0.6425E+04     0.1587E+03     0.7995E+03     0.9167E+02     0.5521E+02     0.2859E+08     0.1921E+07     0.4473E-02     0.4473E-02     0.4473E-02     0.4473E-02     0.4473E-02     0.0000E+00     0.0000E+00     0.3178E-01     0.5009E+02     0.3988E+03     0.5699E+02     0.5553E+04     0.2146E+03     0.4522E+03     0.8810E+02     0.1188E+03     0.1080E+08     0.6591E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2000E+02
