 FINAL_TRY                 SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
     1     1     1  1991       1       1  cha0001              0.1470E+00     0.0000E+00     0.1470E+00     0.1470E+00     0.4095E+03     0.4095E+03     0.0000E+00     0.0000E+00     0.7541E-01     0.1083E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4385E+01     0.0000E+00     0.0000E+00     0.1330E+03     0.0000E+00     0.1330E+03     0.1839E+00     0.2309E+03     0.3412E+01     0.3002E+02     0.1603E+05
     1     1     1  1991       2       2  cha0002              0.1048E+00     0.0000E+00     0.1048E+00     0.1048E+00     0.3107E+03     0.3106E+03     0.0000E+00     0.0000E+00     0.5543E-01     0.3153E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4076E+01     0.0000E+00     0.0000E+00     0.1317E+03     0.0000E+00     0.1317E+03     0.5382E-01     0.1763E+03     0.2428E+01     0.2784E+02     0.1297E+05
     1     1     1  1991       3       3  cha0003              0.7012E-01     0.0000E+00     0.7012E-01     0.7012E-01     0.2033E+03     0.2033E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.1097E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7414E+01     0.0000E+00     0.0000E+00     0.1282E+03     0.0000E+00     0.1282E+03     0.7137E-01     0.1197E+03     0.1466E+01     0.4921E+02     0.6342E+05
     1     1     1  1991       4       4  cha0004              0.2491E-01     0.0000E+00     0.2491E-01     0.2491E-01     0.7267E+02     0.7265E+02     0.0000E+00     0.0000E+00     0.1527E-01     0.2031E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5357E+01     0.0000E+00     0.0000E+00     0.1456E+03     0.0000E+00     0.1456E+03     0.1314E-01     0.3742E+02     0.4379E+00     0.3679E+02     0.3095E+05
     1     1     1  1991       5       5  cha0005              0.1132E+00     0.0000E+00     0.1132E+00     0.1132E+00     0.1903E+03     0.1959E+03     0.0000E+00     0.0000E+00     0.1076E+00     0.6195E+02     0.5736E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1322E+00     0.1133E-01     0.0000E+00     0.6037E+02     0.0000E+00     0.6036E+02     0.1615E+00     0.1213E+03     0.2435E+01     0.1554E+01     0.3764E+02
     1     1     1  1991       6       6  cha0006              0.9152E-01     0.0000E+00     0.9151E-01     0.9152E-01     0.1440E+03     0.1525E+03     0.0000E+00     0.0000E+00     0.7240E-01     0.7694E+02     0.8597E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1364E+00     0.1294E-01     0.0000E+00     0.5921E+02     0.0000E+00     0.5920E+02     0.1796E+00     0.1017E+03     0.1840E+01     0.1524E+01     0.3454E+02
     1     1     1  1991       7       7  cha0007              0.6449E-01     0.0000E+00     0.6449E-01     0.6449E-01     0.9774E+02     0.1011E+03     0.0000E+00     0.0000E+00     0.4199E-01     0.5679E+02     0.3447E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2103E+00     0.9341E-02     0.0000E+00     0.6298E+02     0.0000E+00     0.6298E+02     0.7480E-01     0.7057E+02     0.1194E+01     0.1968E+01     0.5033E+02
     1     1     1  1991       8       8  cha0008              0.6237E-02     0.0000E+00     0.6237E-02     0.6237E-02     0.7745E+01     0.7880E+01     0.0000E+00     0.0000E+00     0.5813E-02     0.1068E+01     0.1404E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6873E-02     0.1125E-02     0.0000E+00     0.4915E+01     0.0000E+00     0.4915E+01     0.3476E-02     0.5085E+00     0.7734E-01     0.5728E+00     0.4883E+01
     1     1     1  1991       9       9  cha0009              0.3190E-01     0.0000E+00     0.3190E-01     0.3190E-01     0.4817E+02     0.5026E+02     0.0000E+00     0.0000E+00     0.1040E-01     0.0000E+00     0.2103E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4848E-02     0.0000E+00     0.2012E+02     0.0000E+00     0.2012E+02     0.1810E+00     0.1693E+02     0.7466E+00     0.6206E+00     0.4962E+01
