ID,NAME,LAT,LONG,ELEVATION
1,1_PCP,35.307,-2.948,102
2,2_PCP,35.898,-5.323,58
3,3_PCP,36.049,-5.63,124
4,4_PCP,36.049,-5.568,186
5,5_PCP,36.049,-5.507,163
6,6_PCP,36.1,-5.815,49
7,7_PCP,36.1,-5.753,70
8,8_PCP,36.1,-5.691,125
9,9_PCP,36.099,-5.63,246
10,10_PCP,36.099,-5.568,332
11,11_PCP,36.099,-5.506,264
12,12_PCP,36.15,-5.877,44
13,13_PCP,36.15,-5.815,58
14,14_PCP,36.15,-5.753,81
15,15_PCP,36.15,-5.691,169
16,16_PCP,36.149,-5.63,300
17,17_PCP,36.149,-5.568,339
18,18_PCP,36.149,-5.506,223
19,19_PCP,36.148,-5.383,5
20,20_PCP,36.2,-6,39
21,21_PCP,36.2,-5.938,53
22,22_PCP,36.2,-5.876,47
23,23_PCP,36.2,-5.815,37
24,24_PCP,36.2,-5.753,78
25,25_PCP,36.2,-5.691,195
26,26_PCP,36.199,-5.629,292
27,27_PCP,36.199,-5.567,257
28,28_PCP,36.199,-5.506,138
29,29_PCP,36.199,-5.444,60
30,30_PCP,36.198,-5.382,44
31,31_PCP,36.25,-6.062,36
32,32_PCP,36.25,-6,70
33,33_PCP,36.25,-5.938,70
34,34_PCP,36.25,-5.876,32
35,35_PCP,36.25,-5.815,16
36,36_PCP,36.25,-5.753,86
37,37_PCP,36.25,-5.691,213
38,38_PCP,36.249,-5.629,280
39,39_PCP,36.249,-5.567,231
40,40_PCP,36.249,-5.505,146
41,41_PCP,36.249,-5.444,107
42,42_PCP,36.248,-5.382,93
43,43_PCP,36.248,-5.32,62
44,44_PCP,36.3,-6.124,18
45,45_PCP,36.3,-6.062,55
46,46_PCP,36.3,-6,86
47,47_PCP,36.3,-5.938,76
48,48_PCP,36.3,-5.876,39
49,49_PCP,36.3,-5.814,29
50,50_PCP,36.3,-5.753,88
51,51_PCP,36.3,-5.691,189
52,52_PCP,36.299,-5.629,264
53,53_PCP,36.299,-5.567,272
54,54_PCP,36.299,-5.505,221
55,55_PCP,36.299,-5.443,156
56,56_PCP,36.298,-5.381,111
57,57_PCP,36.298,-5.319,76
58,58_PCP,36.35,-6.124,29
59,59_PCP,36.35,-6.062,66
60,60_PCP,36.35,-6,93
61,61_PCP,36.35,-5.938,91
62,62_PCP,36.35,-5.876,70
63,63_PCP,36.35,-5.814,57
64,64_PCP,36.35,-5.752,66
65,65_PCP,36.35,-5.69,119
66,66_PCP,36.349,-5.628,221
67,67_PCP,36.349,-5.567,301
68,68_PCP,36.349,-5.505,265
69,69_PCP,36.349,-5.443,153
70,70_PCP,36.348,-5.381,89
71,71_PCP,36.348,-5.319,88
72,72_PCP,36.347,-5.257,60
73,73_PCP,36.4,-6.186,9
74,74_PCP,36.4,-6.124,31
75,75_PCP,36.4,-6.062,62
76,76_PCP,36.4,-6,93
77,77_PCP,36.4,-5.938,106
78,78_PCP,36.4,-5.876,96
79,79_PCP,36.4,-5.814,65
80,80_PCP,36.4,-5.752,40
81,81_PCP,36.4,-5.69,83
82,82_PCP,36.399,-5.628,217
83,83_PCP,36.399,-5.566,329
84,84_PCP,36.399,-5.504,283
85,85_PCP,36.399,-5.442,138
86,86_PCP,36.398,-5.38,80
87,87_PCP,36.398,-5.318,138
88,88_PCP,36.398,-5.256,176
89,89_PCP,36.45,-6.186,9
90,90_PCP,36.45,-6.124,27
91,91_PCP,36.45,-6.062,58
92,92_PCP,36.45,-6,93
93,93_PCP,36.45,-5.938,114
94,94_PCP,36.45,-5.876,104
95,95_PCP,36.45,-5.814,70
96,96_PCP,36.45,-5.752,63
97,97_PCP,36.45,-5.69,158
98,98_PCP,36.449,-5.628,321
99,99_PCP,36.449,-5.566,414
100,100_PCP,36.449,-5.504,349
101,101_PCP,36.449,-5.442,207
102,102_PCP,36.448,-5.38,153
103,103_PCP,36.448,-5.318,252
104,104_PCP,36.447,-5.256,378
105,105_PCP,36.447,-5.194,350
106,106_PCP,36.447,-5.132,173
107,107_PCP,36.5,-6.186,6
108,108_PCP,36.5,-6.124,27
109,109_PCP,36.5,-6.062,60
110,110_PCP,36.5,-6,91
111,111_PCP,36.5,-5.938,106
112,112_PCP,36.5,-5.876,107
113,113_PCP,36.5,-5.814,109
114,114_PCP,36.5,-5.752,161
115,115_PCP,36.5,-5.69,295
116,116_PCP,36.499,-5.628,447
