Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1980;1;0;2.6;0;18.7;8.9;0;0;0;0;0;0;7.8
1980;2;0;0;6.3;20.8;1.2;0;0;0;0;0;0;1
1980;3;0;17.5;0;35;12;0;0;0;0;0;7.5;0
1980;4;0;15.8;6.4;24;0;0;0;0;0;0;0;0
1980;5;0;6.4;0;16.7;0;0;0;0;0;0;0;0
1980;6;0;8.3;7.5;0;0;0;0;0;0;0;0;0
1980;7;2.2;4.2;0;0;0;0;0;0;0;0;0;0
1980;8;0;0;0;0;0;0;0;0;0;5;0;0
1980;9;0;4.7;0;0;0;0;0;0;0;6.5;0;5.9
1980;10;0;0;0;0;0;0;0;0;0;0;0;14.4
1980;11;2.4;0;0;14.2;0;0;0;0;0;1.5;0;4
1980;12;23.2;0;0;0;0;0;0;0;0;0;0;7.1
1980;13;3.3;0;0;1.8;0;0;0;0;0;0;0;10.6
1980;14;0;0;2.1;0;0;0;0;0;0;0;0;14.1
1980;15;6.4;8.5;9;0;0;0;0;0;0;0;0;0
1980;16;0;5.3;5.2;0;15.6;0;0;0;0;5.9;0;0
1980;17;0;0;19.8;0;0;0;0;0;0;0;0;0
1980;18;6.8;13.8;34;0;0;0;0;0;0;11.2;0;0
1980;19;0;3.6;18.6;0;0;0;0;0;0;0;0;0
1980;20;0;0;0;11.8;0;0;0;0;0;0;0;0
1980;21;0;0;4.3;0;0;0;0;0;0;0;0;0
1980;22;0;0;8.1;0;0;0;0;0;0;0;5;0
1980;23;0;7.2;0.3;0;0;0;0;0;0;0;6;1.2
1980;24;0;3.2;0;14.9;0;0;0;0;0;0;0;10.4
1980;25;0;5.8;0;0;0;0;0;0;0;0;0;0
1980;26;0;1.8;0;0;0;0;0;0;0;0;0;0
1980;27;14.9;0;0;0;0;0;0;0;0;0;5;0
1980;28;0;0;0;0;0;0;0;0;0;6.6;0;0
1980;29;0;0;0;20.1;0;0;0;0;0;0;3;0
1980;30;6.7;;0;0;4.8;0;0;0;0;0;13.5;0
1980;31;4.5;;0;;0;;0;0;;0;;0
1981;1;3.8;4.6;0;0;0;0;0;0;0;0;;0
1981;2;0;5.4;0;0;0;0;0;0;0;0;;0
1981;3;0;8.6;0;0;0;0;0;0;0;0;0;0
1981;4;0;28.5;16;0;0;0;0;0;0;0;0;0
1981;5;0;7.2;23;20;0;0;0;0;0;0;0;0
1981;6;0;8.1;28.5;26.1;0;0;0;0;0;0;0;0
1981;7;5;5.7;12;2.2;0;0;0;0;0;0;0;0
1981;8;8.5;2.8;29.5;13;0;1.5;0;0;0;10.2;0;0
1981;9;11;6.2;32.3;7.3;0;0;0;0;0;0;0;0
1981;10;0;3.6;25.2;0;0;0;0;0;0;0;0;0
1981;11;6;5.4;7.4;0;6.8;0.5;0;7.2;0;0;0;21.5
1981;12;10;7.6;26.5;4;0;0;0;0;0;8;0;0
1981;13;0;14.3;19.6;9.5;0;0;0;0;0;9.8;0;0
1981;14;9.6;2;12.2;25.7;0;0;0;0;0;0;0;0
1981;15;0;8.8;10.5;9.8;0;0;0;0;0;0;0;3.8
1981;16;0;5.3;0;5;4;0;0;0;0;0;0;0
1981;17;0;10.3;0;5.2;0;0;0;0;0;0;0;6.9
1981;18;4.2;26.7;10;9;0;0;0;0;0;0;0;0
1981;19;8.8;17.2;0;0;0;0;0;0;0;0;0;0
1981;20;2;0;0;0;0;0;0;0;0;0;0;8
1981;21;3.9;15.6;0;0;0;0;0;0;0;0;0;3.7
1981;22;0;10.4;0;0;0;0;0;0;0;0;0;0
1981;23;0;13.3;0;0;0;0;0;0;0;0;0;0
1981;24;0;8;0;0;0;0;0;0;0;0;0;1.6
1981;25;0;12;0;0;0;0;0;0;0;0;0;10.5
1981;26;0;5.5;4.3;0;0;0;0;0;0;0;0;0
1981;27;2;4;0;0;0;0;0;0;0;0;0;0
1981;28;1;0;5;0;0;0;0;0;0;0;3;5.2
1981;29;1;;13;0;0;0;0;0;0;0;0;0
1981;30;0;;0;0;0;0;0;2.5;0;0;;0
1981;31;4.3;;0;;0;;0;0;;0;;0
1982;1;24;21;0;15.2;0;0;;0;0;0;0;0
1982;2;0;9.2;0;0;0;0;0;0;0;0;0;0
1982;3;8;7.6;0;4.4;0;0;0;0;0;0;0;0
1982;4;0;2.8;16.4;0;0;0;0;0;0;2;0;0
1982;5;0;0;0;0;0;0;0;0;0;0;0;14.5
1982;6;0;0;0;5;0;0;0;0;0;0;6;34.4
1982;7;0;28.4;0;0;0;0;0;0;0;0;0;36.7
1982;8;0;4.2;0;16.2;0;0;0;0;0;0;0;5.6
1982;9;0;0;0;27;0;0;0;0;0;0;0;0
1982;10;0;0;0;38.3;0;0;0;0;0;0;28;0
1982;11;5.7;10.5;0;0;3.4;0;0;0;0;0;0;0
1982;12;3;0;0;0;0;0;0;0;0;1.5;0;34
1982;13;0;0;0;0;0;0;0;0;0;0;0;10
1982;14;0;23.5;13;0;0;0;0;0;0;0;0;3
1982;15;5.3;6.7;2.4;0;0;0;0;0;0;0;0;0
1982;16;0;0;4.5;0;0;0;0;0;0;0;0;0
1982;17;9;0;7.2;0;0;0;0;0;0;0;33.5;1
1982;18;0;0;5;0;7.8;0;0;0;0;0;0;0
1982;19;0;0;1.5;0;11.2;0;0;0;0;0;0;0
1982;20;0;0;0;0;0;0;0;0;0;0;9.4;7
1982;21;0;0;0;0;6;0;0;0;0;0;0;38
1982;22;7;0;0;0;0;0;0;0;0;18.2;0;45.1
1982;23;10;0;12;0;0;0;0;0;0;23.5;0;0
1982;24;0;0;0;0;5.7;0;0;0;0;10.4;0;12
1982;25;9.2;0;2;0;4.8;0;0;0;0;0;31.7;0
1982;26;12.4;0;0;0;2;0;0;0;0;0;0;0
1982;27;3.2;31;0;0;0;0;0;0;0;0;0;73
1982;28;13.7;0;0;0;0;0;0;0;0;0;0;32.3
1982;29;14.5;;0;7.4;0;0;0;0;0;0;0;8
1982;30;0;;0;0;0;0;0;0;0;0;0;0
1982;31;0;;0;;0;;0;0;;0;;0
1983;1;0;0;0;21.7;0;0;0;0;2;0;0;4.7
1983;2;12;0;42;18.7;0;0;0;0;0;0;0;0
1983;3;0;0;13.3;1;0.5;0;0;0;0;0;0;8.1
1983;4;16.3;39.3;0;6.3;3.7;7.7;0;0;0;0;0;3.2
1983;5;0;0;4.8;16;0;0;0;0;0;0;0;8.2
1983;6;22.2;21.2;58.8;23.5;0;0;0;0;0;0;0;2.4
1983;7;9.5;15.8;3;52.4;0;0;0;0;0;0;0;0
1983;8;10.4;25.3;14.6;0;0;0;3;0;0;3.3;4.3;0
1983;9;0;0;48.2;32.9;0;22.3;12;0;1.3;0;0;0
1983;10;0;6.4;24.8;0;2.8;1;0;0;0.5;0;0;0
1983;11;0;11.3;6.7;80.8;0;0;0;0;5.3;6;0;0
1983;12;0;0;15;5.5;0;0;0;0;0;20.2;0;0
1983;13;24.6;0;0;3;15;0;0;0;0;17.9;6;0
1983;14;11.5;23.5;52.7;14.2;1;0;0;0;0;2.7;0;0
1983;15;8.3;0;14.4;4.6;2.2;0;0;0;0;0;0;0
1983;16;12.1;8;0;0;0;0;0;0;0;0;0;4.4
1983;17;0;0;19.9;8.1;29;0;0;0;0;11.2;0;4.6
1983;18;0;0;20.4;0;3;0;0;0;0;0;0;22.5
1983;19;9;0;0;0;3.4;0;0;0;0;0;0;7.9
1983;20;0;0;0;0;7.5;0;0;0;0;0;0;6.9
1983;21;0;0;11;0;13.2;0;0;0;0;0;0;5
1983;22;0;12.2;2;1.2;0;0;0;0;0;0;0;0
1983;23;0;0;0;3;11.2;0;0;0;0;0;0;15.6
1983;24;24;0;12.2;20;3.3;0;0;0;0;0;0;0
1983;25;25;0;22.3;7.5;0;0;0;0;0;1;4;0
1983;26;85.4;0;16.1;20.2;4;0;0;0;0;0;11.7;4.5
1983;27;23.1;0;10;15.2;9.1;0;0;0;0;0;0;5.5
1983;28;22.6;0;70.2;19.2;0;0;0;0;0;0;0;2.6
1983;29;19.9;;23.4;9;8.5;0;0;0;0;0;3;0
1983;30;0;;27.8;20.7;8.6;0;0;0;0;0;10.3;0
1983;31;13.9;;67.3;;0;;0;0;;0;;0
1984;1;13.2;4.4;1.2;0;7.2;;0;0;0;;0;0
1984;2;8.8;9.8;29.3;0;0;0;0;0;0;0;0;0
1984;3;0;28.4;0;5.8;0;0;0;0;0;0;0;3.3
1984;4;0;29.6;3.4;6.1;0;0;2;0;0;0;0;0
1984;5;0;19.7;22;7;0;0;0;0;0;2.3;0;0
1984;6;0;31.4;17.4;5.5;20.4;0;0;0;0;0;0;0
1984;7;0;7.9;28;8;10;2.4;0;0;0;1.5;0;0.5
1984;8;29.2;10.8;15;24.6;5.4;0;0;0;1.2;0;0;0
1984;9;2;3.3;0;18.8;0;4.4;2.2;0;0;0;0;1
1984;10;0;6.4;0;0;0;4.2;9;0;0;0;0;0
