Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1980;1;2.1;0;0;3.2;2.7;0;0.7;0;0;0;0;5.6
1980;2;0;0;0;19.3;0;0;0.1;0;0;0;0;13.3
1980;3;1.5;15.1;5.9;10;0.8;0.4;0;0;0;3;0.1;0
1980;4;0;1.8;2.5;16.7;0;0.1;0;0;0;0.6;1.4;0
1980;5;0;0;0;5;0;0;0;0;0;6.8;0;0
1980;6;0;0.2;0;0;0;0;0;0;0;0.2;0;0
1980;7;0;0;3.6;0;3.4;0.2;0;0.7;0;4.6;0;0
1980;8;0;0;0.1;0;0;0.6;0;0;0;6.2;0;7.4
1980;9;0;0;0.8;0;0;1.8;0.6;0;1.1;2.1;0;2.9
1980;10;0;0.2;0;0;0;4.5;0.4;0;0;0;0;2.3
1980;11;0;0.7;0;0;1.3;0.2;0;0;0;0;0;0
1980;12;0.4;0.5;0;0;0;0;0;0;0;0;0;11.8
1980;13;0;0;0;0;0;0;0;0;0;0;0;6.9
1980;14;0;0.1;0;0;0;0.1;0;0;0;0;0.3;0
1980;15;0;0;0;0;0.5;0;0;0;0;0;0.1;2.3
1980;16;0;1.3;0;0;4.3;0;0;0;0;18.4;0.4;0
1980;17;0;1.2;3.5;11.3;0;0;0;0;0;0.9;0;0
1980;18;0;0.3;13.8;10.4;0;0;0;0;6;1.7;16.9;0
1980;19;0;0;11;0.6;0.3;0;0;0;0;0.7;11.1;0
1980;20;3.8;1.5;0;2.7;0.3;0;0;0;0;1.4;0;0
1980;21;0.6;0;0;0;1.2;0;0.9;1;0;2.1;6;0
1980;22;0;0;0.7;0;5.8;0;0.1;1;0;0;3.8;0.2
1980;23;0;0;5.5;0;0.3;0;0.1;0;0;0;0;0
1980;24;0;0;0;0;0;0;0;0;0;0.1;2.3;2.1
1980;25;0;13;1;0;0;0;0;0;0;0;0;1.9
1980;26;0;0;0;0;0;0.2;0;0;0;0.2;3.2;1.7
1980;27;0;0;2.5;0;0;0.6;0;0.1;0;0.3;0.5;0
1980;28;0;0;0;0;0;0;0;0;0;0;1.6;0
1980;29;0;0;0;18.4;0.2;0;0;0;1.1;0.6;15.2;0
1980;30;15.1;;0;;1;0;0;0;3;0;2.7;0
1980;31;0;;0.4;;0;;0;0;;0;;0
1981;1;0.3;0.5;0;0;0;0;0;0;0;0;0.8;0
1981;2;3.1;0.1;0;0.6;0;0;0;0;0;0;4;0
1981;3;0;0.6;0;0;0;0;3.1;0;0;0;0.7;0
1981;4;0;2.3;0.2;0.1;0;0;0;0;0;0;0;0
1981;5;0;0.7;7.2;7.4;0;0;0.4;0;0;0;0;3.6
1981;6;0;0;6.6;2.3;2.8;0;0;0;0;0;0.2;0
1981;7;2;0;7.6;2.1;5.4;5.2;0.1;0;0;1.4;0;0
1981;8;4.1;0;1.4;5.2;4.1;5.4;0;0;0;1.8;0;0
1981;9;4.1;1.5;31.5;2.7;1.3;0;0;0;0;8.2;0;2.7
1981;10;0;0;7.1;2.3;0.3;0;0;6;0;0;0;6
