Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1980;1;0.4;9.3;0;28.1;3.4;0.3;0;0;0;0;0;9.3
1980;2;0;4.2;16.4;15;2;0;0;0;0;0;0;8.8
1980;3;0;15.4;6.4;11.2;0.1;0;0;0;0;1.4;0;0
1980;4;0;31.3;5.8;9.4;0;0;0;0;0;0.4;0;0
1980;5;0;9.4;3;11.2;0;0;0;0;0;4;0;0
1980;6;0;0.4;1.3;0.3;0;0;0;0;0;1.9;0;0
1980;7;0;1.4;0.8;3;0.8;0;0;0.5;0;11.4;0;0
1980;8;0;1.6;0;0;0;0;0;0;0;2.1;0;7
1980;9;0.2;3.2;0;0;0;1.2;0;0;0;2.6;0;12.1
1980;10;0.3;1.9;0;0;0;0.8;0.1;0;0;0;0;2.9
1980;11;0.6;0.3;0.1;0;0;0;0;0;0;0;0;2.2
1980;12;2.9;0.7;0;0;0;0;0;0;0;0;0;1.6
1980;13;0;0;0;0.3;0;0;0;0;0;0;0;2.4
1980;14;0;2;0;0.3;0.1;0;0;0;0;0;0;2.4
1980;15;0.2;10.6;0.7;0;0.2;0;0;0;0;0;0;0.2
1980;16;0;2.1;1.3;0;4.8;0;0;0;0;9.3;0;1
1980;17;1.1;6.9;5.7;2.8;0;0;0;0.4;0;15.7;0;0.1
1980;18;5.4;4.8;31.8;3.5;0;0;0;0;0;4.6;2.4;0
1980;19;3;13.5;39.1;0;0;0;0;0;0;2.9;0.1;0
1980;20;3.4;7.1;0;0.9;0;0;0;0;0;4.9;0;0
1980;21;0.6;0;1.3;0;0.1;0;0;0.2;0;0;3.8;0
1980;22;0;1.5;1.9;0;2.5;0;0;0;0;0;2.1;0
1980;23;0;2;0.6;1.9;0;0;0;0;0;0;1.3;0.2
1980;24;0;4.3;0;1;0;0;0;0;0;0.3;2.1;14.4
1980;25;0.5;4.6;0;0;0;0;0;0;0;0;0;4.9
1980;26;0;0.5;0;0;0;0;0;0;0;0;1.7;0
1980;27;0;0;0.4;0;0;0;0;0;0;0;0;0
1980;28;0.6;0;0;0.4;0;0;0;0;0;0;0;0
1980;29;4;0;0;39.3;0;0;0;0;0;0.7;8.2;0
1980;30;14.9;;0.2;0.5;3.5;0;0;0;0;0;11.6;0
1980;31;0.6;;0.1;;0.4;;0;0;;0;;0.8
1981;1;1.3;3;0;0;0;0;0;0;0;0;0;0
1981;2;2;1;0;0.8;0;0;0;0;0;0.3;0;0
1981;3;0;2.3;0;5.2;0;0;0;0;0;0;1.4;0
1981;4;0;19.5;2.7;10.3;0;0;0.2;0;0;0;0;0
1981;5;0;4.5;32;3.2;0;0;0.1;0;0;0;0;0.4
1981;6;0.4;5.1;7.5;16;0.2;0;0;0;0;0;0;0
1981;7;1.5;2.3;14.8;5.3;2;3.5;0;0;0;0;3.4;0
1981;8;2.1;1;20.4;4;0.1;0;0;0;0;1.8;0;0
1981;9;0.4;2.7;82.8;1.7;0.1;0;0;0;0;17.2;0;0.7
1981;10;0.1;0;57.2;2.1;0.2;0;0;0.3;0;0;0;0.8
1981;11;6.5;4.2;11;0.9;0.9;0.1;0;3;0;0.3;0;2.9
1981;12;9.5;8.9;10;4;0;0;0;0;0;7;0;0
1981;13;14.7;25.2;27;10.4;0.3;0;0;0;0;14.2;0;0
1981;14;4.6;8.7;19;3;0.6;0;0;0;0;2.5;0;2.5
1981;15;0;4;12.1;9.2;0.1;0;0;0;0;0.2;0;4.9
1981;16;0.1;1.8;5.3;11.9;2.1;0;0;0;0;0;0;3.9
1981;17;1.4;8.4;18.2;1.1;0;0;0;0;0;0;0;2.5
1981;18;1.7;5.2;15.6;3.5;0;1.2;0;0;0;0;0;0.3
1981;19;5.2;13;0.2;0.3;0;0;0;0;0;0;0;0.8
1981;20;18.4;0.2;0;0;0;0;0;0;0;0;0;3.1
1981;21;0.3;29;0;0;0;0;0;0;0;0;0;2.6
1981;22;0;3.4;0;1.4;0;0;0;0;0;0;0;0
1981;23;0;12.8;0;1.5;0.6;0;0;0;0;0;0;0.6
1981;24;0;18;0;1.4;1.4;0;0;0;0;2.2;0;2.1
1981;25;0.3;2.9;0;0;0;0;0;0;0;0;0;0.8
1981;26;0;0.4;2.3;0.4;0.2;0;0;0;0;0;1.7;0
1981;27;1.1;0.8;2.9;0.5;0;0;0;0;0;0;0;0
1981;28;0.7;0.4;3.5;0;0.7;0;0;1;0;0.1;0;9
1981;29;0.8;;3.8;0.5;0;0;0;4.1;0;0;0;1
1981;30;0;;0;2.7;0;0;0;5.5;0;0;0;1.9
1981;31;2.7;;0;;0;;0;0;;1.6;;0.8
1982;1;1.6;13.2;3.3;1.5;0;0;0;0;0;0;3.4;0.7
1982;2;0;26.8;0.4;0.7;0;0;0;0;0;2.2;0;0.3
1982;3;0;6;2.6;5.8;0;0;0;0;0;2.2;0.8;4.8
1982;4;1.2;5.2;2.1;3.5;0;0;0;0;0;0.1;0;5.1
1982;5;3;0;0.7;0;0;0;0;0;0;2.2;0.1;42.2
1982;6;0;2.4;0;14.2;0;0;0;0.1;0;0.1;0;50.1
1982;7;0;12;0;3.5;0;0;0;0;0;0;0;39
1982;8;0;0.6;0;20.2;0.2;0;0;0;0;0;0;15.5
1982;9;0;0;0.6;28.2;0;0;0;0;0;0;0;1.1
1982;10;0.6;0;0.8;36;1.1;1;0;0;0;0;1.9;23.3
1982;11;6.6;2.3;4.9;4.6;0;0;0.3;0;0;3.4;0.5;21.1
1982;12;0.6;5.5;0.1;15.9;0;0;0;0;0;0;3.7;15.2
1982;13;0;14.3;0.7;0;0;0;0;0;0;0;0;8.7
1982;14;5.5;9.9;3.3;0;0;0;0;0;0;0.3;0;1.2
1982;15;2.3;24.9;4.7;0;0.3;0;0;0;0;0;0;4.9
1982;16;0.2;0;3.3;0;0.1;0;0;0;0;0;35.7;7.9
1982;17;7.5;0;3;0;0.6;0;0.5;0;0;0;1.4;0.4
1982;18;0;0;2.7;0;0.4;0;0;0;0.4;0;3.5;2.8
1982;19;0;0;3;0;11.8;0;0;0;0;0.4;7.1;10.8
1982;20;0.2;0;0.1;0;0.9;0;0;0;0;1.5;8.4;14.4
1982;21;2.3;0;0;0.1;2.2;0;0;0;0;1.4;2.3;62.1
1982;22;2.6;0;0;0;0;0;0;0;0;2.8;0;53.9
1982;23;16.4;0;5.9;4.2;0;0;0;0;0;11.8;0;12.7
1982;24;1.5;0;1.4;0;3.4;0;0;0;0;6.3;2.4;3.5
1982;25;5.8;0;0.6;6.5;6.9;0;0;0;0;0.6;5.2;2.3
1982;26;3.3;0;2.3;0.1;6.1;0;1.3;0;0;19.4;3.4;4
1982;27;6.2;10.6;0;0;2.9;0;0;0;0;0;1.1;67.4
1982;28;11.1;2.6;0;2.2;0;0;0;0;5;0;0;89.8
1982;29;6.5;;0;4.1;0;0;0;0;2.4;0;0.3;9.5
1982;30;0.1;;1.9;3.2;0;0;0;0;0;0;0;1.4
1982;31;1.9;;0.5;;0;;0;0;;0.3;;0
1983;1;3.9;1.8;0;16.5;0;0;0;0;2.4;0;0;0.8
1983;2;11.6;0;25.2;2.1;0;0.2;0;0;0.4;0.2;0;9.7
1983;3;7.1;0.3;8.9;0;0.1;0.4;0;0;0.7;0;1;2.4
1983;4;8.4;25.9;21.3;0;3.7;8.3;0;0;0;0;0;10.8
1983;5;7.1;31.2;50;3;0.2;1.2;2.4;0;0.2;0;0.2;5.9
1983;6;17.2;32;5.8;11;0.2;0.1;0;0;0.2;0;2.5;0
1983;7;17.3;39.2;3.5;24.7;0.1;5.5;0.1;0;0;0.3;0;0
1983;8;0.2;37.6;7.3;4.9;0;0.1;1.3;0;0;1.5;0.4;1.5
1983;9;0;28.7;19.1;35.6;0;17.1;5.6;0;0;2.8;0;0
1983;10;0.8;48.1;4.8;5.5;0.3;0.2;0;0;5.4;0.8;0.6;0
1983;11;0.6;10.6;0.8;26.4;0;0;0;0;0;0.1;0;0
1983;12;21.3;0.9;0;9.6;0.7;0;0;0;0;6.8;0.3;4.1
1983;13;17.7;9.7;0;23;6.3;0;0;0;0;12.5;1.7;1.7
1983;14;12.7;20.8;13.3;1.1;1.4;0;0;0;0;3.7;0;3.3
1983;15;19.2;2.3;4.7;0.4;3.7;0;0;0;0.3;12.8;0;2.4
1983;16;15;4.9;5.2;1.8;9.1;0;0;0;2.4;1.9;0;3.1
1983;17;0.1;0;41.5;0.9;26.5;0;0.5;0;0.1;1.3;0;2.9
1983;18;0;1.5;28.2;0;3.6;0;0;0;0;0;0;14
1983;19;1;0;0.3;0;1.2;0;0;0;0;0;0;5.3
1983;20;2.8;0;0;0;4.6;0;0;0;1.2;0.8;0;2.8
1983;21;1.8;0;1.7;0.5;3.1;0;0;0;0;2.1;0;0
1983;22;0.1;1.6;0;7.9;20.6;0;0.3;0;0;1.2;0;0.6
1983;23;0.9;0;2.2;6.2;8.7;0;0;0;0;0.4;1.1;0.3
1983;24;1.4;0;11.7;12.1;5.2;0;0;0;0;0.9;0.9;0.2
1983;25;12;0.2;10.1;10.4;0.1;0;0;0;0;0;4.8;0
1983;26;55.8;0;25.2;9.3;0.5;0;0;0.2;0;0;0;6.5
1983;27;60.1;0.2;15.6;21.9;2.8;0;0;0;0;0.5;0;0.7
1983;28;21.5;0;83;6.8;21.4;0.2;0;0.1;0;0.2;8;0
1983;29;26;;79.7;44.6;38.8;0;0;0;0;1.9;1.3;6.9
1983;30;0;;40.4;0;9.2;0;0.8;0;0;0.8;6.2;9.5
1983;31;12.1;;111;;0;;0;0;;0;;1.6
1984;1;24.5;1.8;25.5;7.7;6.2;0.1;0.5;0;;0;0;0
1984;2;0;4.3;5.5;0;5;0.2;0;0;;0;0;0.2
1984;3;0;61.7;0.1;4.6;3.7;1.3;0;0;;0;0;0
1984;4;0;15.3;1.2;11.2;0;0.9;0.4;0;0;0;0;0
1984;5;0;18.8;9.8;3.5;0.9;0.6;3.1;0;0;0.9;0;0
1984;6;0;32.7;14.1;6.2;1.9;0;0;0;0;0;0;0.1
1984;7;0;11.6;3;0.1;2.9;2.8;0.6;0;0;1;0;0
1984;8;1.4;26.4;29.4;0.6;3.4;1.5;0;0;0.3;0.3;0;0.5
1984;9;0;7.7;0.9;14.3;0.9;1.7;0;1.4;1.2;0;0;0.3
1984;10;0;41.8;9.9;0.9;0;3.3;2.2;0.2;0;0;0;0
1984;11;0;4.3;0.6;0.6;2.5;0;1.1;0;0;0;0;2.2
1984;12;0;1.3;17.4;3.1;0;0;5.5;0;0;5.3;0;0.1
1984;13;0;47.3;0;0.1;0;0;0;0;0;1.6;0;0.3
1984;14;0;22.5;6.7;14.2;0.1;0.4;0;0;0;5.2;0;0
1984;15;3.7;6.7;28.8;2.6;1;1.6;0;0;0.1;4.8;0;0.3
1984;16;0.2;37.8;4;7.7;1.7;0;0;0;0;1.1;0;0.8
1984;17;0;14.8;0;0.1;1.4;0;0;0;0;17.4;0.6;3.7
1984;18;0;40.5;0;0;1.2;0;0;0;1.2;2.4;2.2;8.2
1984;19;4.1;0;0;0.7;2.9;0;0;0;4.3;5.1;0;2.6
1984;20;23.1;2.5;0.4;4.7;1;0;0;0;2.8;0.4;0;8.2
1984;21;5.9;1;4.5;2.8;6.8;1.1;0;0;6.1;4.2;0;2.1
1984;22;0;3.6;4.1;2.2;0.7;0;0;0.1;2.1;6.7;0.9;0.2
1984;23;0;1.4;8.7;10.6;2.5;0;0;0;9.4;7.6;0.3;3
1984;24;6.3;1.7;6.9;4.5;0.2;0;0;0;0;0.4;3.8;3
1984;25;12.8;26.3;5.6;0;1.1;0;0;0;0;0.9;3.6;0.3
1984;26;4.9;10.6;11.6;2.2;0;0.1;0;0;0;1.3;7;0
1984;27;9.2;0.4;3.8;1.3;0;0.1;0;0;0;0;4.3;0
1984;28;0;0.3;5.7;3.2;0;0.8;0;0;0;0;0.3;0
1984;29;5.8;12.2;1;8.1;0;0.2;0;0;0;0;0.7;6.5
1984;30;3.3;;20.3;4.1;1.9;0;0;0;0;0;6.3;0
1984;31;0.4;;2.5;;1.4;;0;0;;0;;1.6
1985;1;1;3.2;1.3;11;0;0;0;0.3;0;0;0;0
1985;2;0;0.9;2.2;8.2;0;0;0;0;0;0.2;0;1
1985;3;3.5;0.7;0.4;0.1;0;0;0;0;0;2.1;0;0
1985;4;6.4;0;4.1;0.2;0.9;0;0;0;0;0;0;0
1985;5;3.6;0;14.4;2.8;0;0;0;0;0;3.1;0;0
1985;6;8.9;0;20.7;0;0;0;0;0;0;0;0;0
1985;7;5.3;0;2.8;1.3;0;0;0;0;0;0;0;0
1985;8;0;1.3;0;0;0;0;0;5.1;0;0;0;0.4
1985;9;1.6;0.5;0;1.3;0;0;0;0;0;0;0.1;5.1
1985;10;0.8;1.1;2.7;0.4;13;0;0;0;0;0;0;5.2
1985;11;11.3;0;41.2;1.3;14.8;0;0;0;0;0;0.3;0.2
1985;12;23.5;0;15;0;0;0;0;0;0;0;0;1.9
1985;13;12.3;2.3;0.9;0;0;0;0;0;0;0;0.1;6.2
1985;14;14.1;0.5;5.5;0.2;0.2;0;0;0;0.3;0;0.8;23
1985;15;1.5;0.6;6.5;0;0;0;0;0;0;0;0.3;6.5
