Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1980;1;0;0;0;0.3;0;0;0;0;0;0;0;0
1980;2;0;0;0;0;0;0;0;0;0;0;0;0
1980;3;0;2;0;4.6;0;0;0;0;0;0;0;0
1980;4;0;0.4;0;30.3;0;0;0;0;0;0;0;0
1980;5;0;0;0;0;0;0;0;0;0;0;0;0
1980;6;0;0;0;0;0;0;0;0;0;0;0;0
1980;7;0;0;0;0;0.3;0;0;0;0;0;0;0
1980;8;0;0;0;0;0;0;0;0;0;0;0;0
1980;9;0;0;0;0;0;0;0;0;0;0;0;0
1980;10;0;0;0;0;0;0;0;0;0;0;0;0
1980;11;0;0;0;0;0;0;0;0;0;0;0;0
1980;12;0;0;0;0;0;0;0;0;0;0;0;2.9
1980;13;0;0;0;0;0;0;0;0;0;0;0;0
1980;14;0;0;0;0;0;0;0;0;0;0;0;0
1980;15;0;0;0;0;0;0;0;0;0;0;0;0
1980;16;0;0;0;0;0;0;0;0;0;0;0;0
1980;17;0;0.1;0;0;0;0;0;0;0;0;0;0
1980;18;0;0;3.8;0;0;0;0;0;0;0;0;0
1980;19;0;0;0;0;0;0;0;0;0;0;0;0
1980;20;0.2;0;0.4;0;0;0;0;0;0;0.4;0;0
1980;21;0;0;0;0;0;0;0;0;0;0;0;0
1980;22;0;0;0.3;0;0;0;0;0;0;0;0;0
1980;23;0;0;2.6;0;0;0;0;0;0;0;0;0
1980;24;0;0;0;0;0;0;0;0;0;0;0;0
1980;25;0;0;0;0;0;0;0;0;0;0;0;0
1980;26;0;0;0;0;0;0;0;0;0;0;4.4;0
1980;27;0;0;0;0;0;0;0;0;0;0;0;0
1980;28;0;0;0;0;0;0;0;0;0;0;0;0
1980;29;0;0;0;0;0;0;0;0;0;0;1.2;0
1980;30;0;;0;0;0;0;0;0;0;0;0;0
1980;31;0;;6.6;;0;;0;0;;0;;0
1981;1;0;0;0;0;0;0;0;0;0;0;0;0
1981;2;0;0;0;0;0;0;0;0;0;0;0;0
1981;3;0;0;0;0;0;0;0.1;0;0;0;0;0
1981;4;0;0.3;0;0;0;0;0;0;0;0;0;0
1981;5;0;0;0;0;0;0;0;0;0;0;0;0
1981;6;0;0;18.4;0;0;0;0;0;0;0;0;0
1981;7;0.3;0;1.1;0;0;0;0;0;0;0;0;0
1981;8;0;0;0;0;0;0;0;0;0;0;0;0
