month;pcp_ave;pcp_sd;pcp_skew;wet_dry;wet_wet;pcp_days;station;tmp_max_ave;tmp_max_sd;tmp_min_ave;tmp_min_sd
1;0.04044592;0.258645185;10.78787386;0.039848197;0.173624288;225;chusis;31.9106511;0.474357665;21.55601136;1.228395603
2;0.22506237;1.26031843;8.135501409;0.056133056;0.137214137;187;chusis;32.90343968;0.514058419;22.88814778;0.859391635
3;0.33759962;2.136794607;12.40923042;0.055028463;0.119544592;197;chusis;32.38327233;0.627843141;22.15494214;1.096023403
4;0.2005;1.730603724;19.43661092;0.049019608;0.114705882;176;chusis;31.18770536;0.675574604;20.67810276;1.214555998
5;0.016185958;0.163091767;14.67307575;0.024667932;0.10626186;149;chusis;29.22940641;1.15600778;19.21080234;1.733173646
6;0.003945044;0.063904866;15.8565309;0.009803922;0.090196078;104;chusis;26.95517074;1.252065544;18.00544087;1.235158254
7;0.003017078;0.035499498;17.35307325;0.016129032;0.141366224;168;chusis;25.97411066;1.117574922;17.26421573;1.228004915
8;0.00142315;0.00596486;7.82334633;0.0056926;0.14516129;159;chusis;25.69296074;0.879212795;17.00679954;1.087564002
9;0.002649657;0.032809594;28.02789031;0.011764706;0.17745098;197;chusis;26.83662118;0.877366164;16.96716963;0.813657822
10;0.011356736;0.180050536;24.56492891;0.018026565;0.116698292;147;chusis;27.30873648;0.840293981;17.33285896;0.933939583
11;0.026519608;0.248877647;14.670013;0.024509804;0.116666667;147;chusis;28.17383194;0.664072198;17.74990042;0.859639804
12;0.092855787;0.852353818;14.21897567;0.036053131;0.130929791;186;chusis;30.13762342;0.655817341;19.60808939;1.420401698
1;4.560749526;7.235504519;3.156476998;0.133776091;0.523719165;693;chalaco;23.15634129;0.811233122;14.1868648;0.911623453
2;8.243596674;11.57830836;2.779772552;0.104989605;0.682952183;759;chalaco;23.07617537;0.736877792;14.59228539;0.70546888
3;8.361252372;11.48966995;2.126483494;0.120493359;0.599620493;759;chalaco;24.07816304;0.580490682;14.33285364;0.739475347
4;4.892990196;8.066981588;2.841788188;0.149019608;0.474509804;637;chalaco;24.00838004;0.600182773;14.24376787;0.553225458
5;1.396641366;3.578912109;4.353889952;0.147058824;0.174573055;340;chalaco;24.03841596;0.619196758;14.23615273;0.600330779
6;0.420834151;2.077390684;9.550886406;0.06372549;0.041176471;107;chalaco;23.76590066;0.556922815;14.18009848;0.541080448
7;0.152068311;0.854704811;10.86968436;0.040796964;0.041745731;87;chalaco;24.02453237;0.641111039;13.08952488;0.575619253
8;0.091328273;0.529431005;8.160817839;0.025616698;0.021821632;50;chalaco;24.37992615;0.437000186;13.09160641;0.528486716
9;0.287517174;1.395805328;10.49389757;0.055882353;0.065686275;124;chalaco;24.82051325;0.582970859;13.13248314;0.517390902
10;0.816837607;2.524305681;4.316001727;0.092030361;0.114800759;218;chalaco;24.90210549;0.566223722;13.52034971;0.581784226
11;1.20372549;3.577521859;5.889039828;0.1;0.155882353;261;chalaco;24.90358125;0.611782471;13.23218015;0.807879128
12;2.345626186;4.827414289;3.279745856;0.131878558;0.311195446;468;chalaco;23.83372959;0.61230912;13.73918393;0.872769775
1;4.199743833;7.823227404;3.90164404;0.115749526;0.596774194;752;huamarca;25.04165416;0.725748416;15.94594132;0.848458352
2;8.406465696;13.82026321;3.572104369;0.093555094;0.750519751;813;huamarca;24.80915467;0.690351873;16.54605667;0.648946521
3;8.835958254;13.80445489;2.590116911;0.093927894;0.714421252;852;huamarca;25.5368317;0.578888384;16.52097909;0.669135069
4;5.048764706;9.233803359;4.046930941;0.125490196;0.634313725;776;huamarca;25.18935834;0.596746653;16.10256571;0.564199104
5;1.38272296;3.582209376;5.733882485;0.155597723;0.336812144;520;huamarca;25.15751415;0.589117461;15.17874752;0.580783722
6;0.343660451;1.507665693;12.80805406;0.107843137;0.123529412;238;huamarca;24.6788693;0.486724923;14.40413732;0.541786457
7;0.16544592;0.710062355;10.31856166;0.062618596;0.092979127;164;huamarca;24.85179424;0.61972993;13.98203397;0.614307937
8;0.121404175;0.572973718;7.54388651;0.057874763;0.05313093;117;huamarca;25.48855972;0.421699128;14.10311545;0.507818028
9;0.317006869;1.303947675;7.222857766;0.078431373;0.098039216;180;huamarca;26.21035878;0.532533889;14.31786418;0.455229084
10;1.058518519;3.190866375;5.348120008;0.130929791;0.222011385;372;huamarca;26.3823097;0.577514042;14.49708507;0.563322217
