Fecha;VIRREY;MIRAFLORES;PIURA;MORROPON;HUANCABAMBA;CANCHAQUE;SANTO DOMINGO;HUARMACA
1/01/1972;0;0;0;0;6.7;6.8;0;3.7
2/01/1972;0;0;0;0;0.1;1.4;6.4;0.01
3/01/1972;0;0.4;0;0;2.6;14;18.4;4.1
4/01/1972;0;1.5;2;0;0.9;1.4;4.6;2.4
5/01/1972;0;0;0;0;0.01;1.9;5.6;0.01
6/01/1972;0;0;0;0;0;0;0.8;4.1
7/01/1972;0;0;0;0;2.9;0.5;0.9;0
8/01/1972;0;0;0;0;0.1;0;0.7;0.01
9/01/1972;0;0;0;0;0.4;0.1;2.6;3.1
10/01/1972;0;0.01;0;0;1.7;0.8;3.1;1.1
11/01/1972;0.01;0;0;0;2;0.1;0.6;1.5
12/01/1972;0.01;0;0;0;0;1.5;5.2;16.8
13/01/1972;0;0;0;1;0;17.1;18.6;13.5
14/01/1972;0;0;0;0;4.6;9.1;21.6;6.1
15/01/1972;0;0;0;0;0;0.5;0;0.01
16/01/1972;0;0;0;0;0;0.01;0;0
17/01/1972;0;0;0;0;0;0;0;0
18/01/1972;0;0;0;0;0;0.01;0.5;0.01
19/01/1972;0;0;0;0;0;3.2;0;1.1
20/01/1972;0;0;0;0;4.7;2.5;1.2;7.7
21/01/1972;0.01;0;0;0;1.9;0;1.9;3.5
22/01/1972;0;0;0;0;0;0;6.8;0.01
23/01/1972;0;0;0;0;15.3;4.2;7.8;4.4
24/01/1972;0;0;0;0;0.01;1.6;3.4;2
25/01/1972;0;0;0;0;11;0.2;0;0
26/01/1972;0;0;0;0;0;0.01;0;0
27/01/1972;0;0;0;0;0;0.1;0;0
28/01/1972;0;0;0;0;0;0.9;0;0.01
29/01/1972;0;0;0;0;0;0.2;0;0.01
30/01/1972;0;0;0;0;0;0;0;0
31/01/1972;0;0;0;0;0.2;2.4;0;0
1/02/1972;0;0;0;0;0;2.9;2.6;0
2/02/1972;0;0;0;0;0;0.3;0;0
3/02/1972;0;0;0;0;0;0;0.01;0.01
4/02/1972;0;0;0;0;0;0.6;2.5;1
5/02/1972;0;0;0;0;0;0.4;7.8;0.01
6/02/1972;0.01;0;0;0;0.9;3.9;8.4;5.2
7/02/1972;0;0;0;0;1.3;26.9;14.8;10.5
8/02/1972;0;0.2;0;28;11.3;0.4;55.4;10.4
9/02/1972;1;0;0;0;4.5;18.1;2.4;21.6
10/02/1972;0.4;0;0;0;5.1;0.1;3.6;0.01
11/02/1972;0;0;0;0;0;0.3;2.4;0
12/02/1972;0;0;0;0;0;2;12.4;0
13/02/1972;0;0;0;0;0;4.3;18.6;3.7
14/02/1972;0;0;0;0;0;0.9;2.9;5.2
15/02/1972;0;0;0;0;0;0.3;0;2.2
16/02/1972;0;0;0;0;0;0.01;0;0.01
17/02/1972;0;0;0;0;0;0.6;7.4;0
18/02/1972;0;0;0;43;0.8;12.9;78.5;7.4
19/02/1972;18.3;0;0;0;0;0;0;0.01
20/02/1972;4.7;0;0;0;0;5.4;5.4;0
21/02/1972;0.01;0;0;0;3.3;0.3;1.2;6.3
22/02/1972;0.01;0;0;0;0;0;12.6;3
23/02/1972;0;0;0;0;0;1.2;5.8;0
24/02/1972;0;0;0;0;0;0.01;3.2;0
25/02/1972;0;0;0;0;0.5;0.9;1.1;0
26/02/1972;0.01;0;0;0;0;0;0;0.01
27/02/1972;0.01;0;0;7;0.2;11.9;9.4;3.3
28/02/1972;0.9;0;0;0;0;0;16.4;11.6
29/02/1972;4.3;0;0;17;0.2;0;7.8;13.6
1/03/1972;0;0;0;0;0.4;3.8;10.6;1
2/03/1972;0;0;0;0;0;0.4;1.6;2.5
3/03/1972;0;0.4;0;0;0.2;1.9;16.4;0.01
4/03/1972;0;0;0;0;1;41.5;32.4;26.7
5/03/1972;3.2;0;0;7;27.5;19.2;6.5;39.3
6/03/1972;14.3;0;0;0;5.7;32.4;8.6;5.1
7/03/1972;2.1;0;0;20;2.5;44.9;3.6;27.1
8/03/1972;21;0;0;49;7.3;61.4;94.6;27.4
9/03/1972;65;0;0;20;3.3;19;83.5;16.7
10/03/1972;17;12;2;23;1.9;38.9;46.5;57
11/03/1972;30;4.3;2;0;0;0.7;0;5.7
12/03/1972;39;7.7;0;4;4.4;72.8;1.4;52.2
13/03/1972;110;0.5;0;60;4.1;13.1;56.4;3
14/03/1972;57;7.3;2;0;33;30;98.4;53.9
15/03/1972;20;0.4;1;0;11.2;1.7;9.8;0.01
16/03/1972;6.8;0;7;0;0;10.3;3.4;3
17/03/1972;0;23.3;0;35;15.4;12.5;1.3;7.7
18/03/1972;0.01;22.2;11;4;0.6;1.1;1.4;0
19/03/1972;80.3;66.2;15;62.4;13.8;35.8;0;37.3
20/03/1972;109.2;14.5;49;32;4.5;5;52.8;35.6
21/03/1972;0;0;25;0;4.2;12.2;32.6;15.3
22/03/1972;0;0;0;0;0;4.2;0;6.7
23/03/1972;0;0;0;0;0;32.8;0;0
24/03/1972;0;0;0;0;0;0;0;9.2
25/03/1972;0;0;25;0;0;32.8;8.4;2.5
26/03/1972;10.7;8.7;0;0;0;18.6;6.4;22
27/03/1972;0;0;10;0;0;12.7;9.4;6.6
28/03/1972;17.9;3.3;0;0;7.6;38.9;26.4;38
29/03/1972;0;0;5;35;1.8;5.1;14.3;10.5
30/03/1972;0;0;0;0;0.01;0;0;0
31/03/1972;0;0;0;0;0.01;0;10.6;0
1/04/1972;0;0;0;0;0;0;0;0
2/04/1972;0;0;0;0;0;0;8.2;0.01
3/04/1972;0;0;0;0;0;0.6;3.9;0
4/04/1972;0;0;0;0;0;0.9;0.6;0
5/04/1972;0;0;0;0;0;6.7;0;0
6/04/1972;0;0;0;0;0;1.2;1.6;0.01
7/04/1972;0.01;0;0;0;0;1.4;2.8;0
8/04/1972;0.01;0;0;0;0;0.9;4.2;0
9/04/1972;3.5;8.4;0;0;13.4;41.8;21.4;19.3
10/04/1972;0;0.2;0;0;3.5;16;0;23.5
11/04/1972;0.01;0;0;0;7.6;44.9;0;21.2
12/04/1972;2.3;0;0;0;14.2;62.8;23.8;28.3
13/04/1972;2;0;0;4;14;54.6;36.4;54.2
14/04/1972;12.4;0;0;0;0;0;0;0.01
15/04/1972;0.01;0;0;0;0;0;0;0.01
16/04/1972;0;0;0;0;0;2.6;0;6.5
17/04/1972;0;0;0;0;0;3;2.4;5.5
18/04/1972;0.01;0;0;0;0;0.4;1.2;0.01
19/04/1972;0.01;0;0;0;12.2;25.9;4.9;14.3
20/04/1972;0;0;0;0;2.8;3.6;10;0.01
21/04/1972;0;0;0;0;0;0;0;0
22/04/1972;0;0;0;0;0;0;0;0
23/04/1972;0;0;0;0;0;0;0.01;0
24/04/1972;0;0;0;0;0;0;0;0
25/04/1972;0;0;0;0;0.01;5.7;1.2;1.5
26/04/1972;0;0;0;0;0.01;2.4;0;6.5
27/04/1972;0;0;0;0;0.9;0.8;3.9;13.2
28/04/1972;0;0;0;0;4.5;0.8;0.01;15.1
29/04/1972;0;0;0;0;0;10.5;9.5;4.4
30/04/1972;0;0;0;0;0;0;0;0
1/05/1972;0;0;0;0;0;0.3;0;0
2/05/1972;0;0;0;0;0;0.8;0;0
3/05/1972;0;0;0;0;0;1.4;0;0
4/05/1972;0;0;0;0;0;0;0;2.2
5/05/1972;0;0;0;0;0;1.3;0;4
6/05/1972;0;0;0;0;0;0.4;0;0.01
7/05/1972;0;0;0;0;0.01;0.4;3.1;0
8/05/1972;0;0;0;0;0;0.8;2.5;0
9/05/1972;0;0;0;0;1.6;2.5;1.9;8.2
10/05/1972;0;0;0;0;3.2;0.9;9.4;7.1
11/05/1972;0;0;0;0;0;0;0;0
12/05/1972;0;0;0;0;0.3;0.4;0;0
13/05/1972;0;0.1;0;0;0;0.2;0.01;0
14/05/1972;0;0;0;0;0.5;0.1;0;0
15/05/1972;0;0;0;0;0;0.6;0.01;0.01
16/05/1972;0;0;0;0;0;1.2;0;5
17/05/1972;0;0;0;0;0;6.6;2.4;10.6
18/05/1972;0;0;0;0;0.9;2.4;0;4.4
19/05/1972;0;0;0;0;0;3;1.3;2.7
20/05/1972;0.01;0;0;0.2;0;4.5;2.1;0.01
21/05/1972;0.01;0.4;0;0.1;2.7;2.4;3.7;4.5
22/05/1972;0;0.01;0;9.7;7.2;7.6;3.4;9.9
23/05/1972;0;0;0;1.4;11;0.8;28.2;10
24/05/1972;0;0;0;0;0;2.1;0;5.2
25/05/1972;0;0;0;0;0;0.4;0.8;10.3
26/05/1972;0;0.2;0;0;0;0.1;0;2.6
27/05/1972;0;0;0;0;0;0;0;0
28/05/1972;0;0;0;0;0;2;0;0
29/05/1972;0;0;0;0;0;0.9;0.01;0
30/05/1972;0;0;0;0;0;3;0;0
31/05/1972;0;0;0;0;0;1;0;0
1/06/1972;0;0;0;0;0;0;0;0
2/06/1972;0;0;0;0;0;0;0;0
3/06/1972;0;0;0;0;0;0.3;0;0
4/06/1972;0;0;0;0;0;0.3;0;0
5/06/1972;0;0;0;0;0.3;1.6;0;3.1
