 SWATPLUS_CUENCAPIURA      SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982       1       1  cha01                0.6072E+04     0.6385E+05     0.2496E+05     0.1119E+05     0.2464E+04     0.1592E-01     0.1072E+00     0.1588E-01     0.1826E+03     0.5348E+00     0.1520E+00     0.2768E-01     0.3801E-01     0.2174E+05     0.8014E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.4381E-01     0.6967E+00     0.6388E+01     0.9215E+00     0.1080E+05     0.3052E+02     0.4238E+02     0.1764E+01     0.4458E+00     0.5576E+07     0.1275E+07     0.2255E-02     0.2255E-02     0.2255E-02     0.2255E-02     0.2255E-02     0.0000E+00     0.1374E+05     0.4240E-01     0.6949E+00     0.2440E+01     0.3647E+00     0.9343E+04     0.3475E+02     0.2668E+01     0.9561E+00     0.1884E+01     0.3921E+06     0.7352E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1500E+05     0.1936E+02
    67     3     8  1982       2       2  cha02                0.2191E+04     0.2304E+05     0.8507E+04     0.3920E+04     0.8283E+03     0.1097E-01     0.1285E+00     0.1856E-01     0.5685E+02     0.3499E+00     0.7570E+00     0.3225E-01     0.5830E-02     0.9830E+05     0.1564E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1452E-01     0.6967E+00     0.1202E+02     0.1685E+01     0.3643E+04     0.4266E+00     0.3762E+03     0.0000E+00     0.0000E+00     0.4596E+08     0.5535E+07     0.3173E-02     0.3173E-02     0.3173E-02     0.3173E-02     0.3173E-02     0.0000E+00     0.2789E+06     0.1415E-01     0.6967E+00     0.6387E+01     0.9204E+00     0.3238E+04     0.2958E+02     0.3964E+02     0.1763E+01     0.4396E+00     0.5575E+07     0.1298E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3013E+06     0.1936E+02
    67     3     8  1982       3       3  cha03                0.6836E+04     0.7188E+05     0.2425E+05     0.1182E+05     0.2133E+04     0.8508E-08     0.1728E-05     0.5409E-05     0.1195E+03     0.4649E-03     0.1760E-03     0.2532E-06     0.2397E-04     0.3546E+00     0.1994E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.1739E-01     0.1662E-05     0.8694E-03     0.2608E-02     0.3578E+04     0.8694E-03     0.1651E+02     0.0000E+00     0.0000E+00     0.1237E+04     0.9220E+07     0.1662E-02     0.1662E-02     0.1662E-02     0.1662E-02     0.1662E-02     0.0000E+00     0.1705E+06     0.1623E-01     0.1048E-05     0.1354E-03     0.4214E-03     0.2732E+04     0.6911E+00     0.9961E-01     0.1111E-03     0.2826E-02     0.4445E+02     0.7959E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2097E+06     0.1936E+02
    67     3     8  1982       4       4  cha04                0.1510E+05     0.1588E+06     0.5081E+05     0.2493E+05     0.5876E+04     0.1249E-07     0.5180E-05     0.1623E-04     0.3408E+03     0.2269E-02     0.6880E-03     0.1286E-05     0.9305E-04     0.9982E+00     0.5334E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2834E-01     0.1378E-05     0.1348E-02     0.4043E-02     0.6611E+04     0.1348E-02     0.2201E+02     0.0000E+00     0.0000E+00     0.1110E+04     0.1415E+08     0.1378E-02     0.1378E-02     0.1378E-02     0.1378E-02     0.1378E-02     0.0000E+00     0.4386E+05     0.2484E-01     0.1203E-05     0.2491E-03     0.7724E-03     0.4110E+04     0.9343E+00     0.1643E+00     0.2269E-03     0.6228E-02     0.5118E+02     0.1200E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6393E+05     0.1936E+02
    67     3     8  1982       5       5  cha05                0.1215E+06     0.1278E+07     0.5801E+06     0.2297E+06     0.2201E+06     0.3945E+00     0.7921E+00     0.1287E+00     0.5434E+04     0.1469E+02     0.1192E+02     0.2137E+00     0.3788E+00     0.7162E+06     0.1106E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3973E+00     0.3387E+01     0.1452E+02     0.2237E+01     0.2697E+05     0.9470E+02     0.4516E+03     0.2492E+01     0.2865E+01     0.3407E+08     0.6365E+07     0.4394E-02     0.4394E-02     0.4394E-02     0.4394E-02     0.4394E-02     0.0000E+00     0.1633E+03     0.3211E+00     0.2047E+01     0.5335E+01     0.8463E+00     0.9294E+04     0.6796E+02     0.5888E+02     0.1480E+01     0.2044E+01     0.4032E+07     0.5227E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2534E+03     0.1936E+02
    67     3     8  1982       6       6  cha06                0.7227E+05     0.7600E+06     0.3450E+06     0.1366E+06     0.1247E+06     0.1750E+00     0.8829E-01     0.1557E-01     0.3272E+04     0.5159E+01     0.8731E+00     0.2339E-01     0.6668E-01     0.4163E+05     0.3548E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3554E+00     0.1315E+01     0.2398E+01     0.3976E+00     0.2136E+05     0.4128E+02     0.4100E+02     0.5224E+00     0.1165E+01     0.3108E+07     0.1132E+07     0.3774E-02     0.3774E-02     0.3774E-02     0.3774E-02     0.3774E-02     0.0000E+00     0.1998E+03     0.3071E+00     0.8974E+00     0.9881E+00     0.1687E+00     0.1029E+05     0.2666E+02     0.4663E+01     0.3033E+00     0.7921E+00     0.3247E+06     0.8079E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2688E+03     0.1936E+02
    67     3     8  1982       7       7  cha07                0.4248E+04     0.4467E+05     0.2028E+05     0.8030E+04     0.4321E+05     0.7287E-01     0.5505E-01     0.9443E-02     0.1113E+04     0.2246E+01     0.9145E+00     0.1315E-01     0.3267E-01     0.2738E+05     0.6018E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3468E+00     0.1440E+01     0.2967E+01     0.4820E+00     0.1216E+05     0.4505E+02     0.3581E+02     0.8163E+00     0.9972E+00     0.3061E+07     0.6740E+04     0.6474E-03     0.6474E-03     0.6474E-03     0.6474E-03     0.6474E-03     0.0000E+00     0.2106E+03     0.3286E+00     0.1263E+01     0.1863E+01     0.3163E+00     0.8816E+04     0.4031E+02     0.1851E+02     0.5223E+00     0.1163E+01     0.7926E+06     0.7739E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2360E+03     0.1936E+02
    67     3     8  1982       8       8  cha08                0.7462E+05     0.7847E+06     0.3562E+06     0.1411E+06     0.1547E+06     0.2415E+00     0.1311E+00     0.2298E-01     0.4226E+04     0.7803E+01     0.9697E+00     0.3608E-01     0.1044E+00     0.5478E+05     0.3692E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3983E+00     0.1798E+01     0.3132E+01     0.5132E+00     0.2105E+05     0.5955E+02     0.3911E+02     0.7470E+00     0.1265E+01     0.3801E+07     0.5785E+06     0.4768E-02     0.4768E-02     0.4768E-02     0.4768E-02     0.4768E-02     0.0000E+00     0.1584E+03     0.3349E+00     0.1108E+01     0.1236E+01     0.2092E+00     0.9095E+04     0.3204E+02     0.5197E+01     0.3608E+00     0.8573E+00     0.4367E+06     0.6569E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2269E+03     0.1936E+02
    67     3     8  1982       9       9  cha09                0.1965E+06     0.2066E+07     0.8099E+06     0.3714E+06     0.3100E+06     0.7249E+00     0.2766E+00     0.4797E-01     0.1080E+05     0.1766E+02     0.1862E+01     0.7844E-01     0.2416E+00     0.8970E+05     0.7060E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3634E+00     0.3194E+01     0.3707E+01     0.5949E+00     0.5066E+05     0.7603E+02     0.6477E+02     0.1145E+01     0.1227E+01     0.3250E+07     0.1406E+08     0.3155E-02     0.3155E-02     0.3155E-02     0.3155E-02     0.3155E-02     0.0000E+00     0.1648E+03     0.2412E+00     0.1036E+01     0.8966E+00     0.1472E+00     0.1265E+05     0.2190E+02     0.3959E+01     0.2480E+00     0.6453E+00     0.2299E+06     0.2480E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3918E+03     0.1936E+02
