 SWATPLUS_CUENCAPIURA      SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982       1       1  cha01                0.3238E+01     0.1207E+05     0.4719E+04     0.2115E+04     0.2464E+04     0.1592E-01     0.1072E+00     0.1588E-01     0.1826E+03     0.5348E+00     0.1520E+00     0.2768E-01     0.3801E-01     0.2174E+05     0.8014E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.8281E-02     0.1317E+00     0.1208E+01     0.1742E+00     0.2042E+04     0.5769E+01     0.8012E+01     0.3334E+00     0.8428E-01     0.1054E+07     0.2410E+06     0.4263E-03     0.4263E-03     0.4263E-03     0.4263E-03     0.4263E-03     0.0000E+00     0.1138E+03     0.8015E-02     0.1314E+00     0.4612E+00     0.6894E-01     0.1766E+04     0.6570E+01     0.5044E+00     0.1807E+00     0.3561E+00     0.7413E+05     0.1390E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1202E+03     0.1936E+02
    67     3     8  1982       2       2  cha02                0.1169E+01     0.4356E+04     0.1608E+04     0.7411E+03     0.8283E+03     0.1097E-01     0.1285E+00     0.1856E-01     0.5685E+02     0.3499E+00     0.7570E+00     0.3225E-01     0.5830E-02     0.9830E+05     0.1564E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.2746E-02     0.1317E+00     0.2273E+01     0.3185E+00     0.6887E+03     0.8065E-01     0.7112E+02     0.0000E+00     0.0000E+00     0.8688E+07     0.1046E+07     0.5998E-03     0.5998E-03     0.5998E-03     0.5998E-03     0.5998E-03     0.0000E+00     0.7658E+03     0.2675E-02     0.1317E+00     0.1207E+01     0.1740E+00     0.6121E+03     0.5592E+01     0.7494E+01     0.3334E+00     0.8310E-01     0.1054E+07     0.2453E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8059E+03     0.1936E+02
    67     3     8  1982       3       3  cha03                0.3646E+01     0.1359E+05     0.4584E+04     0.2234E+04     0.2133E+04     0.8508E-08     0.1728E-05     0.5409E-05     0.1195E+03     0.4649E-03     0.1760E-03     0.2532E-06     0.2397E-04     0.3546E+00     0.1994E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.3288E-02     0.3142E-06     0.1643E-03     0.4930E-03     0.6763E+03     0.1643E-03     0.3121E+01     0.0000E+00     0.0000E+00     0.2338E+03     0.1743E+07     0.3142E-03     0.3142E-03     0.3142E-03     0.3142E-03     0.3142E-03     0.0000E+00     0.5606E+03     0.3067E-02     0.1982E-06     0.2559E-04     0.7966E-04     0.5164E+03     0.1307E+00     0.1883E-01     0.2101E-04     0.5342E-03     0.8404E+01     0.1505E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6431E+03     0.1936E+02
    67     3     8  1982       4       4  cha04                0.8055E+01     0.3002E+05     0.9605E+04     0.4712E+04     0.5876E+04     0.1249E-07     0.5180E-05     0.1623E-04     0.3408E+03     0.2269E-02     0.6880E-03     0.1286E-05     0.9305E-04     0.9982E+00     0.5334E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.5357E-02     0.2606E-06     0.2548E-03     0.7644E-03     0.1250E+04     0.2548E-03     0.4161E+01     0.0000E+00     0.0000E+00     0.2098E+03     0.2675E+07     0.2606E-03     0.2606E-03     0.2606E-03     0.2606E-03     0.2606E-03     0.0000E+00     0.2350E+03     0.4696E-02     0.2274E-06     0.4709E-04     0.1460E-03     0.7770E+03     0.1766E+00     0.3106E-01     0.4289E-04     0.1177E-02     0.9675E+01     0.2268E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3002E+03     0.1936E+02
    67     3     8  1982       5       5  cha05                0.6481E+02     0.2416E+06     0.1097E+06     0.4342E+05     0.2201E+06     0.3945E+00     0.7921E+00     0.1287E+00     0.5434E+04     0.1469E+02     0.1192E+02     0.2137E+00     0.3788E+00     0.7162E+06     0.1106E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.7511E-01     0.6403E+00     0.2745E+01     0.4229E+00     0.5098E+04     0.1790E+02     0.8537E+02     0.4710E+00     0.5416E+00     0.6440E+07     0.1203E+07     0.8307E-03     0.8307E-03     0.8307E-03     0.8307E-03     0.8307E-03     0.0000E+00     0.1219E+02     0.6071E-01     0.3870E+00     0.1008E+01     0.1600E+00     0.1757E+04     0.1285E+02     0.1113E+02     0.2798E+00     0.3864E+00     0.7623E+06     0.9881E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1532E+02     0.1936E+02
    67     3     8  1982       6       6  cha06                0.3855E+02     0.1437E+06     0.6522E+05     0.2583E+05     0.1247E+06     0.1750E+00     0.8829E-01     0.1557E-01     0.3272E+04     0.5159E+01     0.8731E+00     0.2339E-01     0.6668E-01     0.4163E+05     0.3548E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.6718E-01     0.2486E+00     0.4534E+00     0.7517E-01     0.4038E+04     0.7803E+01     0.7750E+01     0.9876E-01     0.2202E+00     0.5875E+06     0.2140E+06     0.7134E-03     0.7134E-03     0.7134E-03     0.7134E-03     0.7134E-03     0.0000E+00     0.1336E+02     0.5805E-01     0.1697E+00     0.1868E+00     0.3190E-01     0.1945E+04     0.5039E+01     0.8816E+00     0.5734E-01     0.1497E+00     0.6137E+05     0.1527E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1555E+02     0.1936E+02
    67     3     8  1982       7       7  cha07                0.2266E+01     0.8445E+04     0.3834E+04     0.1518E+04     0.4321E+05     0.7287E-01     0.5505E-01     0.9443E-02     0.1113E+04     0.2246E+01     0.9145E+00     0.1315E-01     0.3267E-01     0.2738E+05     0.6018E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.6557E-01     0.2723E+00     0.5609E+00     0.9113E-01     0.2300E+04     0.8516E+01     0.6769E+01     0.1543E+00     0.1885E+00     0.5786E+06     0.1274E+04     0.1224E-03     0.1224E-03     0.1224E-03     0.1224E-03     0.1224E-03     0.0000E+00     0.1374E+02     0.6212E-01     0.2388E+00     0.3523E+00     0.5980E-01     0.1667E+04     0.7621E+01     0.3498E+01     0.9875E-01     0.2198E+00     0.1498E+06     0.1463E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1460E+02     0.1936E+02
    67     3     8  1982       8       8  cha08                0.3980E+02     0.1483E+06     0.6734E+05     0.2667E+05     0.1547E+06     0.2415E+00     0.1311E+00     0.2298E-01     0.4226E+04     0.7803E+01     0.9697E+00     0.3608E-01     0.1044E+00     0.5478E+05     0.3692E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.7529E-01     0.3399E+00     0.5921E+00     0.9702E-01     0.3979E+04     0.1126E+02     0.7394E+01     0.1412E+00     0.2392E+00     0.7186E+06     0.1094E+06     0.9014E-03     0.9014E-03     0.9014E-03     0.9014E-03     0.9014E-03     0.0000E+00     0.1185E+02     0.6331E-01     0.2095E+00     0.2337E+00     0.3955E-01     0.1719E+04     0.6058E+01     0.9825E+00     0.6821E-01     0.1621E+00     0.8255E+05     0.1242E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1430E+02     0.1936E+02
    67     3     8  1982       9       9  cha09                0.1048E+03     0.3906E+06     0.1531E+06     0.7021E+05     0.3100E+06     0.7249E+00     0.2766E+00     0.4797E-01     0.1080E+05     0.1766E+02     0.1862E+01     0.7844E-01     0.2416E+00     0.8970E+05     0.7060E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1936E+02     0.6870E-01     0.6038E+00     0.7008E+00     0.1125E+00     0.9576E+04     0.1437E+02     0.1224E+02     0.2164E+00     0.2319E+00     0.6144E+06     0.2657E+07     0.5964E-03     0.5964E-03     0.5964E-03     0.5964E-03     0.5964E-03     0.0000E+00     0.1126E+02     0.4559E-01     0.1959E+00     0.1695E+00     0.2783E-01     0.2391E+04     0.4140E+01     0.7484E+00     0.4688E-01     0.1220E+00     0.4346E+05     0.4688E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1781E+02     0.1936E+02
