 SWATPLUS_CUENCAPIURA      SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    67     3     8  1982       1       1  cha01                0.8281E-02     0.0000E+00     0.8015E-02     0.8281E-02     0.6967E+00     0.6967E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1771E+02     0.7454E+00     0.1898E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3221E+01     0.0000E+00     0.3118E+01     0.1951E-02     0.2638E+02     0.9909E-01     0.6564E+00     0.7960E+02
    67     3     8  1982       2       2  cha02                0.2746E-02     0.0000E+00     0.2675E-02     0.2746E-02     0.6967E+00     0.6967E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7977E+01     0.4380E+00     0.2020E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4036E+01     0.0000E+00     0.3931E+01     0.1413E-02     0.9160E+01     0.8606E-01     0.3857E+00     0.1514E+02
    67     3     8  1982       3       3  cha03                0.3288E-02     0.0000E+00     0.3067E-02     0.3288E-02     0.1662E-05     0.1662E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1040E+02     0.5228E+00     0.2016E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3103E+01     0.0000E+00     0.2895E+01     0.1162E-07     0.7708E+01     0.1951E-02     0.4604E+00     0.2657E+02
    67     3     8  1982       4       4  cha04                0.5357E-02     0.0000E+00     0.4696E-02     0.5357E-02     0.1378E-05     0.1378E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1398E+02     0.6366E+00     0.8421E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E+01     0.0000E+00     0.2710E+01     0.3494E-07     0.1160E+02     0.2638E-02     0.5606E+00     0.3212E+02
    67     3     8  1982       5       5  cha05                0.7511E-01     0.0000E+00     0.6071E-01     0.7511E-01     0.3387E+01     0.3387E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1298E+03     0.2812E+01     0.1590E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1057E+01     0.0000E+00     0.8543E+00     0.5311E-01     0.2625E+02     0.1941E+00     0.2476E+01     0.4938E+03
    67     3     8  1982       6       6  cha06                0.6718E-01     0.0000E+00     0.5805E-01     0.6718E-01     0.1315E+01     0.1315E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1199E+03     0.2668E+01     0.2740E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1078E+01     0.0000E+00     0.9317E+00     0.1269E-01     0.2904E+02     0.7569E-01     0.2349E+01     0.5485E+03
    67     3     8  1982       7       7  cha07                0.6557E-01     0.0000E+00     0.6212E-01     0.6557E-01     0.1440E+01     0.1440E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1184E+03     0.2645E+01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1075E+01     0.0000E+00     0.1018E+01     0.5741E-02     0.2488E+02     0.1146E+00     0.2329E+01     0.3226E+02
    67     3     8  1982       8       8  cha08                0.7529E-01     0.0000E+00     0.6331E-01     0.7529E-01     0.1798E+01     0.1798E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1175E+03     0.2632E+01     0.1820E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1250E+01     0.0000E+00     0.1051E+01     0.1651E-01     0.2567E+02     0.9100E-01     0.2318E+01     0.4284E+03
    67     3     8  1982       9       9  cha09                0.6870E-01     0.0000E+00     0.4559E-01     0.6870E-01     0.3194E+01     0.3194E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8887E+02     0.2185E+01     0.2690E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1817E+01     0.0000E+00     0.1206E+01     0.4048E-01     0.3570E+02     0.6221E-01     0.1924E+01     0.2883E+03
