 SWATPLUS_CUENCAPIURA     
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982       1    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       2    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       3    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       4    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       5    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       6    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       7    past                        0.000       0.000       0.000       0.000
    67     3     8  1982       8    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       9    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      10    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      11    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      12    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      13    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      14    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      15    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      16    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      17    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      18    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      19    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      20    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      21    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      22    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      23    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      24    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      25    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      26    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      27    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      28    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      29    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      30    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      31    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      32    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      33    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      34    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      35    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      36    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      37    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      38    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      39    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      40    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      41    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      42    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      43    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      44    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      45    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      46    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      47    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      48    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      49    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      50    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      51    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      52    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      53    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      54    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      55    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      56    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      57    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      58    rngb                        0.000       0.000       0.000       0.000
    67     3     8  1982      59    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      60    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      61    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      62    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      63    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      64    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      65    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      66    frse                        0.000       0.000       0.000       0.000
    67     3     8  1982      67    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      68    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      69    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      70    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      71    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      72    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      73    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      74    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      75    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      76    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      77    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      78    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      79    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      80    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      81    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      82    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      83    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      84    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      85    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      86    past                        0.000       0.000       0.000       0.000
