 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg             mm             mm             mm
   366    12    31  2004       1      10  aqu10                     0.000          3.210        339.437         38.574          1.929         26.428          3.238          0.000        183.000          0.000          0.024          0.000          0.000          0.018          0.000          0.000          0.000
   366    12    31  2004       2       1  aqu_deep01                0.000         19.905       2402.845          1.929          0.000          0.000          0.000          0.000        183.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2005       1      10  aqu10                    46.423          2.991        350.237         86.090          4.305         25.850          3.013          0.000        182.500          0.000          0.080          0.000          0.402          0.037         46.423          0.000          0.000
   365    12    31  2005       2       1  aqu_deep01                0.000         19.792       2406.252          4.305          0.000          0.000          0.000          0.000        182.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2006       1      10  aqu10                    78.497          3.008        349.293        111.298          5.565         28.023          4.350          0.000        182.500          0.000          2.597          0.000          0.885          0.064         78.497          0.000          0.000
   365    12    31  2006       2       1  aqu_deep01                0.000         19.603       2411.896          5.565          0.000          0.000          0.000          0.000        182.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2007       1      10  aqu10                    73.850          2.989        350.252        105.649          5.282         27.874          5.233          0.000        182.500          0.000          1.902          0.000          1.069          0.076         73.850          0.000          0.000
   365    12    31  2007       2       1  aqu_deep01                0.000         19.416       2417.519          5.282          0.000          0.000          0.000          0.000        182.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2008       1      10  aqu10                   102.631          2.967        351.280        146.029          7.301         26.636          5.652          0.000        183.000          0.000          2.353          0.000          1.637          0.116        102.631          0.000          0.000
   366    12    31  2008       2       1  aqu_deep01                0.000         19.225       2423.256          7.301          0.000          0.000          0.000          0.000        183.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2009       1      10  aqu10                   179.974          2.880        355.398        228.987         11.449         26.059          6.448          0.000        182.500          0.000          4.589          0.000          3.331          0.209        179.974          0.000          0.000
   365    12    31  2009       2       1  aqu_deep01                0.000         18.924       2432.277         11.449          0.000          0.000          0.000          0.000        182.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2010       1      10  aqu10                   250.321          2.822        358.086        269.734         13.487         27.340          6.808          0.000        182.500          0.000          4.748          0.000          4.713          0.255        250.321          0.000          0.000
   365    12    31  2010       2       1  aqu_deep01                0.000         18.394       2448.173         13.487          0.000          0.000          0.000          0.000        182.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2011       1      10  aqu10                    50.684          3.098        344.883         66.429          3.321         29.013          6.427          0.000        182.500          0.000          0.645          0.000          0.940          0.062         50.684          0.000          0.000
   365    12    31  2011       2       1  aqu_deep01                0.000         18.206       2453.805          3.321          0.000          0.000          0.000          0.000        182.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2012       1      10  aqu10                    22.230          3.036        348.059         70.135          3.507         27.003          6.188          0.000        183.000          0.000          0.061          0.000          0.390          0.063         22.230          0.000          0.000
   366    12    31  2012       2       1  aqu_deep01                0.000         18.118       2456.447          3.507          0.000          0.000          0.000          0.000        183.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
