 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg             mm             mm             mm
   366    12    31  2004         1     1  lilj_1sub                 0.000         23.115       2742.282         40.503          1.929         26.428          3.238          0.000        366.000          0.000          0.024          0.000          0.000          0.018          0.000          0.000          0.000
   365    12    31  2005         1     1  lilj_1sub                46.423         22.783       2756.488         90.395          4.305         25.850          3.013          0.000        365.000          0.000          0.080          0.000          0.402          0.037         46.423          0.000          0.000
   365    12    31  2006         1     1  lilj_1sub                78.497         22.611       2761.189        116.863          5.565         28.023          4.350          0.000        365.000          0.000          2.597          0.000          0.885          0.064         78.497          0.000          0.000
   365    12    31  2007         1     1  lilj_1sub                73.850         22.405       2767.771        110.932          5.282         27.874          5.233          0.000        365.000          0.000          1.902          0.000          1.069          0.076         73.850          0.000          0.000
   366    12    31  2008         1     1  lilj_1sub               102.631         22.192       2774.536        153.330          7.301         26.636          5.652          0.000        366.000          0.000          2.353          0.000          1.637          0.116        102.631          0.000          0.000
   365    12    31  2009         1     1  lilj_1sub               179.974         21.804       2787.675        240.436         11.449         26.059          6.448          0.000        365.000          0.000          4.589          0.000          3.331          0.209        179.974          0.000          0.000
   365    12    31  2010         1     1  lilj_1sub               250.321         21.216       2806.259        283.221         13.487         27.340          6.808          0.000        365.000          0.000          4.748          0.000          4.713          0.255        250.321          0.000          0.000
   365    12    31  2011         1     1  lilj_1sub                50.684         21.304       2798.688         69.751          3.321         29.013          6.427          0.000        365.000          0.000          0.645          0.000          0.940          0.062         50.684          0.000          0.000
   366    12    31  2012         1     1  lilj_1sub                22.230         21.154       2804.506         73.641          3.507         27.003          6.188          0.000        366.000          0.000          0.061          0.000          0.390          0.063         22.230          0.000          0.000
