 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   366    12    31  2004       1       1  lilj_1sub              0.025       0.018       0.003       0.030       0.000       0.118       0.000       0.000       0.000       0.306       0.000       0.000
   365    12    31  2005       1       1  lilj_1sub              0.037       0.020       0.003       0.036       0.000       0.346       0.000       0.000       0.000       0.631       0.000       0.000
   365    12    31  2006       1       1  lilj_1sub              0.035       0.016       0.003       0.082       0.000       0.182       0.000       0.000       0.000       0.883       0.000       0.000
   365    12    31  2007       1       1  lilj_1sub              0.031       0.013       0.003       0.038       0.000       0.108       0.000       0.000       0.000       0.875       0.000       0.000
   366    12    31  2008       1       1  lilj_1sub              0.035       0.015       0.003       0.069       0.000       0.263       0.000       0.000       0.000       1.145       0.000       0.000
   365    12    31  2009       1       1  lilj_1sub              0.047       0.017       0.003       0.039       0.000       0.565       0.000       0.000       0.000       1.651       0.000       0.000
   365    12    31  2010       1       1  lilj_1sub              0.039       0.013       0.003       0.161       0.000       0.415       0.000       0.000       0.000       1.981       0.000       0.000
   365    12    31  2011       1       1  lilj_1sub              0.029       0.011       0.002       0.015       0.000       0.078       0.000       0.000       0.000       0.518       0.000       0.000
   366    12    31  2012       1       1  lilj_1sub              0.031       0.012       0.002       0.026       0.000       0.114       0.000       0.000       0.000       0.582       0.000       0.000
