 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   366    12    31  2004       1       1  lilj_1sub              0.000       0.000      -1.167       0.151      38.275       7.655       1.871       0.006       6.344       1.839       1.065      38.662      10.214       0.000       0.000      80.179      18.390       0.000       0.000
   365    12    31  2005       1       1  lilj_1sub              0.000       0.000      -1.031       0.258      39.536       7.907       5.317       0.103       7.465       2.097       1.252      40.880      10.820       0.000       0.000      93.074      17.869       0.000       0.000
   365    12    31  2006       1       1  lilj_1sub              0.000       0.000      -0.751       0.434      37.016       7.403      17.203       0.457       7.316       2.613       1.219      48.892      12.748       0.000       0.000      93.315      17.212       0.000       0.000
   365    12    31  2007       1       1  lilj_1sub              0.000       0.000      -0.306       0.684      40.332       8.066      16.741       0.349       7.429       3.368       1.226      55.622      14.815       0.000       0.000     101.326      18.977       0.000       0.000
   366    12    31  2008       1       1  lilj_1sub              0.000       0.000       0.450       1.004      38.275       7.655      17.412       0.825       8.261       4.415       1.346      68.304      17.619       0.000       0.000     103.818      17.967       0.000       0.000
   365    12    31  2009       1       1  lilj_1sub              0.000       0.000       1.151       1.323      39.536       7.907      19.173       3.302       9.763       5.494       1.557      76.843      18.629       0.000       0.000      91.385      16.374       0.000       0.000
   365    12    31  2010       1       1  lilj_1sub              0.000       0.000       1.455       1.507      37.016       7.403      22.103       6.648       9.700       6.409       1.508      82.002      19.360       0.000       0.000      89.318      17.803       0.000       0.000
   365    12    31  2011       1       1  lilj_1sub              0.000       0.000       2.269       1.715      40.332       8.066      11.657       0.071       7.810       7.538       1.182      90.418      18.997       0.000       0.000     102.927      15.163       0.000       0.000
   366    12    31  2012       1       1  lilj_1sub              0.000       0.000       2.260       1.806      38.275       7.655      12.130       0.013       9.085       8.961       1.344      98.928      18.782       0.000       0.000     121.273      17.789       0.000       0.000
