 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2004       1       1  lilj_1sub              2.662   46264.469    1084.665    3394.520      18.637      57.822       6.647      44.850      72.329       8.579       0.219       0.237       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   365    12    31  2005       1       1  lilj_1sub              2.740   54290.438    1567.256    2895.544      18.751      40.452      18.837      52.174      80.001       4.819       0.255       0.802       0.000      24.364      13.700      19.032      16.020       0.000       0.000       0.472       0.000       0.000       0.000       0.000
   365    12    31  2006       1       1  lilj_1sub              2.724   61873.457    1367.829    3301.826      18.607      51.185      13.165      48.263      74.864       3.174       0.256      25.967       0.000      25.467      13.681      19.574      17.549       0.000       0.000       0.490       0.000       0.000       0.000       0.000
   365    12    31  2007       1       1  lilj_1sub              2.702   69426.906    1807.062    3893.074      19.038      44.698      11.972      44.961      71.016       2.225       0.278      19.018       0.000      25.429      13.768      19.599      17.343       0.000       0.000       0.482       0.000       0.000       0.000       0.000
   366    12    31  2008       1       1  lilj_1sub              2.750   72809.031    1489.867    5265.331      18.313      36.203      18.813      55.294      69.819       0.937       0.284      23.529       0.000      24.405      13.240      18.822      17.835       0.000       0.000       0.469       0.000       0.000       0.000       0.000
   365    12    31  2009       1       1  lilj_1sub              2.768   74282.125    1230.747    5959.563      18.749       7.900      31.779      47.636      67.817       0.932       0.250      45.893       0.000      24.379      13.823      19.101      16.659       0.000       0.000       0.475       0.000       0.000       0.000       0.000
   365    12    31  2010       1       1  lilj_1sub              2.749   73781.828    1323.910    6524.391      18.574      24.453      53.015      49.770      66.270       1.454       0.245      47.482       0.000      24.488      12.892      18.690      17.712       0.000       0.000       0.456       0.000       0.000       0.000       0.000
   365    12    31  2011       1       1  lilj_1sub              2.725   74355.180     918.791    6041.468      18.785      62.990      13.348      38.951      48.046       0.943       0.282       6.454       0.000      25.812      13.578      19.695      18.155       0.000       0.000       0.486       0.000       0.000       0.000       0.000
   366    12    31  2012       1       1  lilj_1sub              2.773   75976.492    1578.751    5923.432      19.484      35.920      15.447      39.651      50.287       0.540       0.331       0.613       0.000      25.179      14.125      19.652      17.283       0.000       0.000       0.503       0.000       0.000       0.000       0.000
