 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha           ha-m           ha-m           ha-m           m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   366    12    31  2004         1     1  lilj_1sub                6.2484     0.5253E+01     0.1672E+08     0.4368E+08     0.0000E+00     0.2444E-09     0.2194E-07     0.6586E-07     0.5694E-06     0.1004E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4040E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6537E+01     0.7107E+01     0.1209E+02     0.2380E+01     0.3906E+02     0.1976E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3670E+01     0.7030E+01     0.1453E+00     0.1343E+01     0.1084E+01     0.0000E+00     0.0000E+00     0.6819E+01     0.9349E+03     0.1202E+02     0.2366E+01     0.3906E+02     0.1974E+03     0.1435E-04     0.1550E-01     0.0000E+00     0.0000E+00     0.3963E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2005         1     1  lilj_1sub                6.3068     0.6893E+01     0.6862E+07     0.2746E+08     0.1425E+02     0.6414E-03     0.3782E-08     0.0000E+00     0.5341E-05     0.1984E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1435E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2721E+02     0.9987E+01     0.1344E+02     0.2688E+01     0.4479E+02     0.5850E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5575E+01     0.7942E+01     0.2142E+00     0.2033E+01     0.1641E+01     0.0000E+00     0.0000E+00     0.2733E+02     0.2383E+04     0.1340E+02     0.2678E+01     0.4479E+02     0.5845E+03     0.0000E+00     0.1051E-01     0.0000E+00     0.0000E+00     0.1579E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2006         1     1  lilj_1sub                6.4300     0.6511E+01     0.9924E+07     0.3096E+08     0.1910E+02     0.1328E-02     0.2213E-03     0.5896E-04     0.1025E-02     0.3427E-03     0.0000E+00     0.2073E-06     0.0000E+00     0.0000E+00     0.1592E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2952E+02     0.1012E+02     0.1096E+02     0.2357E+01     0.1230E+03     0.3142E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5302E+01     0.8029E+01     0.2045E+00     0.1935E+01     0.1562E+01     0.0000E+00     0.0000E+00     0.2968E+02     0.2598E+04     0.1092E+02     0.2349E+01     0.1230E+03     0.3139E+03     0.0000E+00     0.9647E-02     0.0000E+00     0.0000E+00     0.1765E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2007         1     1  lilj_1sub                6.5598     0.6413E+01     0.1609E+08     0.4841E+08     0.1429E+02     0.5527E-03     0.8590E-07     0.2134E-07     0.2166E-03     0.4334E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1452E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2582E+02     0.8812E+01     0.9222E+01     0.2016E+01     0.5820E+02     0.1928E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4918E+01     0.6954E+01     0.1905E+00     0.1795E+01     0.1449E+01     0.0000E+00     0.0000E+00     0.2602E+02     0.2087E+04     0.9189E+01     0.2008E+01     0.5820E+02     0.1926E+03     0.0000E+00     0.9192E-02     0.0000E+00     0.0000E+00     0.1575E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2008         1     1  lilj_1sub                6.6888     0.7407E+01     0.8465E+07     0.2773E+08     0.2831E+02     0.6347E-02     0.2651E-08     0.0000E+00     0.2102E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2022E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3833E+02     0.1008E+02     0.1032E+02     0.2309E+01     0.1124E+03     0.4828E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5761E+01     0.8325E+01     0.2212E+00     0.2102E+01     0.1697E+01     0.0000E+00     0.0000E+00     0.3856E+02     0.3690E+04     0.1028E+02     0.2300E+01     0.1124E+03     0.4823E+03     0.0000E+00     0.9489E-02     0.0000E+00     0.0000E+00     0.2202E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2009         1     1  lilj_1sub                6.9616     0.1022E+02     0.5530E+07     0.9987E+07     0.4459E+02     0.8254E-01     0.9871E-04     0.2891E-04     0.3765E-03     0.1034E-03     0.0000E+00     0.4636E-07     0.0000E+00     0.0000E+00     0.2544E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6858E+02     0.1331E+02     0.1195E+02     0.2595E+01     0.6660E+02     0.1076E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8042E+01     0.8516E+01     0.3035E+00     0.2926E+01     0.2362E+01     0.0000E+00     0.0000E+00     0.6885E+02     0.9342E+04     0.1192E+02     0.2587E+01     0.6660E+02     0.1075E+04     0.0000E+00     0.8362E-02     0.0000E+00     0.0000E+00     0.3543E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2010         1     1  lilj_1sub                7.5048     0.8311E+01     0.5725E+07     0.3176E+08     0.8894E+01     0.6052E-10     0.5537E-08     0.1661E-07     0.8213E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1312E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7916E+02     0.1091E+02     0.9554E+01     0.2212E+01     0.2837E+03     0.7788E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5925E+01     0.8353E+01     0.2269E+00     0.2159E+01     0.1744E+01     0.0000E+00     0.0000E+00     0.7934E+02     0.1533E+05     0.9525E+01     0.2205E+01     0.2837E+03     0.7781E+03     0.0000E+00     0.7242E-02     0.0000E+00     0.0000E+00     0.3791E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2011         1     1  lilj_1sub                7.6233     0.6708E+01     0.5202E+07     0.2351E+08     0.0000E+00     0.3165E-09     0.2819E-07     0.8466E-07     0.1274E-05     0.7322E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5616E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1811E+02     0.7990E+01     0.7946E+01     0.1939E+01     0.2114E+02     0.1487E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4065E+01     0.8218E+01     0.1597E+00     0.1486E+01     0.1200E+01     0.0000E+00     0.0000E+00     0.1834E+02     0.7910E+03     0.7910E+01     0.1930E+01     0.2114E+02     0.1485E+03     0.1712E-05     0.9491E-02     0.4499E-07     0.0000E+00     0.1297E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2012         1     1  lilj_1sub                7.6490     0.7345E+01     0.2395E+08     0.3834E+08     0.1276E+02     0.5398E-04     0.4414E-08     0.1324E-07     0.1009E-04     0.7607E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1498E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1209E+02     0.8604E+01     0.8312E+01     0.1940E+01     0.4502E+02     0.2185E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4501E+01     0.7665E+01     0.1755E+00     0.1644E+01     0.1328E+01     0.0000E+00     0.0000E+00     0.1220E+02     0.7320E+03     0.8276E+01     0.1931E+01     0.4502E+02     0.2181E+03     0.0000E+00     0.9647E-02     0.0000E+00     0.0000E+00     0.1052E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
