 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2004       1       1  lilj_1sub            840.662       0.000       0.000      25.228       0.412      25.640      38.574     717.674      65.398     443.113     209.164      25.228      56.798      40.597      93.547      55.328       7.494       0.000       0.000       0.000    1231.057       0.000       0.000       0.000       0.000       0.000      25.228       0.000       0.000       0.412       0.000       0.000       0.000       0.000       0.000      52.951       1.955       0.984       0.000
   365    12    31  2005       1       1  lilj_1sub           1092.882       0.000       0.000      59.077       1.238      60.314      86.090     860.156      56.054     575.692     228.410      59.076      56.938      93.547     170.208      85.513       9.908       0.000       0.000       0.000    1261.688       0.000       0.000       0.000       0.000       0.000      59.076       0.000       0.000       1.238       0.000       0.000       0.000       0.000       0.000      76.661       4.671       2.958       0.000
   365    12    31  2006       1       1  lilj_1sub           1012.632       0.000       0.000      36.002       1.267      37.270     111.298     868.719      41.820     607.656     219.243      36.003      56.924     170.208     154.309     103.673       9.538       0.000       0.000       0.000    1385.349       0.000       0.000       0.000       0.000       0.000      36.003       0.000       0.000       1.267       0.000       0.000       0.000       0.000       0.000     -15.899       2.386       3.029       0.000
   365    12    31  2007       1       1  lilj_1sub            978.112       0.000       0.000      26.160       1.249      27.409     105.649     830.386      46.391     595.524     188.470      26.206      56.935     154.309     157.432      97.065       9.066       0.000       0.000       0.000    1367.328       0.000       0.000       0.000       0.000       0.000      26.206       0.000       0.000       1.249       0.000       0.000       0.000       0.000       0.000       3.123       1.751       2.985       0.000
   366    12    31  2008       1       1  lilj_1sub           1107.642       0.000       0.000      45.916       1.778      47.694     146.029     871.128      45.397     615.542     210.189      45.868      56.965     157.432     191.418     123.380      10.889       0.000       0.000       0.000    1298.676       0.000       0.000       0.000       0.000       0.000      45.868       0.000       0.000       1.778       0.000       0.000       0.000       0.000       0.000      33.986       3.835       4.250       0.000
   365    12    31  2009       1       1  lilj_1sub           1468.063       0.000       0.000      86.143       2.862      89.005     228.987    1050.022      56.693     734.607     258.722      86.144      57.212     191.418     273.868     148.477      14.271       0.000       0.000       0.000    1265.019       0.000       0.000       0.000       0.000       0.000      86.144       0.000       0.000       2.862       0.000       0.000       0.000       0.000       0.000      82.450       6.480       6.840       0.000
   365    12    31  2010       1       1  lilj_1sub           1112.232       0.000       0.000      56.522       3.638      60.160     269.734     987.997      49.143     691.540     247.313      56.521      57.260     273.868      57.543     152.393      15.565       0.000       0.000       0.000    1353.218       0.000       0.000       0.000       0.000       0.000      56.521       0.000       0.000       3.638       0.000       0.000       0.000       0.000       0.000    -216.326       4.084       8.694       0.000
   365    12    31  2011       1       1  lilj_1sub            880.342       0.000       0.000      19.434       0.924      20.359      66.429     764.412      46.505     512.783     205.124      19.434      56.918      57.543      78.212      76.786       8.937       0.000       0.000       0.000    1371.009       0.000       0.000       0.000       0.000       0.000      19.434       0.000       0.000       0.924       0.000       0.000       0.000       0.000       0.000      20.670       1.228       2.210       0.000
   366    12    31  2012       1       1  lilj_1sub            960.282       0.000       0.000      24.258       0.945      25.203      70.135     813.028      53.122     561.658     198.247      24.258      56.930      78.212     123.089      76.572       9.549       0.000       0.000       0.000    1218.394       0.000       0.000       0.000       0.000       0.000      24.258       0.000       0.000       0.945       0.000       0.000       0.000       0.000       0.000      44.877       1.217       2.258       0.000
