 lilj_1sub                
  SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2012       1    pnut                      885.734     398.580      44.730       3.543
   366    12    31  2012       1    corn                     5860.809    2637.364     102.564      14.652
   366    12    31  2012       1    cots                     3670.734    1651.830      51.390       7.341
   366    12    31  2012       2    pnut                     1041.586     468.714      52.600       4.166
   366    12    31  2012       2    corn                     6839.478    3077.765     119.691      17.099
   366    12    31  2012       2    cots                     4150.744    1867.835      58.110       8.301
   366    12    31  2012       3    pnut                     1232.364     554.564      62.234       4.929
   366    12    31  2012       3    corn                     9540.736    4293.332     166.963      23.852
   366    12    31  2012       3    cots                     4415.496    1986.973      61.817       8.831
   366    12    31  2012       4    pnut                     1156.095     520.243      58.383       4.624
   366    12    31  2012       4    corn                     8998.822    4049.470     157.479      22.497
   366    12    31  2012       4    cots                     4343.249    1954.462      60.805       8.686
   366    12    31  2012       5    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012       6    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012       7    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012       8    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012       9    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      10    pnut                      846.456     380.905      42.746       3.386
   366    12    31  2012      10    corn                     7144.517    3215.033     125.029      17.861
   366    12    31  2012      10    cots                     3936.180    1771.281      55.107       7.872
   366    12    31  2012      11    pnut                     1025.023     461.260      51.764       4.100
   366    12    31  2012      11    corn                     7651.287    3443.079     133.898      19.128
   366    12    31  2012      11    cots                     4230.143    1903.564      59.222       8.460
   366    12    31  2012      12    pnut                     1117.387     502.824      56.428       4.470
   366    12    31  2012      12    corn                     9584.925    4313.216     167.736      23.962
   366    12    31  2012      12    cots                     4267.773    1920.498      59.749       8.536
   366    12    31  2012      13    pnut                     1243.130     559.408      62.778       4.973
   366    12    31  2012      13    corn                     8995.930    4048.168     157.429      22.490
   366    12    31  2012      13    cots                     4608.537    2073.841      64.520       9.217
   366    12    31  2012      14    frst                        0.000       0.000       0.000       0.000
   366    12    31  2012      15    frst                        0.000       0.000       0.000       0.000
   366    12    31  2012      16    frst                        0.000       0.000       0.000       0.000
   366    12    31  2012      17    frst                        0.000       0.000       0.000       0.000
   366    12    31  2012      18    frst                        0.000       0.000       0.000       0.000
   366    12    31  2012      19    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      20    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      21    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      22    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      23    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      28    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2012      29    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2012      30    rngb                        0.000       0.000       0.000       0.000
   366    12    31  2012      31    wetw                        0.000       0.000       0.000       0.000
   366    12    31  2012      32    wetw                        0.000       0.000       0.000       0.000
   366    12    31  2012      33    wetw                        0.000       0.000       0.000       0.000
   366    12    31  2012      34    shrb                        0.000       0.000       0.000       0.000
   366    12    31  2012      35    shrb                        0.000       0.000       0.000       0.000
   366    12    31  2012      36    shrb                        0.000       0.000       0.000       0.000
   366    12    31  2012      37    shrb                        0.000       0.000       0.000       0.000
   366    12    31  2012      38    pnut                     1152.176     518.479      58.185       4.609
   366    12    31  2012      38    corn                     7311.593    3290.217     127.953      18.279
   366    12    31  2012      38    cots                     3790.876    1705.894      53.072       7.582
   366    12    31  2012      39    pnut                     1200.169     540.076      60.609       4.801
   366    12    31  2012      39    corn                     8127.895    3657.552     142.238      20.320
   366    12    31  2012      39    cots                     4366.150    1964.768      61.126       8.732
   366    12    31  2012      40    past                     2174.418     984.126      20.859       6.361
   366    12    31  2012      41    past                     2646.778    1197.239      30.562       7.217
   366    12    31  2012      42    past                     2166.074     979.736      24.181       4.625
   366    12    31  2012      46    wehb                        0.000       0.000       0.000       0.000
   366    12    31  2012      47    wehb                        0.000       0.000       0.000       0.000
   366    12    31  2012      48    wehb                        0.000       0.000       0.000       0.000
   366    12    31  2012      49    frsd                        0.000       0.000       0.000       0.000
