 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   366    12    31  2012       1       1  hru01                  0.003       0.000       0.000       0.048       0.000       0.245       0.000       0.000       0.000       0.621       0.000       0.000
   366    12    31  2012       2       2  hru02                  0.002       0.000       0.000       0.050       0.000       0.308       0.000       0.000       0.000       0.671       0.000       0.000
   366    12    31  2012       3       3  hru03                  0.006       0.001       0.000       0.670       0.000       1.133       0.000       0.000       0.000       0.176       0.000       0.000
   366    12    31  2012       4       4  hru04                  0.002       0.000       0.000       0.270       0.000       0.653       0.000       0.000       0.000       0.605       0.000       0.000
   366    12    31  2012       5       5  hru05                  0.000       0.000       0.000       0.000       0.000       0.030       0.000       0.000       0.000       0.521       0.000       0.000
   366    12    31  2012       6       6  hru06                  0.000       0.000       0.000       0.000       0.000       0.030       0.000       0.000       0.000       0.452       0.000       0.000
   366    12    31  2012       7       7  hru07                  0.000       0.000       0.000       0.071       0.000       0.530       0.000       0.000       0.000       0.094       0.000       0.000
   366    12    31  2012       8       8  hru08                  0.000       0.000       0.000       0.001       0.000       0.028       0.000       0.000       0.000       0.502       0.000       0.000
   366    12    31  2012       9       9  hru09                  0.000       0.000       0.000       0.025       0.000       0.254       0.000       0.000       0.000       0.227       0.000       0.000
   366    12    31  2012      10      10  hru10                  0.003       0.000       0.000       0.069       0.000       0.290       0.000       0.000       0.000       0.495       0.000       0.000
   366    12    31  2012      11      11  hru11                  0.003       0.000       0.000       0.060       0.000       0.300       0.000       0.000       0.000       0.570       0.000       0.000
   366    12    31  2012      12      12  hru12                  0.021       0.003       0.000       0.279       0.000       0.709       0.000       0.000       0.000       0.313       0.000       0.000
   366    12    31  2012      13      13  hru13                  0.004       0.000       0.000       0.069       0.000       0.252       0.000       0.000       0.000       0.968       0.000       0.000
   366    12    31  2012      14      14  hru14                  0.000       0.000       0.000       0.000       0.000       0.027       0.000       0.000       0.000       0.522       0.000       0.000
   366    12    31  2012      15      15  hru15                  0.000       0.000       0.000       0.074       0.000       0.495       0.000       0.000       0.000       0.094       0.000       0.000
   366    12    31  2012      16      16  hru16                  0.000       0.000       0.000       0.001       0.000       0.026       0.000       0.000       0.000       0.501       0.000       0.000
   366    12    31  2012      17      17  hru17                  0.000       0.000       0.000       0.026       0.000       0.235       0.000       0.000       0.000       0.229       0.000       0.000
   366    12    31  2012      18      18  hru18                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.577       0.000       0.000
   366    12    31  2012      19      19  hru19                  0.000       0.000       0.000       0.153       0.000       0.814       0.000       0.000       0.000       0.073       0.000       0.000
   366    12    31  2012      20      20  hru20                  0.000       0.000       0.000       0.002       0.000       0.074       0.000       0.000       0.000       0.514       0.000       0.000
   366    12    31  2012      21      21  hru21                  0.000       0.000       0.000       0.049       0.000       0.392       0.000       0.000       0.000       0.207       0.000       0.000
   366    12    31  2012      22      22  hru22                  0.000       0.000       0.000       0.003       0.000       0.070       0.000       0.000       0.000       0.493       0.000       0.000
   366    12    31  2012      23      23  hru23                  0.000       0.000       0.000       0.003       0.000       0.076       0.000       0.000       0.000       0.262       0.000       0.000
   366    12    31  2012      24      24  hru24                  0.735       0.343       0.114       0.048       0.000       0.040       0.000       0.004       0.000       0.000       0.000       0.000
   366    12    31  2012      25      25  hru25                  0.884       0.466       0.144       0.160       0.000       0.048       0.000       0.019       0.000       0.000       0.000       0.000
   366    12    31  2012      26      26  hru26                  1.020       0.684       0.174       0.017       0.000       0.049       0.000       0.080       0.000       0.000       0.000       0.000
