 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   366    12    31  2004       1       1  hru01                  0.000       0.000       0.000       0.023       0.000       0.085       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       2       2  hru02                  0.000       0.000       0.000       0.117       0.000       0.188       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       3       3  hru03                  0.002       0.000       0.000       0.650       0.000       0.698       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       4       4  hru04                  0.001       0.000       0.000       0.358       0.000       0.418       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       5       5  hru05                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       6       6  hru06                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       7       7  hru07                  0.000       0.000       0.000       0.015       0.000       0.102       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       8       8  hru08                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004       9       9  hru09                  0.000       0.000       0.000       0.004       0.000       0.041       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      10      10  hru10                  0.000       0.000       0.000       0.019       0.000       0.204       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      11      11  hru11                  0.000       0.000       0.000       0.006       0.000       0.208       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      12      12  hru12                  0.004       0.000       0.000       0.014       0.000       0.467       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      13      13  hru13                  0.001       0.000       0.000       0.009       0.000       0.174       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      14      14  hru14                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      15      15  hru15                  0.000       0.000       0.000       0.013       0.000       0.100       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      16      16  hru16                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      17      17  hru17                  0.000       0.000       0.000       0.004       0.000       0.039       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      18      18  hru18                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      19      19  hru19                  0.000       0.000       0.000       0.023       0.000       0.167       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      20      20  hru20                  0.000       0.000       0.000       0.000       0.000       0.006       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      21      21  hru21                  0.000       0.000       0.000       0.009       0.000       0.075       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      22      22  hru22                  0.000       0.000       0.000       0.000       0.000       0.005       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      23      23  hru23                  0.000       0.000       0.000       0.000       0.000       0.005       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2004      24      24  hru24                  0.604       0.300       0.100       0.060       0.000       0.035       0.000       0.003       0.000       0.000       0.000       0.000
   366    12    31  2004      25      25  hru25                  0.773       0.428       0.134       0.184       0.000       0.045       0.000       0.016       0.000       0.000       0.000       0.000
   366    12    31  2004      26      26  hru26                  0.893       0.633       0.164       0.022       0.000       0.047       0.000       0.061       0.000       0.000       0.000       0.000
   366    12    31  2004      27      27  hru27                  0.823       0.419       0.137       0.102       0.000       0.047       0.000       0.031       0.000       0.000       0.000       0.000
