 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   366    12    31  2012       1       1  hru01          0.000       0.000       0.953       0.808           99.606           19.921           38.788            0.079            6.939            6.925            1.142           65.685           11.901            0.000            0.000          167.056           28.403            0.000            0.000
   366    12    31  2012       2       2  hru02          0.000       0.000       0.686       0.861          116.207           23.241           41.129            0.002            7.783           10.065            1.261           74.973           13.119            0.000            0.000          197.708           33.028            0.000            0.000
   366    12    31  2012       3       3  hru03          0.000       0.000       0.298       0.681          116.207           23.241           42.475           13.830           15.917            7.458            2.657           87.589           14.871            0.000            0.000          239.344           38.898            0.000            0.000
   366    12    31  2012       4       4  hru04          0.000       0.000       0.424       0.787          116.207           23.241           44.372           10.297           14.599            7.297            2.439           79.342           14.245            0.000            0.000          219.716           37.254            0.000            0.000
   366    12    31  2012       5       5  hru05          0.000       0.000       1.096       2.041            0.000            0.000            0.000            0.004            5.900            4.113            0.918           62.167           25.946            0.000            0.000           51.634           12.295            0.000            0.000
   366    12    31  2012       6       6  hru06          0.000       0.000       1.357       2.099            0.000            0.000            0.000            0.026            2.809            5.917            0.342           60.982           25.918            0.000            0.000           49.719           12.135            0.000            0.000
   366    12    31  2012       7       7  hru07          0.000       0.000       1.996       2.155            0.000            0.000            0.000            8.315           13.232            7.577            2.041          127.391           27.651            0.000            0.000           84.315           14.671            0.000            0.000
   366    12    31  2012       8       8  hru08          0.000       0.000       2.195       2.207            0.000            0.000            0.000            0.687           10.029            7.201            1.544          110.055           27.482            0.000            0.000           76.567           14.542            0.000            0.000
   366    12    31  2012       9       9  hru09          0.000       0.000       2.258       2.401            0.000            0.000            0.000            4.687           14.510            6.272            2.309          123.905           27.602            0.000            0.000           82.865           14.598            0.000            0.000
   366    12    31  2012      10      10  hru10          0.000       0.000       1.372       0.972          116.207           23.241           37.019            0.082            3.763            9.423            0.536           71.966           12.173            0.000            0.000          190.820           30.107            0.000            0.000
   366    12    31  2012      11      11  hru11          0.000       0.000       0.920       0.884          116.207           23.241           45.112            0.003            7.254            7.956            1.184           76.834           13.365            0.000            0.000          205.073           32.966            0.000            0.000
   366    12    31  2012      12      12  hru12          0.000       0.000       0.706       0.855          116.207           23.241           35.671            2.788           15.728            5.112            2.651           84.712           13.959            0.000            0.000          229.073           35.358            0.000            0.000
   366    12    31  2012      13      13  hru13          0.000       0.000       0.596       0.739          116.207           23.241           52.754            1.055           11.886            6.945            1.983           83.246           14.893            0.000            0.000          226.557           37.103            0.000            0.000
   366    12    31  2012      14      14  hru14          0.000       0.000       1.272       1.837            0.000            0.000            0.000            0.004            5.812            3.708            0.911           59.507           24.120            0.000            0.000           48.562           10.508            0.000            0.000
   366    12    31  2012      15      15  hru15          0.000       0.000       2.304       2.002            0.000            0.000            0.000            8.601           13.228            7.567            2.038          130.445           26.159            0.000            0.000           82.282           12.672            0.000            0.000
   366    12    31  2012      16      16  hru16          0.000       0.000       2.431       2.024            0.000            0.000            0.000            0.735           10.024            7.200            1.542          112.793           25.734            0.000            0.000           74.677           12.456            0.000            0.000
   366    12    31  2012      17      17  hru17          0.000       0.000       2.312       2.268            0.000            0.000            0.000            4.807           14.480            6.162            2.304          126.315           25.989            0.000            0.000           80.711           12.587            0.000            0.000
   366    12    31  2012      18      18  hru18          0.000       0.000       3.133       1.993            0.000            0.000            0.000            0.456            7.086            8.659            0.974          111.766           25.246            0.000            0.000           73.863           11.883            0.000            0.000
   366    12    31  2012      19      19  hru19          0.000       0.000       2.173       1.957            0.000            0.000            0.000            7.975           12.856            7.828            1.978          131.271           26.135            0.000            0.000           82.594           12.694            0.000            0.000
   366    12    31  2012      20      20  hru20          0.000       0.000       1.234       1.829            0.000            0.000            0.000            0.003            5.806            3.729            0.910           59.731           24.103            0.000            0.000           48.701           10.498            0.000            0.000
   366    12    31  2012      21      21  hru21          0.000       0.000       2.241       2.251            0.000            0.000            0.000            4.926           14.306            6.268            2.274          126.484           25.987            0.000            0.000           80.817           12.604            0.000            0.000
   366    12    31  2012      22      22  hru22          0.000       0.000       2.413       2.017            0.000            0.000            0.000            0.745           10.014            7.217            1.540          112.918           25.724            0.000            0.000           74.717           12.448            0.000            0.000
   366    12    31  2012      23      23  hru23          0.000       0.000       1.301       2.104            0.000            0.000            0.000            0.005            7.121            8.602            0.992          111.846           25.991            0.000            0.000           76.431           12.878            0.000            0.000
   366    12    31  2012      24      24  hru24          0.000       0.000      -0.777      -0.937            0.000            0.000            0.000            0.000            4.255           -2.554            0.728            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      25      25  hru25          0.000       0.000      -0.619      -0.901            0.000            0.000            0.000            0.000           10.783           -6.475            1.846            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      26      26  hru26          0.000       0.000      -0.453      -0.781            0.000            0.000            0.000            0.000           11.036           -6.626            1.889            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      27      27  hru27          0.000       0.000      -0.725      -0.857            0.000            0.000            0.000            0.000            1.162           -0.698            0.199            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      28      28  hru28          0.000       0.000      -0.615      -0.337            0.000            0.000            0.000            0.003            7.224           -1.957            1.219            8.648            4.566            0.000            0.000           13.438            3.949            0.000            0.000
   366    12    31  2012      29      29  hru29          0.000       0.000      -0.997      -0.197            0.000            0.000            0.000            0.855           19.147           -8.361            3.261           14.236            5.196            0.000            0.000           29.299            5.420            0.000            0.000
   366    12    31  2012      30      30  hru30          0.000       0.000      -0.195       0.083            0.000            0.000            0.000            1.136           18.665           -8.422            3.173           10.073            3.797            0.000            0.000           24.667            3.309            0.000            0.000
   366    12    31  2012      31      31  hru31          0.000       0.000      -3.975      -1.204            0.000            0.000            0.000            0.000            5.096           -2.005            0.868           -0.499            0.045            0.000            0.000            6.681            8.340            0.000            0.000
   366    12    31  2012      32      32  hru32          0.000       0.000      -4.508      -1.270            0.000            0.000            0.000            0.063           11.722           -5.681            2.003            1.211            1.128            0.000            0.000           16.245           12.711            0.000            0.000
   366    12    31  2012      33      33  hru33          0.000       0.000       0.490       0.549            0.000            0.000            0.000            0.000            0.420            0.768            0.001           -0.131            0.694            0.000            0.000            2.506            0.140            0.000            0.000
   366    12    31  2012      34      34  hru34          0.000       0.000      -3.213      -1.080            0.000            0.000            0.000            0.002            7.298           -3.289            1.243           -0.402            0.375            0.000            0.000            7.264            5.649            0.000            0.000
   366    12    31  2012      35      35  hru35          0.000       0.000      -1.892      -0.712            0.000            0.000            0.000            0.373           18.546           -9.638            3.166           -0.332            0.321            0.000            0.000           18.702            5.692            0.000            0.000
   366    12    31  2012      36      36  hru36          0.000       0.000      -3.125      -1.019            0.000            0.000            0.000            0.081           11.828           -5.853            2.019            1.076            1.200            0.000            0.000           13.844            7.744            0.000            0.000
   366    12    31  2012      37      37  hru37          0.000       0.000      -1.459      -0.854            0.000            0.000            0.000            0.003            2.323           -0.366            0.387           -0.321            0.477            0.000            0.000            3.124            3.032            0.000            0.000
   366    12    31  2012      38      38  hru38          0.000       0.000       1.069       0.992          116.207           23.241           33.079            0.004            7.305            8.550            1.191           72.595           12.759            0.000            0.000          193.530           31.957            0.000            0.000
   366    12    31  2012      39      39  hru39          0.000       0.000       1.129       0.953          116.207           23.241           37.046            1.593           11.897            6.626            1.989           75.113           13.832            0.000            0.000          205.914           35.078            0.000            0.000
   366    12    31  2012      40      40  hru40          0.000       0.000      -2.790      -1.449            0.000            0.000            0.000            0.000            4.606           -1.684            0.784            0.037            0.807            0.000            0.000            4.616            3.915            0.000            0.000
   366    12    31  2012      41      41  hru41          0.000       0.000      -3.169      -1.496            0.000            0.000            0.000            0.009            9.731           -4.840            1.663            0.033            0.655            0.000            0.000            9.844            5.161            0.000            0.000
   366    12    31  2012      42      42  hru42          0.000       0.000      -1.797      -1.129            0.000            0.000            0.000            0.000            4.472           -1.646            0.761            0.032            0.029            0.000            0.000            4.570            1.648            0.000            0.000
   366    12    31  2012      43      43  hru43          0.000       0.000      -0.772      -0.938            0.000            0.000            0.000            0.000            4.198           -2.514            0.719            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      44      44  hru44          0.000       0.000      -0.689      -0.858            0.000            0.000            0.000            0.000            1.140           -0.684            0.195            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      45      45  hru45          0.000       0.000      -0.373      -0.786            0.000            0.000            0.000            0.000           10.845           -6.503            1.857            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2012      46      46  hru46          0.000       0.000      -3.448      -1.051            0.000            0.000            0.000            0.119           13.040           -5.502            2.222            9.538            5.651            0.000            0.000           25.802           15.733            0.000            0.000
   366    12    31  2012      47      47  hru47          0.000       0.000      -3.985      -1.155            0.000            0.000            0.000            0.001            5.357           -1.982            0.912            1.696            1.495            0.000            0.000            8.994            9.421            0.000            0.000
   366    12    31  2012      48      48  hru48          0.000       0.000      -3.723      -0.948            0.000            0.000            0.000            0.108           11.786           -5.109            2.010            6.821            4.337            0.000            0.000           21.127           13.618            0.000            0.000
   366    12    31  2012      49      49  hru49          0.000       0.000       1.272       1.837            0.000            0.000            0.000            0.004            5.812            3.708            0.911           59.511           24.120            0.000            0.000           48.566           10.509            0.000            0.000
