 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         lab_min_p        act_sta_p        act_nit_n        act_sta_n        org_lab_p         rsd_hs_c    rsd_nitrorg_n     rsd_laborg_p
                                                               kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   366    12    31  2004       1       1  hru01               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       2       2  hru02               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       3       3  hru03               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       4       4  hru04               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       5       5  hru05               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       6       6  hru06               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       7       7  hru07               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       8       8  hru08               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004       9       9  hru09               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      10      10  hru10               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      11      11  hru11               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      12      12  hru12               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      13      13  hru13               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      14      14  hru14               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      15      15  hru15               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      16      16  hru16               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      17      17  hru17               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      18      18  hru18               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      19      19  hru19               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      20      20  hru20               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      21      21  hru21               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      22      22  hru22               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      23      23  hru23               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      24      24  hru24               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      25      25  hru25               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      26      26  hru26               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      27      27  hru27               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      28      28  hru28               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      29      29  hru29               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      30      30  hru30               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      31      31  hru31               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      32      32  hru32               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      33      33  hru33               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      34      34  hru34               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      35      35  hru35               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      36      36  hru36               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      37      37  hru37               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      38      38  hru38               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      39      39  hru39               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      40      40  hru40               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      41      41  hru41               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      42      42  hru42               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      43      43  hru43               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      44      44  hru44               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      45      45  hru45               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      46      46  hru46               0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
