 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2012       1       1  hru01                  0.978    2718.105    3247.468    1343.728      18.674      30.387       2.343      12.248      10.899       0.134       0.459      42.408       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       2       2  hru02                  0.953    3307.755    4321.825    1603.511      18.589      34.183       0.290      13.260       2.640       0.130       0.543      49.199       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       3       3  hru03                  1.053    3979.875    5385.251    1867.607      19.211      19.238      11.131      13.260       1.692       0.618       0.658      15.277       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       4       4  hru04                  1.036    3850.508    5148.416    1809.929      18.989      21.844       7.608      13.260       5.097       0.709       0.604      32.158       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       5       5  hru05                  5.000  120740.758       0.000    9002.071      18.603      63.877       5.810      39.503      59.919       2.121       0.142       9.578       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       6       6  hru06                  5.000  120697.242       0.000    8931.116      18.512      66.733       3.976      39.503      61.152       2.026       0.137       8.934       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       7       7  hru07                  5.000  126230.625       0.000   10284.488      18.749      57.698      18.516      39.503       5.862       3.738       0.232      13.546       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       8       8  hru08                  5.000  125592.367       0.000   10173.743      18.586      62.961       6.882      39.503      15.890       3.478       0.210      18.584       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012       9       9  hru09                  5.000  125994.391       0.000   10242.332      18.931      59.100      17.416      39.503       8.380       3.725       0.228      17.563       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      10      10  hru10                  0.935    2829.416    3666.574    1490.318      18.452      32.151       0.058      19.396       1.251       0.212       0.524      30.746       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      11      11  hru11                  0.988    3120.779    3998.353    1638.835      18.653      26.863       0.280      19.396       2.186       0.121       0.564      31.622       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      12      12  hru12                  1.043    3440.328    4523.673    1808.379      18.893      19.427       4.105      19.396       0.673       0.294       0.630      15.133       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      13      13  hru13                  1.068    3603.565    4619.890    1904.002      18.758      15.338       2.202      19.396       2.158       0.669       0.623      33.244       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      14      14  hru14                  5.000  115196.977       0.000    7916.517      18.602      59.419       5.815      75.564      62.452       1.100       0.133       8.881       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      15      15  hru15                  5.000  121358.820       0.000    9130.276      18.749      52.803      18.514      75.564       6.369       2.183       0.226      14.034       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      16      16  hru16                  5.000  119913.633       0.000    8965.113      18.585      58.518       6.846      75.564      16.252       1.972       0.205      19.478       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      17      17  hru17                  5.000  120895.602       0.000    9042.758      18.930      54.669      17.405      75.564       9.273       2.199       0.222      17.902       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      18      18  hru18                  5.000  118484.055       0.000    8660.438      18.901      66.587       0.101      75.564      17.137       1.604       0.203      14.252       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      19      19  hru19                  5.000  121310.930       0.000    9136.570      18.703      55.995      15.475      75.564       6.167       2.212       0.227      12.186       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      20      20  hru20                  5.000  115140.906       0.000    7909.590      18.598      59.666       5.715      75.564      62.242       1.101       0.134       8.835       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      21      21  hru21                  5.000  120890.258       0.000    9047.421      18.921      55.716      16.396      75.564       9.180       2.191       0.222      17.286       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      22      22  hru22                  5.000  119884.906       0.000    8959.660      18.581      58.741       6.704      75.564      16.182       1.960       0.205      19.499       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      23      23  hru23                  5.000  121434.586       0.000    9162.871      18.799      54.712       8.390      75.564      18.891       2.670       0.210      12.011       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      24      24  hru24                  0.000       0.000       0.000       0.000      18.944       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      25      25  hru25                  0.000       0.000       0.000       0.000      19.494       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      26      26  hru26                  0.000       0.000       0.000       0.000      18.915       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      27      27  hru27                  0.000       0.000       0.000       0.000      18.988       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      28      28  hru28                  0.605   38664.453       0.000    2273.178      19.016       2.919      50.952      72.431     177.254       0.000       0.037       3.419       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      29      29  hru29                  0.605   39130.793       0.000    2515.319      19.207       0.000     183.386      72.431     125.928       0.042       0.081       3.809       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      30      30  hru30                  0.605   38389.340       0.000    2097.177      19.414       0.000     229.666      72.431     124.899       0.368       0.068       3.135       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      31      31  hru31                  3.587   91238.375       0.000    2342.099      18.505      41.703      19.714      72.431     238.364       0.256       0.018       0.802       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      32      32  hru32                  3.587  104795.609       0.000    2974.572      18.810      28.583      51.736      72.431     224.640       0.495       0.045       0.160       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      33      33  hru33                  1.993   50803.266       0.000    1386.091      19.027     129.010     101.417      72.431     256.867       0.000       0.007       0.221       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      34      34  hru34                  0.698   76669.836       0.000    1949.238      19.176       0.000      64.727      72.431     246.364       0.125       0.020       2.172       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
   366    12    31  2012      35      35  hru35                  0.698   73160.508       0.000    1879.150      19.371       0.000     239.825      72.431     198.252       0.257       0.051       1.229       0.000      24.905      13.630      19.267      17.186       0.000       0.000       0.479       0.000       0.000       0.000       0.000
