 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2004       1       1  hru01                  0.413    1488.268     521.307     911.367      18.378      37.634       0.000       3.685       0.000       0.000       0.387       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       2       2  hru02                  0.885    3528.522    5021.275    1654.620      18.146      58.024       0.000       8.697       0.000       0.000       0.585       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       3       3  hru03                  1.337    5548.178    7553.369    2216.877      18.232      41.834       0.000       8.697       0.000       0.588       0.865       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       4       4  hru04                  1.289    5165.288    7098.665    2121.911      18.341      45.345       0.000       8.697       0.000       1.052       0.811       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       5       5  hru05                  5.000   79174.133       0.000    5286.622      18.618      84.357       0.000      38.023      86.809      10.732       0.079       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       6       6  hru06                  5.000   79375.008       0.000    5281.732      18.622      83.683       0.000      38.023      81.023      10.670       0.083       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       7       7  hru07                  5.000   83501.172       0.000    5466.415      18.762      87.548       0.000      38.023      10.458      12.751       0.203       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       8       8  hru08                  5.000   81540.992       0.000    5376.114      18.724      82.878       0.000      38.023      35.759      11.760       0.149       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   366    12    31  2004       9       9  hru09                  5.000   83335.578       0.000    5491.195      18.762      88.563       0.000      38.023      23.311      13.614       0.176       0.000       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
