 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2012       1       1  hru01               1046.174       0.000       0.000      25.985       0.715      26.700      76.774     934.204       9.637     333.898     590.669      25.985      60.475      16.877      93.656      81.883       6.867       0.000       0.000       0.000    1300.635       0.000       0.000       0.000       0.000       0.000      25.985       0.000       0.000       0.715       0.000       0.000       0.000       0.000       0.000       8.497       0.059       1.709       0.000
   366    12    31  2012       2       2  hru02               1046.174       0.000       0.000      26.009       0.828      26.837      85.348     924.440       9.343     329.857     585.240      26.009      60.476      17.282     103.568      89.789       7.115       0.000       0.000       0.000    1300.645       0.000       0.000       0.000       0.000       0.000      26.009       0.000       0.000       0.828       0.000       0.000       0.000       0.000       0.000       9.550       0.057       1.979       0.000
   366    12    31  2012       3       3  hru03               1046.174       0.000       0.000     107.939       0.941     108.880      19.268     909.459      10.501     397.427     501.531     107.938      76.447      57.880     135.299     140.699      12.347       0.000       0.000       0.000    1300.518       0.000       0.000       0.000       0.000       0.000     107.938       0.000       0.000       0.941       0.000       0.000       0.000       0.000       0.000       8.568       1.282       2.249       0.000
   366    12    31  2012       4       4  hru04               1046.174       0.000       0.000      62.662       0.500      63.162      73.869     895.272      10.328     384.315     500.628      62.661      69.888      26.181     151.522     128.451      10.040       0.000       0.000       0.000    1300.502       0.000       0.000       0.000       0.000       0.000      62.661       0.000       0.000       0.500       0.000       0.000       0.000       0.000       0.000      13.872       1.133       1.195       0.000
   366    12    31  2012       5       5  hru05               1046.174       0.000       0.000       1.768       0.959       2.727      63.707     971.352      90.414     878.990       1.948       1.768      40.483      12.203      87.995      68.050       6.439       0.000       0.000       0.000    1300.609       0.000       0.000       0.000       0.000       0.000       1.768       0.000       0.000       0.959       0.000       0.000       0.000       0.000       0.000       8.388       0.434       2.292       0.000
   366    12    31  2012       6       6  hru06               1046.174       0.000       0.000       1.768       0.146       1.914      83.831     951.913      90.415     859.584       1.915       1.768      40.483      11.914      88.868      63.553       7.615       0.000       0.000       0.000    1300.594       0.000       0.000       0.000       0.000       0.000       1.768       0.000       0.000       0.146       0.000       0.000       0.000       0.000       0.000       8.517       0.547       0.350       0.000
   366    12    31  2012       7       7  hru07               1046.174       0.000       0.000      28.145       0.885      29.030       9.555     999.131      90.415     907.412       1.305      28.145      61.724      11.691      88.116      83.284       9.584       0.000       0.000       0.000    1300.593       0.000       0.000       0.000       0.000       0.000      28.145       0.000       0.000       0.885       0.000       0.000       0.000       0.000       0.000       8.458       9.616       2.116       0.000
   366    12    31  2012       8       8  hru08               1046.174       0.000       0.000       1.768       0.230       1.998      62.670     973.048      90.415     881.252       1.381       1.768      40.483      11.682      88.109      69.711       7.401       0.000       0.000       0.000    1300.556       0.000       0.000       0.000       0.000       0.000       1.768       0.000       0.000       0.230       0.000       0.000       0.000       0.000       0.000       8.458       0.493       0.550       0.000
   366    12    31  2012       9       9  hru09               1046.174       0.000       0.000      13.239       0.841      14.080      21.903    1002.301      90.415     910.171       1.716      13.239      54.774      16.289      88.019      85.109      15.012       0.000       0.000       0.000    1300.558       0.000       0.000       0.000       0.000       0.000      13.239       0.000       0.000       0.841       0.000       0.000       0.000       0.000       0.000       7.939       1.973       2.009       0.000
   366    12    31  2012      10      10  hru10               1046.174       0.000       0.000      25.992       0.145      26.137      93.630     918.442       8.611     317.676     592.155      25.991      60.475      23.242      95.218      73.149       8.429       0.000       0.000       0.000    1300.609       0.000       0.000       0.000       0.000       0.000      25.991       0.000       0.000       0.145       0.000       0.000       0.000       0.000       0.000       7.966       0.088       0.347       0.000
   366    12    31  2012      11      11  hru11               1046.174       0.000       0.000      25.987       0.800      26.786      72.763     938.740       9.128     352.527     577.085      25.986      60.475      23.919      95.163      84.014       7.036       0.000       0.000       0.000    1300.619       0.000       0.000       0.000       0.000       0.000      25.986       0.000       0.000       0.800       0.000       0.000       0.000       0.000       0.000       7.885       0.048       1.911       0.000
   366    12    31  2012      12      12  hru12               1046.174       0.000       0.000      66.102       1.011      67.112      29.603     943.312       9.558     377.785     555.969      66.101      70.142      27.417      95.307     113.402      15.635       0.000       0.000       0.000    1300.557       0.000       0.000       0.000       0.000       0.000      66.101       0.000       0.000       1.011       0.000       0.000       0.000       0.000       0.000       7.514       0.014       2.415       0.000
   366    12    31  2012      13      13  hru13               1046.174       0.000       0.000      25.979       0.375      26.354     126.998     880.926       9.838     399.379     471.709      25.979      60.475      27.179     134.669     121.255       8.724       0.000       0.000       0.000    1300.573       0.000       0.000       0.000       0.000       0.000      25.979       0.000       0.000       0.375       0.000       0.000       0.000       0.000       0.000      11.896       0.056       0.897       0.000
   366    12    31  2012      14      14  hru14               1046.174       0.000       0.000       1.768       0.851       2.620      63.736     971.426      90.414     878.458       2.554       1.768      40.483      12.169      88.001      68.013       6.438       0.000       0.000       0.000    1300.607       0.000       0.000       0.000       0.000       0.000       1.768       0.000       0.000       0.851       0.000       0.000       0.000       0.000       0.000       8.393       0.380       2.035       0.000
