 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2004       1       1  hru01                840.660       0.000       0.000      17.156       0.168      17.323       0.000     778.366       6.312     123.289     648.765      17.155      60.475      16.877      61.847      30.172       5.466       0.000       0.000       0.000    1231.096       0.000       0.000       0.000       0.000       0.000      17.155       0.000       0.000       0.168       0.000       0.000       0.000       0.000       0.000      44.970       0.039       0.401       0.000
   366    12    31  2004       2       2  hru02                840.660       0.000       0.000      17.168       0.180      17.348       0.000     757.649      12.853     226.565     518.231      17.168      60.475      17.282      82.944      35.198       5.541       0.000       0.000       0.000    1231.108       0.000       0.000       0.000       0.000       0.000      17.168       0.000       0.000       0.180       0.000       0.000       0.000       0.000       0.000      65.662       0.038       0.432       0.000
   366    12    31  2004       3       3  hru03                840.660       0.000       0.000      70.372       0.017      70.389       0.000     728.911      19.369     327.575     381.967      70.372      76.250      57.880      99.239      56.342       6.996       0.000       0.000       0.000    1230.959       0.000       0.000       0.000       0.000       0.000      70.372       0.000       0.000       0.017       0.000       0.000       0.000       0.000       0.000      41.360       0.836       0.042       0.000
   366    12    31  2004       4       4  hru04                840.660       0.000       0.000      42.063       0.019      42.082       0.000     709.259      18.643     312.182     378.433      42.062      69.887      26.181     115.501      50.891       5.962       0.000       0.000       0.000    1230.941       0.000       0.000       0.000       0.000       0.000      42.062       0.000       0.000       0.019       0.000       0.000       0.000       0.000       0.000      89.320       0.760       0.047       0.000
   366    12    31  2004       5       5  hru05                840.660       0.000       0.000       0.000       0.239       0.239       0.000     796.491     114.406     674.636       7.449       0.000      40.483      12.203      56.132      27.581       4.922       0.000       0.000       0.000    1231.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.239       0.000       0.000       0.000       0.000       0.000      43.930       0.000       0.571       0.000
   366    12    31  2004       6       6  hru06                840.660       0.000       0.000       0.000       0.023       0.024       0.000     796.362     114.406     674.945       7.011       0.000      40.483      11.914      56.189      27.662       6.273       0.000       0.000       0.000    1231.048       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.023       0.000       0.000       0.000       0.000       0.000      44.275       0.000       0.056       0.000
   366    12    31  2004       7       7  hru07                840.660       0.000       0.000      18.645       0.032      18.677       0.000     777.437     114.406     657.713       5.318      18.645      61.724      11.691      56.237      24.879       6.070       0.000       0.000       0.000    1231.047       0.000       0.000       0.000       0.000       0.000      18.645       0.000       0.000       0.032       0.000       0.000       0.000       0.000       0.000      44.546       6.370       0.077       0.000
   366    12    31  2004       8       8  hru08                840.660       0.000       0.000       0.000       0.073       0.073       0.000     796.088     114.406     675.919       5.763       0.000      40.483      11.682      56.181      27.555       5.937       0.000       0.000       0.000    1231.003       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.073       0.000       0.000       0.000       0.000       0.000      44.500       0.000       0.174       0.000
   366    12    31  2004       9       9  hru09                840.660       0.000       0.000       7.191       0.153       7.344       0.000     793.003     114.406     671.346       7.251       7.190      54.545      16.289      56.602      27.900      10.109       0.000       0.000       0.000    1231.006       0.000       0.000       0.000       0.000       0.000       7.190       0.000       0.000       0.153       0.000       0.000       0.000       0.000       0.000      40.313       1.072       0.367       0.000
   366    12    31  2004      10      10  hru10                840.660       0.000       0.000      17.043       0.021      17.065       0.000     783.002      10.621     229.408     542.973      17.043      60.475      23.242      63.836      28.900       7.141       0.000       0.000       0.000    1231.065       0.000       0.000       0.000       0.000       0.000      17.043       0.000       0.000       0.021       0.000       0.000       0.000       0.000       0.000      40.594       0.058       0.052       0.000
   366    12    31  2004      11      11  hru11                840.660       0.000       0.000      17.023       0.189      17.213       0.000     783.028      12.477     267.822     502.730      17.023      60.475      23.919      64.337      30.416       5.500       0.000       0.000       0.000    1231.078       0.000       0.000       0.000       0.000       0.000      17.023       0.000       0.000       0.189       0.000       0.000       0.000       0.000       0.000      40.418       0.032       0.453       0.000
   366    12    31  2004      12      12  hru12                840.660       0.000       0.000      41.828       0.147      41.975       0.000     761.057      13.161     271.057     476.839      41.827      69.887      27.417      65.044      31.171       9.765       0.000       0.000       0.000    1231.005       0.000       0.000       0.000       0.000       0.000      41.827       0.000       0.000       0.147       0.000       0.000       0.000       0.000       0.000      37.627       0.009       0.352       0.000
   366    12    31  2004      13      13  hru13                840.660       0.000       0.000      16.987       0.077      17.064       0.000     749.393      15.158     351.700     382.535      16.987      60.475      27.179     101.382      60.927       6.809       0.000       0.000       0.000    1231.024       0.000       0.000       0.000       0.000       0.000      16.987       0.000       0.000       0.077       0.000       0.000       0.000       0.000       0.000      74.203       0.036       0.184       0.000
   366    12    31  2004      14      14  hru14                840.660       0.000       0.000       0.000       0.212       0.212       0.000     796.543     114.406     673.007       9.130       0.000      40.483      12.169      56.074      27.528       4.915       0.000       0.000       0.000    1231.063       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.212       0.000       0.000       0.000       0.000       0.000      43.905       0.000       0.506       0.000
   366    12    31  2004      15      15  hru15                840.660       0.000       0.000      18.645       0.031      18.676       0.000     777.456     114.406     656.356       6.694      18.645      61.724      11.663      56.192      24.832       6.061       0.000       0.000       0.000    1231.094       0.000       0.000       0.000       0.000       0.000      18.645       0.000       0.000       0.031       0.000       0.000       0.000       0.000       0.000      44.529       5.220       0.075       0.000
   366    12    31  2004      16      16  hru16                840.660       0.000       0.000       0.000       0.192       0.192       0.000     796.007     114.406     674.340       7.261       0.000      40.483      11.650      56.110      27.486       5.928       0.000       0.000       0.000    1231.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.192       0.000       0.000       0.000       0.000       0.000      44.460       0.000       0.460       0.000
   366    12    31  2004      17      17  hru17                840.660       0.000       0.000       7.191       0.164       7.355       0.000     793.005     114.406     669.389       9.211       7.190      54.545      16.247      56.546      27.830      10.084       0.000       0.000       0.000    1231.015       0.000       0.000       0.000       0.000       0.000       7.190       0.000       0.000       0.164       0.000       0.000       0.000       0.000       0.000      40.299       0.895       0.393       0.000
   366    12    31  2004      18      18  hru18                840.660       0.000       0.000       0.000       0.003       0.003       0.000     796.052     114.406     672.891       8.756       0.000      16.067      11.685      56.290      27.525       5.334       0.000       0.000       0.000    1231.121       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003       0.000       0.000       0.000       0.000       0.000      44.605       0.000       0.008       0.000
   366    12    31  2004      19      19  hru19                840.660       0.000       0.000      31.207       0.027      31.234       0.000     764.902     114.406     643.795       6.701      31.207      67.016      11.659      56.183      23.205       6.061       0.000       0.000       0.000    1231.016       0.000       0.000       0.000       0.000       0.000      31.207       0.000       0.000       0.027       0.000       0.000       0.000       0.000       0.000      44.525       6.672       0.065       0.000
   366    12    31  2004      20      20  hru20                840.660       0.000       0.000       0.936       0.224       1.160       0.000     795.598     114.406     672.062       9.130       0.936      46.817      12.167      56.069      27.394       4.915       0.000       0.000       0.000    1231.036       0.000       0.000       0.000       0.000       0.000       0.936       0.000       0.000       0.224       0.000       0.000       0.000       0.000       0.000      43.902       0.173       0.535       0.000
   366    12    31  2004      21      21  hru21                840.660       0.000       0.000      14.018       0.056      14.073       0.000     786.277     114.406     662.666       9.204      14.017      59.250      16.250      56.560      26.828       9.844       0.000       0.000       0.000    1230.953       0.000       0.000       0.000       0.000       0.000      14.017       0.000       0.000       0.056       0.000       0.000       0.000       0.000       0.000      40.310       2.865       0.134       0.000
   366    12    31  2004      22      22  hru22                840.660       0.000       0.000       0.936       0.062       0.998       0.000     795.187     114.406     673.520       7.261       0.936      46.817      11.651      56.126      27.368       5.928       0.000       0.000       0.000    1231.018       0.000       0.000       0.000       0.000       0.000       0.936       0.000       0.000       0.062       0.000       0.000       0.000       0.000       0.000      44.476       0.207       0.148       0.000
   366    12    31  2004      23      23  hru23                840.660       0.000       0.000       0.936       0.037       0.973       0.000     797.501     114.406     674.027       9.068       0.936      46.817      14.651      56.837      29.189      13.121       0.000       0.000       0.000    1230.960       0.000       0.000       0.000       0.000       0.000       0.936       0.000       0.000       0.037       0.000       0.000       0.000       0.000       0.000      42.187       0.378       0.088       0.000
   366    12    31  2004      24      24  hru24                840.660       0.000       0.000     521.539       0.000     521.539       0.000     315.478       0.000       0.000     315.478     521.538      98.833      66.439      70.083      68.282       1.802       0.000       0.000       0.000    1231.094       0.000       0.000       0.000       0.000       0.000     521.538       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       3.643       0.000       0.002       0.000
   366    12    31  2004      25      25  hru25                840.660       0.000       0.000     521.539       0.000     521.539       0.000     315.416       0.000       0.000     315.416     521.538      98.833      89.644      93.349      91.500       0.911       0.000       0.000       0.000    1231.070       0.000       0.000       0.000       0.000       0.000     521.538       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       3.705       0.000       0.000       0.000
   366    12    31  2004      26      26  hru26                840.660       0.000       0.000     521.539       0.001     521.540       0.000     315.257       0.000       0.000     315.257     521.538      98.833      84.085      87.948      85.890       1.689       0.000       0.000       0.000    1231.019       0.000       0.000       0.000       0.000       0.000     521.538       0.000       0.000       0.001       0.000       0.000       0.000       0.000       0.000       3.863       0.000       0.003       0.000
   366    12    31  2004      27      27  hru27                840.660       0.000       0.000     521.539       0.000     521.539       0.000     315.384       0.000       0.000     315.384     521.538      98.833      36.639      40.377      38.499       1.588       0.000       0.000       0.000    1231.059       0.000       0.000       0.000       0.000       0.000     521.538       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       3.738       0.000       0.000       0.000
   366    12    31  2004      28      28  hru28                840.660       0.000       0.000       0.000       1.370       1.370     227.744     539.034      49.887     308.642     180.505       0.000      36.343     170.634     243.123     172.182      11.909       0.000       0.000       0.000    1231.110       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.370       0.000       0.000       0.000       0.000       0.000      72.489       0.000       3.274       0.000
   366    12    31  2004      29      29  hru29                840.660       0.000       0.000       3.993       3.219       7.212     140.539     541.837      49.887     308.583     183.367       3.993      51.172     215.790     366.810     274.546      31.940       0.000       0.000       0.000    1230.999       0.000       0.000       0.000       0.000       0.000       3.993       0.000       0.000       3.219       0.000       0.000       0.000       0.000       0.000     151.020       0.516       7.692       0.000
   366    12    31  2004      30      30  hru30                840.660       0.000       0.000      14.713      18.318      33.030      58.522     529.738      49.887     308.572     171.279      14.712      59.250     202.861     421.824     298.810      27.739       0.000       0.000       0.000    1230.978       0.000       0.000       0.000       0.000       0.000      14.712       0.000       0.000      18.318       0.000       0.000       0.000       0.000       0.000     218.963       2.550      43.776       0.000
   366    12    31  2004      31      31  hru31                840.660       0.000       0.000       0.940       0.292       1.232       0.000     774.900      84.475     658.130      32.295       0.940      46.817      39.534     104.060      48.470       6.497       0.000       0.000       0.000    1231.044       0.000       0.000       0.000       0.000       0.000       0.940       0.000       0.000       0.292       0.000       0.000       0.000       0.000       0.000      64.526       0.222       0.698       0.000
   366    12    31  2004      32      32  hru32                840.660       0.000       0.000      31.594       0.031      31.625       0.000     754.294      84.475     646.788      23.031      31.594      67.016      39.633      94.374      42.315       7.782       0.000       0.000       0.000    1231.040       0.000       0.000       0.000       0.000       0.000      31.594       0.000       0.000       0.031       0.000       0.000       0.000       0.000       0.000      54.741      11.922       0.074       0.000
   366    12    31  2004      33      33  hru33                840.660       0.000       0.000     140.544       0.303     140.848       2.088     447.580      53.231     356.984      37.365     140.551      69.379       6.460       9.333       3.394       3.394       0.000       0.000       0.000    1231.035       0.000       0.000       0.000       0.000       0.000     140.551       0.000       0.000       0.303       0.000       0.000       0.000       0.000       0.000       2.873      41.712       0.725       0.000
   366    12    31  2004      34      34  hru34                840.660       0.000       0.000      16.935       1.857      18.792     258.270     477.989      55.242     342.624      80.123      16.935      60.475     163.607     249.184     183.815      13.081       0.000       0.000       0.000    1231.067       0.000       0.000       0.000       0.000       0.000      16.935       0.000       0.000       1.857       0.000       0.000       0.000       0.000       0.000      85.577       0.020       4.439       0.000
   366    12    31  2004      35      35  hru35                840.660       0.000       0.000      69.576       5.330      74.906      55.458     468.319      55.242     342.608      70.469      69.576      76.255     186.487     428.316     291.093      25.143       0.000       0.000       0.000    1231.039       0.000       0.000       0.000       0.000       0.000      69.576       0.000       0.000       5.330       0.000       0.000       0.000       0.000       0.000     241.829       0.207      12.737       0.000
   366    12    31  2004      36      36  hru36                840.660       0.000       0.000      16.935       0.320      17.255     255.503     469.654      55.242     342.608      71.805      16.935      60.475     167.904     266.149     192.217      14.217       0.000       0.000       0.000    1231.038       0.000       0.000       0.000       0.000       0.000      16.935       0.000       0.000       0.320       0.000       0.000       0.000       0.000       0.000      98.245       0.033       0.764       0.000
   366    12    31  2004      37      37  hru37                840.660       0.000       0.000      16.935       0.253      17.188     238.342     493.292      55.242     342.612      95.438      16.935      60.475     137.433     229.266     157.959      15.888       0.000       0.000       0.000    1231.046       0.000       0.000       0.000       0.000       0.000      16.935       0.000       0.000       0.253       0.000       0.000       0.000       0.000       0.000      91.834       0.048       0.605       0.000
   366    12    31  2004      38      38  hru38                840.660       0.000       0.000      17.025       0.166      17.191       0.000     776.385      12.330     265.462     498.593      17.025      60.475      16.877      63.960      28.767       5.366       0.000       0.000       0.000    1231.095       0.000       0.000       0.000       0.000       0.000      17.025       0.000       0.000       0.166       0.000       0.000       0.000       0.000       0.000      47.083       0.041       0.398       0.000
   366    12    31  2004      39      39  hru39                840.660       0.000       0.000      16.987       0.028      17.015       0.000     740.436      15.149     346.617     378.670      16.987      60.475      17.728     100.937      57.607       6.424       0.000       0.000       0.000    1231.027       0.000       0.000       0.000       0.000       0.000      16.987       0.000       0.000       0.028       0.000       0.000       0.000       0.000       0.000      83.209       0.212       0.068       0.000
