 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
        jday         mon         day          yr name          type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         366          12          31        2004 aqu10           aqu     ru                 1 rhg   1.000000       849715.6      0.0000000E+00  0.0000000E+00  0.0000000E+00   523.1553      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2004 aqu_deep01      aqu     aqu                1 rhg   1.000000       42485.79      0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8375948E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         366          12          31        2004 cha1            chandeg ru                 1 tot   1.000000       564799.4       7.106818       12.08599       2.379688       39.06245       197.6331      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   3.669809       7.030393      0.1453271       1.342928       1.084477      0.0000000E+00  0.0000000E+00
         366          12          31        2004 cha1            chandeg aqu                1 tot   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2005 aqu10           aqu     ru                 1 rhg   1.000000       1896424.      0.0000000E+00  0.0000000E+00  0.0000000E+00   1766.791      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2005 aqu_deep01      aqu     aqu                1 rhg   1.000000       94821.17      0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7328497E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2005 cha1            chandeg ru                 1 tot   1.000000       1328625.       9.986847       13.44140       2.687548       44.39037       585.0079      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   5.574760       7.941872      0.2142388       2.032585       1.641469      0.0000000E+00  0.0000000E+00
         365          12          31        2005 cha1            chandeg aqu                1 tot   1.000000       1022622.      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4020730      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2006 aqu10           aqu     ru                 1 rhg   1.000000       2451713.      0.0000000E+00  0.0000000E+00  0.0000000E+00   57199.87      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2006 aqu_deep01      aqu     aqu                1 rhg   1.000000       122585.7      0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3643150E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
