 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   366    12    31  2004       1       0  rtu10                  0.000       0.000      -1.167       0.151      38.274       7.655            1.871            0.006            6.344            1.838            1.065           38.661           10.214            0.000            0.000           80.177           18.390            0.000            0.000
   365    12    31  2005       1       0  rtu10                  0.000       0.000      -1.031       0.258      39.535       7.907            5.316            0.103            7.465            2.097            1.252           40.879           10.820            0.000            0.000           93.072           17.868            0.000            0.000
   365    12    31  2006       1       0  rtu10                  0.000       0.000      -0.751       0.434      37.016       7.403           17.202            0.457            7.316            2.612            1.219           48.890           12.748            0.000            0.000           93.312           17.211            0.000            0.000
   365    12    31  2007       1       0  rtu10                  0.000       0.000      -0.306       0.684      40.331       8.066           16.741            0.349            7.429            3.367            1.226           55.621           14.814            0.000            0.000          101.324           18.976            0.000            0.000
   366    12    31  2008       1       0  rtu10                  0.000       0.000       0.450       1.004      38.274       7.655           17.412            0.825            8.261            4.415            1.346           68.303           17.619            0.000            0.000          103.816           17.967            0.000            0.000
   365    12    31  2009       1       0  rtu10                  0.000       0.000       1.151       1.323      39.535       7.907           19.172            3.302            9.763            5.493            1.557           76.842           18.629            0.000            0.000           91.383           16.373            0.000            0.000
   365    12    31  2010       1       0  rtu10                  0.000       0.000       1.455       1.507      37.016       7.403           22.102            6.648            9.700            6.409            1.508           82.000           19.359            0.000            0.000           89.316           17.802            0.000            0.000
   365    12    31  2011       1       0  rtu10                  0.000       0.000       2.269       1.715      40.331       8.066           11.657            0.071            7.810            7.537            1.182           90.417           18.997            0.000            0.000          102.924           15.163            0.000            0.000
   366    12    31  2012       1       0  rtu10                  0.000       0.000       2.260       1.806      38.274       7.655           12.130            0.013            9.085            8.960            1.344           98.926           18.782            0.000            0.000          121.270           17.789            0.000            0.000
