 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    366    12    31  2004      1       0  rtu10                  2.662   46264.152    1084.626    3394.469      18.637      57.821       6.647      44.850      72.329       8.578       0.219       0.237       0.000      24.619      13.864      19.241      16.117       0.000       0.000       0.476       0.000       0.000       0.000       0.000
    365    12    31  2005      1       0  rtu10                  2.740   54290.086    1567.218    2895.503      18.751      40.452      18.837      52.174      80.001       4.818       0.255       0.802       0.000      24.364      13.700      19.032      16.020       0.000       0.000       0.472       0.000       0.000       0.000       0.000
    365    12    31  2006      1       0  rtu10                  2.724   61873.043    1367.798    3301.779      18.607      51.185      13.166      48.262      74.863       3.174       0.256      25.966       0.000      25.467      13.681      19.574      17.549       0.000       0.000       0.490       0.000       0.000       0.000       0.000
    365    12    31  2007      1       0  rtu10                  2.702   69426.391    1806.981    3893.015      19.038      44.697      11.973      44.960      71.016       2.225       0.278      19.017       0.000      25.429      13.768      19.599      17.343       0.000       0.000       0.482       0.000       0.000       0.000       0.000
    366    12    31  2008      1       0  rtu10                  2.750   72808.430    1489.829    5265.286      18.313      36.203      18.814      55.293      69.818       0.938       0.284      23.529       0.000      24.405      13.240      18.822      17.835       0.000       0.000       0.469       0.000       0.000       0.000       0.000
    365    12    31  2009      1       0  rtu10                  2.768   74281.461    1230.712    5959.497      18.749       7.900      31.779      47.635      67.817       0.932       0.250      45.892       0.000      24.379      13.823      19.101      16.659       0.000       0.000       0.475       0.000       0.000       0.000       0.000
    365    12    31  2010      1       0  rtu10                  2.749   73781.164    1323.876    6524.301      18.574      24.453      53.015      49.769      66.269       1.454       0.245      47.482       0.000      24.488      12.892      18.690      17.712       0.000       0.000       0.456       0.000       0.000       0.000       0.000
    365    12    31  2011      1       0  rtu10                  2.725   74354.516     918.751    6041.377      18.785      62.989      13.348      38.950      48.046       0.943       0.282       6.454       0.000      25.812      13.578      19.695      18.155       0.000       0.000       0.486       0.000       0.000       0.000       0.000
    366    12    31  2012      1       0  rtu10                  2.773   75975.883    1578.710    5923.345      19.484      35.920      15.447      39.650      50.287       0.540       0.331       0.612       0.000      25.179      14.125      19.652      17.283       0.000       0.000       0.503       0.000       0.000       0.000       0.000
