 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    366    12    31  2004      1       0  rtu10                840.660       0.000       0.000      25.237       0.412      25.649      38.572     717.666      65.397     443.107     209.162      25.237      56.798      40.597      93.547      55.328       7.494       0.000       0.000       0.000    1231.054       0.000       0.000       0.000       0.000       0.000      25.237       0.000       0.000       0.412       0.000       0.000       0.000       0.000       0.000      52.950       1.955       0.985       0.000
    365    12    31  2005      1       0  rtu10               1092.880       0.000       0.000      59.090       1.238      60.328      86.087     860.144      56.053     575.684     228.407      59.089      56.939      93.547     170.206      85.513       9.908       0.000       0.000       0.000    1261.685       0.000       0.000       0.000       0.000       0.000      59.089       0.000       0.000       1.238       0.000       0.000       0.000       0.000       0.000      76.660       4.671       2.959       0.000
    365    12    31  2006      1       0  rtu10               1012.630       0.000       0.000      36.015       1.268      37.282     111.294     868.707      41.819     607.648     219.240      36.015      56.925     170.206     154.307     103.672       9.538       0.000       0.000       0.000    1385.347       0.000       0.000       0.000       0.000       0.000      36.015       0.000       0.000       1.268       0.000       0.000       0.000       0.000       0.000     -15.899       2.386       3.029       0.000
    365    12    31  2007      1       0  rtu10                978.110       0.000       0.000      26.172       1.249      27.421     105.645     830.374      46.390     595.516     188.468      26.218      56.936     154.307     157.430      97.065       9.066       0.000       0.000       0.000    1367.325       0.000       0.000       0.000       0.000       0.000      26.218       0.000       0.000       1.249       0.000       0.000       0.000       0.000       0.000       3.123       1.751       2.985       0.000
    366    12    31  2008      1       0  rtu10               1107.640       0.000       0.000      45.930       1.778      47.708     146.023     871.116      45.396     615.534     210.187      45.882      56.965     157.430     191.416     123.379      10.889       0.000       0.000       0.000    1298.674       0.000       0.000       0.000       0.000       0.000      45.882       0.000       0.000       1.778       0.000       0.000       0.000       0.000       0.000      33.985       3.835       4.250       0.000
    365    12    31  2009      1       0  rtu10               1468.060       0.000       0.000      86.162       2.862      89.024     228.979    1050.008      56.692     734.597     258.718      86.163      57.213     191.416     273.865     148.476      14.271       0.000       0.000       0.000    1265.017       0.000       0.000       0.000       0.000       0.000      86.163       0.000       0.000       2.862       0.000       0.000       0.000       0.000       0.000      82.450       6.480       6.840       0.000
    365    12    31  2010      1       0  rtu10               1112.230       0.000       0.000      56.537       3.638      60.175     269.726     987.984      49.143     691.532     247.309      56.536      57.261     273.865      57.543     152.392      15.565       0.000       0.000       0.000    1353.215       0.000       0.000       0.000       0.000       0.000      56.536       0.000       0.000       3.638       0.000       0.000       0.000       0.000       0.000    -216.322       4.085       8.694       0.000
    365    12    31  2011      1       0  rtu10                880.340       0.000       0.000      19.445       0.925      20.369      66.427     764.402      46.505     512.776     205.122      19.445      56.919      57.543      78.212      76.786       8.937       0.000       0.000       0.000    1371.006       0.000       0.000       0.000       0.000       0.000      19.445       0.000       0.000       0.925       0.000       0.000       0.000       0.000       0.000      20.669       1.228       2.210       0.000
    366    12    31  2012      1       0  rtu10                960.280       0.000       0.000      24.270       0.945      25.215      70.132     813.018      53.122     561.651     198.246      24.270      56.930      78.212     123.088      76.572       9.549       0.000       0.000       0.000    1218.391       0.000       0.000       0.000       0.000       0.000      24.270       0.000       0.000       0.945       0.000       0.000       0.000       0.000       0.000      44.876       1.217       2.258       0.000
