 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                               m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         366          12          31        2004 rtu10           ru         1979315.       14.21364       24.17198       4.759375       601.2802       395.2662      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   7.339617       14.06078      0.2906541       2.685855       2.168953      0.0000000E+00  0.0000000E+00
         365          12          31        2005 rtu10           ru         4553674.       19.97369       26.88280       5.375097       1855.572       1170.016      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   11.14952       15.88375      0.4284776       4.065169       3.282937      0.0000000E+00  0.0000000E+00
         365          12          31        2006 rtu10           ru         4093684.       20.24436       21.91503       4.713836       57444.12       628.4308      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   10.60333       16.05841      0.4090208       3.869891       3.123965      0.0000000E+00  0.0000000E+00
         365          12          31        2007 rtu10           ru         3534802.       17.62454       18.44411       4.031120       42006.79       385.5955      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   9.835943       13.90708      0.3810896       3.590344       2.898639      0.0000000E+00  0.0000000E+00
         366          12          31        2008 rtu10           ru         5318002.       20.16264       20.63796       4.618483       52052.77       965.5691      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   11.52114       16.65036      0.4424460       4.204113       3.393211      0.0000000E+00  0.0000000E+00
         365          12          31        2009 rtu10           ru         8965460.       26.62760       23.89853       5.190936       101221.2       2152.638      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   16.08361       17.03184      0.6069790       5.851437       4.724389      0.0000000E+00  0.0000000E+00
         365          12          31        2010 rtu10           ru         8592235.       21.82438       19.10720       4.424913       105152.8       1557.569      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   11.84906       16.70651      0.4537747       4.318579       3.487339      0.0000000E+00  0.0000000E+00
         365          12          31        2011 rtu10           ru         2360262.       15.97991       15.89141       3.878849       14258.34       297.4802      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   8.129441       16.43511      0.3193448       2.972984       2.400432      0.0000000E+00  0.0000000E+00
         366          12          31        2012 rtu10           ru         2655303.       17.20776       16.62383       3.879375       1438.529       436.9176      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   9.002751       15.32924      0.3509299       3.288413       2.655045      0.0000000E+00  0.0000000E+00
