 FINAL_TRY                 SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
    67     3     8  1982       1       1  cha0001              0.2175E+01     0.1454E+05     0.3540E+04     0.1457E+04     0.8576E+05     0.2349E+02     0.2481E+03     0.3372E+02     0.3662E+03     0.1808E+02     0.1530E+03     0.1660E+02     0.1623E+02     0.8697E+07     0.2398E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.3369E+00     0.2010E+03     0.3384E+04     0.4474E+03     0.7187E+05     0.2468E+03     0.2509E+04     0.1290E+03     0.1615E+03     0.1382E+09     0.1934E+06     0.4209E-03     0.4209E-03     0.4209E-03     0.4209E-03     0.4209E-03     0.0000E+00     0.3656E+01     0.3309E+00     0.1979E+03     0.3129E+04     0.4169E+03     0.7124E+05     0.3244E+03     0.2291E+04     0.1850E+03     0.2393E+03     0.1017E+09     0.2051E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3654E+01     0.1937E+02
    67     3     8  1982       2       2  cha0002              0.6813E+00     0.4554E+04     0.1109E+04     0.4565E+03     0.2446E+05     0.7345E+01     0.8279E+02     0.1115E+02     0.1091E+03     0.4206E+01     0.4604E+02     0.3376E+01     0.4100E+01     0.3294E+07     0.8775E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.2437E+00     0.1613E+03     0.2810E+04     0.3707E+03     0.5461E+05     0.1859E+03     0.2050E+04     0.2065E+03     0.2295E+02     0.1186E+09     0.2438E+05     0.5878E-03     0.5878E-03     0.5878E-03     0.5878E-03     0.5878E-03     0.0000E+00     0.4202E+01     0.2421E+00     0.1605E+03     0.2721E+04     0.3602E+03     0.5443E+05     0.2205E+03     0.1960E+04     0.1249E+03     0.1615E+03     0.1012E+09     0.1569E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4199E+01     0.1937E+02
    67     3     8  1982       3       3  cha0003              0.1304E+01     0.8714E+04     0.2122E+04     0.8734E+03     0.3342E+05     0.9905E+01     0.1112E+03     0.1497E+02     0.1437E+03     0.4414E+01     0.5889E+02     0.5644E+01     0.1001E+01     0.4977E+07     0.2048E-12     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.1665E+00     0.1046E+03     0.1910E+04     0.2502E+03     0.3631E+05     0.6387E+02     0.1613E+04     0.2546E+02     0.3102E-02     0.1247E+09     0.1245E+06     0.3399E-03     0.3399E-03     0.3399E-03     0.3399E-03     0.3399E-03     0.0000E+00     0.5118E+01     0.1644E+00     0.1035E+03     0.1753E+04     0.2319E+03     0.3592E+05     0.1272E+03     0.1362E+04     0.1183E+03     0.2249E+02     0.8070E+08     0.9662E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5118E+01     0.1937E+02
    67     3     8  1982       4       4  cha0004              0.3338E+00     0.2231E+04     0.5433E+03     0.2237E+03     0.6828E+04     0.2151E+01     0.2275E+02     0.3036E+01     0.2494E+02     0.6404E+00     0.1065E+02     0.6263E+00     0.1157E-07     0.1060E+07     0.3665E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.6197E-01     0.3562E+02     0.6341E+03     0.8277E+02     0.1219E+05     0.1657E+02     0.5009E+03     0.0000E+00     0.0000E+00     0.3558E+08     0.2472E+06     0.3251E-03     0.3251E-03     0.3251E-03     0.3251E-03     0.3251E-03     0.0000E+00     0.9254E+01     0.6155E-01     0.3540E+02     0.6056E+03     0.7949E+02     0.1213E+05     0.2835E+02     0.4518E+03     0.2072E+02     0.1515E-02     0.2850E+08     0.6535E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9270E+01     0.1937E+02
    67     3     8  1982       5       5  cha0005              0.4127E+01     0.2758E+05     0.6716E+04     0.2765E+04     0.4894E+05     0.4074E+01     0.5053E+02     0.6806E+01     0.1201E+03     0.6085E+01     0.2938E+02     0.1974E+01     0.4229E+01     0.1861E+07     0.3022E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.3348E+00     0.1359E+03     0.1736E+04     0.2307E+03     0.4237E+05     0.3073E+03     0.1369E+04     0.1485E+03     0.1498E+03     0.6172E+08     0.1841E+06     0.9378E-03     0.9378E-03     0.9378E-03     0.9378E-03     0.9378E-03     0.0000E+00     0.4908E+01     0.3272E+00     0.1391E+03     0.1545E+04     0.2075E+03     0.4244E+05     0.3585E+03     0.1112E+04     0.1320E+03     0.2406E+03     0.3826E+08     0.1186E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4897E+01     0.1937E+02
    67     3     8  1982       6       6  cha0006              0.4968E+01     0.3321E+05     0.8086E+04     0.3329E+04     0.5916E+05     0.4887E+01     0.6131E+02     0.8269E+01     0.1454E+03     0.7000E+01     0.3539E+02     0.3098E+01     0.3936E+01     0.2357E+07     0.9034E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.2678E+00     0.1054E+03     0.1455E+04     0.1925E+03     0.3366E+05     0.2149E+03     0.1229E+04     0.9659E+02     0.9645E+02     0.6661E+08     0.2833E+06     0.8578E-03     0.8578E-03     0.8578E-03     0.8578E-03     0.8578E-03     0.0000E+00     0.5489E+01     0.2586E+00     0.1103E+03     0.1231E+04     0.1653E+03     0.3439E+05     0.2709E+03     0.9101E+03     0.1386E+03     0.1498E+03     0.3417E+08     0.7779E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5507E+01     0.1937E+02
    67     3     8  1982       7       7  cha0007              0.2378E+01     0.1589E+05     0.3869E+04     0.1593E+04     0.2860E+05     0.2273E+01     0.2937E+02     0.3934E+01     0.6593E+02     0.3052E+01     0.1636E+02     0.1315E+01     0.1490E+01     0.1189E+07     0.1705E-18     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.1890E+00     0.7254E+02     0.1042E+04     0.1374E+03     0.2350E+05     0.1358E+03     0.8468E+03     0.1064E+03     0.9547E+01     0.4471E+08     0.2186E+06     0.6111E-03     0.6111E-03     0.6111E-03     0.6111E-03     0.6111E-03     0.0000E+00     0.5979E+01     0.1844E+00     0.7749E+02     0.9255E+03     0.1233E+03     0.2374E+05     0.1708E+03     0.6570E+03     0.8221E+02     0.9638E+02     0.2658E+08     0.4390E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6040E+01     0.1937E+02
    67     3     8  1982       8       8  cha0008              0.1368E+01     0.3434E+03     0.1513E+03     0.9398E+02     0.9853E+02     0.1160E-07     0.2544E-07     0.7923E-07     0.4036E+00     0.2671E-03     0.3913E-04     0.3295E-06     0.1180E-04     0.9504E+00     0.8118E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2503E+02     0.7907E-05     0.3089E-06     0.7372E-05     0.2212E-04     0.1174E+01     0.2226E-03     0.1356E-01     0.1277E-06     0.4117E-05     0.3054E+03     0.9597E+03     0.3024E-03     0.3024E-03     0.3024E-03     0.3024E-03     0.3024E-03     0.0000E+00     0.9385E+08     0.3132E-05     0.2833E-08     0.6796E-08     0.2115E-07     0.9335E-01     0.5939E-04     0.9765E-05     0.9018E-07     0.3152E-05     0.1996E+00     0.3944E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5964E+09     0.1937E+02
    67     3     8  1982       9       9  cha0009              0.5177E+01     0.3460E+05     0.8026E+04     0.3469E+04     0.6138E+05     0.4820E+01     0.4729E+02     0.6648E+01     0.1830E+03     0.1297E+02     0.3299E+02     0.7050E+01     0.1082E+02     0.1147E+07     0.7898E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2346E+02     0.8212E-01     0.2641E+02     0.2955E+03     0.4009E+02     0.7679E+04     0.1036E+03     0.5652E+03     0.6332E+02     0.2889E+02     0.1623E+08     0.3471E+06     0.7257E-03     0.7257E-03     0.7257E-03     0.7257E-03     0.7257E-03     0.0000E+00     0.1152E+02     0.7231E-01     0.2367E+02     0.1696E+03     0.2383E+02     0.7801E+04     0.1322E+03     0.2299E+03     0.4356E+02     0.5581E+02     0.4331E+07     0.1982E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1231E+02     0.1937E+02
