 FINAL_TRY                 SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
    67     3     8  1982       1       1  cha0001              0.3369E+00     0.0000E+00     0.3309E+00     0.3369E+00     0.1063E+04     0.1063E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.3368E+04     0.0000E+00     0.0000E+00     0.1084E+02     0.3115E+01     0.4214E-01     0.1363E+02     0.0000E+00     0.0000E+00     0.2968E+03     0.0000E+00     0.2916E+03     0.3185E+00     0.1116E+04     0.1106E+02     0.6127E+00     0.2291E+02
    67     3     8  1982       2       2  cha0002              0.2437E+00     0.0000E+00     0.2421E+00     0.2437E+00     0.8533E+03     0.8533E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.1013E+04     0.0000E+00     0.0000E+00     0.8902E+01     0.2946E+01     0.4718E-01     0.1309E+02     0.0000E+00     0.0000E+00     0.2984E+03     0.0000E+00     0.2964E+03     0.1069E+00     0.8573E+03     0.8667E+01     0.5653E+00     0.1748E+02
    67     3     8  1982       3       3  cha0003              0.1665E+00     0.0000E+00     0.1644E+00     0.1665E+00     0.5534E+03     0.5534E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.3436E+04     0.0000E+00     0.0000E+00     0.7108E+01     0.4794E+01     0.1018E+00     0.2321E+02     0.0000E+00     0.0000E+00     0.2967E+03     0.0000E+00     0.2929E+03     0.2086E+00     0.5644E+03     0.5359E+01     0.7231E+00     0.3460E+02
    67     3     8  1982       4       4  cha0004              0.6197E-01     0.0000E+00     0.6155E-01     0.6197E-01     0.1884E+03     0.1884E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.7014E+03     0.0000E+00     0.0000E+00     0.3540E+01     0.3752E+01     0.1457E+00     0.1850E+02     0.0000E+00     0.0000E+00     0.3529E+03     0.0000E+00     0.3504E+03     0.3538E-01     0.1904E+03     0.1609E+01     0.3615E+00     0.8325E+01
    67     3     8  1982       5       5  cha0005              0.3348E+00     0.0000E+00     0.3272E+00     0.3348E+00     0.7190E+03     0.7508E+03     0.0000E+00     0.0000E+00     0.3645E+00     0.1810E+03     0.3220E+02     0.0000E+00     0.1489E+02     0.7370E+00     0.4130E-02     0.3863E+00     0.9040E-01     0.0000E+00     0.1739E+03     0.0000E+00     0.1700E+03     0.4612E+00     0.6620E+03     0.8447E+01     0.5877E+00     0.8202E+01
    67     3     8  1982       6       6  cha0006              0.2678E+00     0.0000E+00     0.2586E+00     0.2678E+00     0.5576E+03     0.6000E+03     0.0000E+00     0.0000E+00     0.3028E+00     0.1918E+03     0.4270E+02     0.0000E+00     0.1326E+02     0.6788E+00     0.4700E-02     0.3400E+00     0.9604E-01     0.0000E+00     0.1688E+03     0.0000E+00     0.1630E+03     0.5369E+00     0.5360E+03     0.6510E+01     0.5439E+00     0.6839E+01
    67     3     8  1982       7       7  cha0007              0.1890E+00     0.0000E+00     0.1844E+00     0.1890E+00     0.3837E+03     0.4163E+03     0.0000E+00     0.0000E+00     0.2214E+00     0.1886E+03     0.3277E+02     0.0000E+00     0.1036E+02     0.6532E+00     0.7290E-02     0.6986E+00     0.1330E+00     0.0000E+00     0.1798E+03     0.0000E+00     0.1755E+03     0.2296E+00     0.3708E+03     0.4390E+01     0.4641E+00     0.5100E+01
    67     3     8  1982       8       8  cha0008              0.7907E-05     0.0000E+00     0.3132E-05     0.7907E-05     0.1634E-05     0.1634E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1178E+02     0.5679E+00     0.3030E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6071E-02     0.0000E+00     0.2405E-02     0.4341E-08     0.1393E-02     0.8867E-06     0.5001E+00     0.4237E+01
    67     3     8  1982       9       9  cha0009              0.8212E-01     0.0000E+00     0.7231E-01     0.8212E-01     0.1397E+03     0.1444E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4624E+01     0.0000E+00     0.1346E+02     0.6208E+00     0.1830E-02     0.0000E+00     0.1066E-01     0.0000E+00     0.5047E+02     0.0000E+00     0.4443E+02     0.4575E+00     0.1204E+03     0.2329E+01     0.5467E+00     0.4371E+01
    67     3     8  1982      10      10  cha0010              0.2249E-01     0.0000E+00     0.2125E-01     0.2249E-01     0.3838E+02     0.3838E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1001E+02     0.5095E+00     0.3630E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2265E+02     0.0000E+00     0.2140E+02     0.7287E-01     0.4203E+02     0.6416E+00     0.4487E+00     0.3284E+01
    67     3     8  1982      11      11  cha0011              0.9708E-05     0.0000E+00     0.7150E-05     0.9708E-05     0.1729E-05     0.1729E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8123E+01     0.4433E+00     0.8050E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1384E-01     0.0000E+00     0.1020E-01     0.3042E-08     0.1115E-01     0.1800E-05     0.3904E+00     0.3142E+01
    67     3     8  1982      12      12  cha0012              0.2404E-01     0.0000E+00     0.2249E-01     0.2404E-01     0.4186E+02     0.4186E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6923E+01     0.3985E+00     0.4570E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4475E+02     0.0000E+00     0.4187E+02     0.9294E-01     0.4262E+02     0.6638E+00     0.3509E+00     0.1687E+01
    67     3     8  1982      13      13  cha0013              0.4824E-01     0.0000E+00     0.4794E-01     0.4824E-01     0.7411E+02     0.7411E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.9839E+02     0.0000E+00     0.0000E+00     0.3603E+01     0.1177E+01     0.5696E-01     0.4860E+01     0.0000E+00     0.0000E+00     0.2666E+03     0.0000E+00     0.2650E+03     0.8534E-02     0.1350E+03     0.5981E+00     0.2482E+00     0.1850E+01
    67     3     8  1982      14      14  cha0014              0.9272E-01     0.0000E+00     0.9063E-01     0.9272E-01     0.1411E+03     0.1752E+03     0.0000E+00     0.0000E+00     0.9600E-01     0.3330E+03     0.3425E+02     0.0000E+00     0.4433E+01     0.8601E+00     0.1589E-01     0.2984E+01     0.2058E+00     0.0000E+00     0.3629E+03     0.0000E+00     0.3547E+03     0.7033E-01     0.1333E+03     0.1913E+01     0.2822E+00     0.1452E+01
    67     3     8  1982      15      15  cha0015              0.7472E-01     0.0000E+00     0.7328E-01     0.7472E-01     0.3022E+03     0.3022E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.1564E+04     0.0000E+00     0.0000E+00     0.4203E+01     0.2983E+01     0.1016E+00     0.1427E+02     0.0000E+00     0.0000E+00     0.3195E+03     0.0000E+00     0.3134E+03     0.1413E+00     0.2867E+03     0.2887E+01     0.3912E+00     0.7558E+01
    67     3     8  1982      16      16  cha0016              0.4524E+00     0.0000E+00     0.4007E+00     0.4524E+00     0.8291E+03     0.8291E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.3721E+05     0.0000E+00     0.0000E+00     0.1130E+02     0.4796E+01     0.5216E-01     0.2245E+02     0.0000E+00     0.0000E+00     0.3721E+03     0.0000E+00     0.3296E+03     0.1417E+01     0.1157E+04     0.1054E+02     0.7528E+00     0.4095E+02
    67     3     8  1982      17      17  cha0017              0.9105E-06     0.0000E+00     0.2170E-07     0.9105E-06     0.3850E-05     0.3850E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4482E+01     0.2982E+00     0.5120E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3498E-02     0.0000E+00     0.8336E-04     0.1084E-07     0.2472E-03     0.1587E-06     0.2626E+00     0.7098E+00
    67     3     8  1982      18      18  cha0018              0.5153E-01     0.0000E+00     0.5123E-01     0.5153E-01     0.1114E+03     0.1161E+03     0.0000E+00     0.0000E+00     0.6473E-01     0.2520E+02     0.4743E+01     0.0000E+00     0.3495E+01     0.5124E+00     0.1525E-01     0.1374E+01     0.1808E+00     0.0000E+00     0.2997E+03     0.0000E+00     0.2980E+03     0.1439E-01     0.1089E+03     0.1242E+01     0.2326E+00     0.7898E+00
    67     3     8  1982      19      19  cha0019              0.1378E-05     0.0000E+00     0.6885E-07     0.1378E-05     0.4957E-05     0.4957E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4067E+01     0.2795E+00     0.7640E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6225E-02     0.0000E+00     0.3110E-03     0.1393E-07     0.7184E-03     0.8017E-06     0.2462E+00     0.7056E+00
    67     3     8  1982      20      20  cha0020              0.1528E-04     0.0000E+00     0.9404E-05     0.1528E-04     0.4981E-05     0.4981E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6246E+01     0.3721E+00     0.6770E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.3376E-01     0.0000E+00     0.2078E-01     0.1041E-07     0.6561E-01     0.6663E-05     0.3277E+00     0.1650E+01
