 FINAL_TRY                
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982       1    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       2    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       3    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       4    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       5    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       6    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       7    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       8    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982       9    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      10    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      11    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      12    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      13    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      14    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      15    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      16    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      17    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      18    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      19    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      20    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      21    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      22    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      23    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      24    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      25    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      26    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      27    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      28    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      29    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      30    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      31    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      32    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      33    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      34    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      35    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      36    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      37    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      38    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      39    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      40    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      41    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982      42    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      43    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      44    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      45    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      46    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      47    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      48    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      49    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      50    past                        0.000       0.000       0.000       0.000
    67     3     8  1982      51    agrl                        0.000       0.000       0.000       0.000
    67     3     8  1982      52    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      53    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      54    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982      55    shrb                        0.000       0.000       0.000       0.000
